,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax
458,-1,-1,-36.1946367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875041684,MS_9813_82,MS_9813_82_3,1,1,,59.5739024,0.216329,3,144779519515,59.5739144,-36.194659,1651061844640531828,10667.2340899
459,-1,-1,-36.5186181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875112441,MS_9813_189,MS_9813_189_3,1,1,,59.7809576,0.308795,3,144762169645,59.7809593,-36.5186282,1650991475896354552,5915.5338957
460,-1,-1,-36.5186181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875112441,MS_9813_189,MS_9813_189_3,1,1,,59.7809576,0.308795,3,144762169645,59.7807869,-36.5185795,1650991475896354456,-967.8502868
461,-1,-1,-36.4346616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875188437,MS_9813_426,MS_9813_426_3,1,1,,59.5288745,0.401028,3,144767869335,59.5288743,-36.4346688,1651000271989376900,4352.6721994
462,-1,-1,-36.5184597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875083175,MS_9813_182,MS_9813_182_3,1,1,,59.5682928,0.296502,3,144767751153,59.5680902,-36.5185587,1651000271989378848,
463,-1,-1,-36.5184597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875083175,MS_9813_182,MS_9813_182_3,1,1,,59.5682928,0.296502,3,144767751153,59.5682871,-36.5184812,1651000271989378028,
464,-1,-1,-36.1181006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875623875,MS_9813_1285,MS_9813_1285_3,1,1,,59.4137566,0.605325,3,144768486460,59.4137541,-36.1181215,1651061844640530653,1323.8844743
465,-1,-1,-36.1181006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875623875,MS_9813_1285,MS_9813_1285_3,1,1,,59.4137566,0.605325,3,144768486460,59.4137541,-36.1181215,1650578059524309175,1323.8844743
466,-1,-1,-36.5198368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875629080,MS_9813_1299,MS_9813_1299_3,1,1,,59.5965026,0.612014,3,144767740434,59.5964816,-36.5198452,1651000271989377849,
467,-1,-1,-36.4830426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875740678,MS_9813_1549,MS_9813_1549_3,1,1,,59.3967556,0.649329,3,144767705402,59.3967502,-36.4830222,1651000271989379098,1651.2038436
468,-1,-1,-36.4830426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875740678,MS_9813_1549,MS_9813_1549_3,1,1,,59.3967556,0.649329,3,144767705402,59.3967502,-36.4830222,1650516486873155882,1651.2038436
469,-1,-1,-36.3779317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875735921,MS_9813_1457,MS_9813_1457_3,1,1,,59.5104466,0.650605,3,144767900237,59.5104299,-36.3777399,1651000271989378560,
470,-1,-1,-36.228466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6937940704,MS_9685_876,MS_9685_876_3,1,1,,59.5836201,0.522193,3,144779510328,59.583625,-36.2284669,1651061844640535229,2511.5178133
471,-1,-1,-36.4394237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21688,hl_ms_21688,hl_ms_21688_3,1,1,,59.4664655,0.79832,3,144767879094,59.466469,-36.4394192,1651000271989375801,1428.1236222
472,-1,-1,-36.3312978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6230,hl_ms_6230,hl_ms_6230_3,1,1,,59.1959196,0.485184,3,144768211619,59.1959129,-36.3312944,1650578059524309975,1984.7997391
473,-1,-1,-36.2260609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875150244,MS_9813_301,MS_9813_301_3,1,1,,59.1806497,0.349317,3,144769641841,59.1806523,-36.2260624,1650578059524311825,3821.6929184
474,-1,-1,-36.4117251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875631116,MS_9813_1214,MS_9813_1214_3,1,1,,59.2326791,0.597388,3,144768172736,59.232649,-36.4117357,1650516486873157143,956.5555513
