ra,dec,u,g,r,i,z,y,time
60.2294718,-36.7025173,-9999.0,31.7149,29.0434,27.3437,26.3204,25.5588,5.05
59.7436692,-37.0938305,28.2012,24.9874,22.7898,21.7809,21.8496,21.61,5.05
60.2103246,-37.0140844,26.463,24.0865,22.3315,21.9916,22.3289,22.3256,5.05
59.6265962,-36.452971,36.3411,32.2526,29.5418,28.6806,28.306,28.0252,5.05
59.2962075,-36.9316874,28.6374,25.2125,23.0469,22.0477,22.0643,22.0636,5.05
60.1124159,-36.6616741,30.5243,27.8929,26.3698,24.8944,24.1439,23.7716,5.05
59.7288694,-36.6912823,-9999.0,31.9231,28.4113,26.3525,25.5665,24.5827,5.05
59.5252768,-36.6754221,28.1773,25.5073,23.7575,23.0057,22.9887,23.034,5.05
60.1423586,-36.9125739,32.7966,28.9014,26.7325,24.8499,24.3345,23.4003,5.05
59.973966,-36.3910866,-9999.0,37.346,33.036,30.7997,29.5367,28.8435,5.05
59.3477705,-36.7143011,-9999.0,37.2604,32.9851,30.7477,29.4921,28.8029,5.05
60.0090263,-36.8188854,-9999.0,37.2631,32.9867,30.7495,29.4936,28.8043,5.05
60.1655836,-36.6394837,32.11,28.8815,26.5716,24.9886,24.5332,24.0614,5.05
60.0828708,-37.1989783,34.834,30.3111,28.3647,27.2652,27.4594,27.0076,5.05
59.2022277,-36.633258,-9999.0,33.9085,30.3585,28.2032,27.2969,26.4363,5.05
59.4900987,-36.6688725,36.02,30.9207,28.2998,26.9737,26.3559,25.9474,5.05
59.6318676,-36.7751859,-9999.0,35.5025,32.7948,30.8878,29.2878,28.0233,5.05
59.8799618,-36.6140116,33.9207,29.5417,27.4138,25.5293,24.8459,24.0447,5.05
59.5976678,-36.4575381,26.2166,24.6528,23.8636,24.1645,25.1794,26.484,5.05
59.6482848,-37.2664713,30.5328,26.7506,24.617,23.908,25.0869,25.0359,5.05
