LAMBDA0,LAMBDA,Llam
40030.93165750797,40427.2378809173,4.305315438089512e+35
39871.44603457482,40266.17335031711,4.146793547273161e+35
39712.59343966073,40105.74811471337,3.022628745845789e+35
39554.37828864984,39945.966633707474,3.8325120180694145e+35
39396.7917337862,39786.81997195069,3.2629848869555358e+35
39239.82946664244,39628.3037783622,3.724181138413029e+35
39083.495827546794,39470.42243623951,5.5717994757456076e+35
38927.786457399045,39313.1715433273,5.79374574084565e+35
38772.69707496063,39156.546776002746,4.5517958225992904e+35
38618.22347531682,39000.54388772246,4.7684926561916554e+35
38464.36567920463,38845.16289942876,3.895135501307743e+35
38311.11953082359,38690.39961417874,5.820496167893311e+35
38158.48503289832,38536.254034724014,3.562728490510905e+35
38006.462130195105,38382.72610528404,5.2234660454754375e+35
37855.03864955997,38229.80353219061,4.5145433642652636e+35
37704.22268781868,38077.494492428086,5.6802096675851185e+35
37554.00620219875,37925.790863600516,7.238022521558718e+35
37404.38919713891,37774.692650190584,6.289583173860252e+35
37255.36772623397,37624.19586672368,5.471156523955711e+35
37106.94177427043,37474.30049783571,5.968309285903559e+35
36959.103605321776,37324.998731014464,5.400461852736222e+35
36811.85707783428,37176.294462904836,6.707105523882428e+35
36665.19455772326,37028.179983844726,5.8303350393783606e+35
36519.11982149188,36880.65910772465,6.017585350740172e+35
36373.62533505848,36733.72422587556,6.883764106054125e+35
36228.7111117201,36587.37535172613,6.5178907679123874e+35
36084.37345651636,36441.608753735876,6.2187832974568654e+35
35940.60873658712,36296.42076307933,6.309150512166242e+35
35797.42057032663,36151.81503397286,6.222058835876791e+35
35654.80170726104,36007.784244162925,6.523791352631849e+35
35512.74860980507,35864.324821042144,6.0401373456947586e+35
35371.26481921987,35721.440340930145,6.074946989725157e+35
35230.34326436423,35579.123662681435,7.567156719977618e+35
35089.983952849856,35437.37479398307,6.027892371405688e+35
34950.18341188353,35296.19022766118,6.416448688270516e+35
34810.93822536491,35155.566513796024,7.078781507635621e+35
34672.25177824203,35015.50707084663,7.302867598736575e+35
34534.11391168835,34876.00163941406,9.657386571349616e+35
34396.528012922296,34737.053640250226,7.701005132558963e+35
34259.49072446609,34598.65968263831,7.340564159225219e+35
34122.998742614815,34460.8164301667,7.203076622615264e+35
33987.04881637355,34323.52059965565,6.919680857557178e+35
33851.64417637177,34186.77545371785,7.437850234576511e+35
33716.77514169376,34050.57121559653,9.88193465290849e+35
33582.44494259815,33914.91114752987,9.285575772270202e+35
33448.65037889988,33779.792017650994,9.348645487238687e+35
33315.39141439327,33645.21378939576,9.421114131580436e+35
33182.65869538919,33511.16701647354,9.180528293104083e+35
33050.458436992245,33377.65797551847,1.0085063284416937e+36
32918.781406674505,33244.67734260058,8.151259119158935e+35
32787.630678050424,33112.22822176312,1.0290468131083912e+36
32657.003193984747,32980.307525605196,9.187658561146266e+35
32526.895943985248,32848.9122138307,1.0582654658354008e+36
32397.305963281462,32718.03929231795,1.0327404979082952e+36
32268.233253172017,32587.68876237842,9.985641067124566e+35
32139.674867938575,32457.85764913117,1.0636643563208856e+36
32011.62790602422,32328.54302229386,1.0949989409334377e+36
31884.092361273477,32199.744875650085,1.0735183317006715e+36
31757.065349804598,32071.460296767666,1.001521896027031e+36
31630.541223471122,31943.683581583486,1.0196265613254075e+36
31504.522819070902,31816.417594979706,1.3229168128762053e+36
31379.007311247093,31689.65948362844,1.1055660401809284e+36
31253.991915887495,31563.40643585478,1.3875429684747846e+36
31129.473889310364,31437.655680814536,1.1144506112915556e+36
31005.453224551067,31312.407211474125,1.2662339293675387e+36
30881.924516421135,31187.655569133705,1.3140574443461818e+36
30758.88779265999,31063.400781807322,1.421819363427381e+36
30636.34303388276,30939.6428299182,1.7644358643180232e+36
30514.287562201585,30816.379009067383,1.2172569498375e+36
30392.716146013638,30693.604035859174,1.4696457775435087e+36
30271.62881508965,30571.31794035904,1.2382435114494738e+36
30151.02555278403,30449.520705756593,1.3113428488717205e+36
30030.90123654703,30328.207158788846,1.5125198395816924e+36
29911.25588036933,30207.377313584984,1.4642792231168315e+36
29792.086962500587,30087.028623429345,1.2942163068464047e+36
29673.394466004185,29967.161071217626,1.3167126912870961e+36
29555.173427825986,29847.769644761465,1.2461986604487029e+36
29437.423859316114,29728.854355523345,1.582254665061333e+36
29320.14331511367,29610.412733933295,1.5055108622479665e+36
29203.329382608703,29492.44234349653,1.4010595813393925e+36
29086.982054940476,29374.943177284385,1.4157372387382522e+36
28971.09892644046,29257.912805812222,1.6637057080755863e+36
28855.67528713623,29141.34647247888,1.679074094408214e+36
28740.71348488232,29025.246548382653,1.398872419526296e+36
28626.20655355759,28909.60599843781,1.4119804655796392e+36
28512.15910786345,28794.429483031297,1.6836865216478013e+36
28398.56426018855,28679.710046364416,1.8766406418874916e+36
28285.422031198603,28565.44770930747,1.735542455296563e+36
28172.732398301898,28451.642449045088,1.5150691705558758e+36
28060.490878369423,28338.28973806528,1.5814340391987389e+36
27948.695278754836,28225.38736201451,1.6932160906119937e+36
27837.34560819635,28112.935329717493,1.567253388073752e+36
27726.439676258316,28000.931429053275,1.5154320898019494e+36
27615.975319563244,27889.37347522692,1.562949258505177e+36
27505.952523875912,27778.261453862284,1.5930033548024714e+36
27396.36702196147,27667.591055478886,1.6116617965038042e+36
27287.218817842175,27557.362284138813,1.7034172560986254e+36
27178.503729298463,27447.57091621852,1.5350082020476863e+36
27070.223833003198,27338.21904894993,1.6164111107016415e+36
26962.372940606427,27229.30043271843,1.51985688364816e+36
26854.953111907384,27120.81714771527,1.8377504841760602e+36
26747.96228651981,27012.76711315636,1.70414436995142e+36
26641.396436871753,26905.146261596783,1.9075634914616618e+36
26535.255573246624,26797.954603421767,1.7755450135084997e+36
26429.537705754577,26691.190129041548,1.6193180268885327e+36
26324.240867209228,26584.8508517946,1.8780172060868065e+36
26219.36311267898,26478.934807494505,1.8547666159299837e+36
26114.902519046504,26373.440053985065,1.771926323341737e+36
26010.85908271564,26268.366587634526,1.8298968110355097e+36
25907.230877624454,26163.712463312935,1.9364014583057328e+36
25804.0141309011,26059.473870797025,2.214965996167526e+36
25701.210709582607,25955.652695607474,1.849129888866937e+36
25598.81502861845,25852.243297401772,1.8288692792778554e+36
25496.827112226634,25749.24570063768,2.3295239001168293e+36
25395.246945543844,25646.659890304727,2.460466484815536e+36
25294.07088546803,25544.482187234164,2.1499614827450497e+36
25193.297146236222,25442.71078798396,2.647632208568275e+36
25092.92572710338,25341.345691801704,2.823940035488721e+36
24992.953084285455,25240.38331981988,2.1380868647428254e+36
24893.379225266166,25139.823679596302,2.4454075200938332e+36
24794.202394907094,25039.664998616674,2.293798393738805e+36
24695.420855783374,24939.90552225563,2.547959838500783e+36
24597.032887834222,24840.54351342378,2.9833550864127754e+36
24499.03678801999,24741.57725222139,2.6467288176328848e+36
24401.43086998567,24643.00503559853,2.7779263298709205e+36
24304.21512095731,24544.826850654787,2.4113933843150656e+36
24207.384559333037,24447.037666470434,3.1990106909395e+36
24110.94084833961,24349.639162738174,3.4898125050379374e+36
24014.882326209965,24252.629661239444,2.7457411268876565e+36
23919.204136616212,24156.004257568715,3.300638853944038e+36
23823.90950261592,24059.766206691816,3.0505709586705897e+36
23728.993610646827,23963.91064739223,2.827075667256101e+36
23634.454897356987,23868.436000840822,3.0502821245784495e+36
23540.294922684163,23773.343842418737,3.4296071864134214e+36
23446.508992013525,23678.62943103446,3.2205286666322024e+36
23353.095583513004,23584.291229789782,3.291070183967289e+36
23260.056224226097,23490.330780845936,3.049934572651872e+36
23167.38633418928,23396.743458897752,2.749263646159418e+36
23075.085924499213,23303.529275151755,3.072501943623764e+36
22983.153489089993,23210.686708631983,3.362341703523583e+36
22891.58753453614,23118.214251128047,3.2638150885172106e+36
22800.385121314528,23026.10893401554,3.766773353093914e+36
22709.547709113518,22934.372231433743,3.5099199688057166e+36
22619.070935389114,22842.99973764947,3.62488894266161e+36
22528.95481304778,22751.991465696956,3.457769352358182e+36
22439.19790795224,22661.345967240966,3.55620427304884e+36
22349.79879718458,22571.061805276706,4.017875676224391e+36
22260.75606882504,22481.13755390641,3.7648303678153364e+36
22172.068321735176,22391.571798120356,3.693382802369665e+36
22083.73279710085,22302.36175179215,3.973969657912594e+36
21995.749504718642,22213.507424815358,3.445622313515916e+36
21908.117074276302,22125.00743331164,3.7651506666007974e+36
21820.83414542089,22036.860403460556,4.117508430227912e+36
21733.898042324527,21949.06363294354,4.0455172315414044e+36
21647.30877028455,21861.61712711037,4.431875376746781e+36
21561.064997414684,21774.51954088909,3.968042993869749e+36
21475.164107157296,21687.768231818154,4.648449691225385e+36
21389.606100300818,21601.363200693795,4.8168820592999244e+36
21304.38839840467,21515.301843548878,4.7596011040577644e+36
21219.509735457606,21429.582881838636,4.546415835876329e+36
21134.970106674395,21344.20631073047,4.606914806910358e+36
21050.768232029648,21259.17083752674,4.9753704842405836e+36
20966.899139621997,21174.471441104255,4.554138037174754e+36
20883.36532453359,21090.110641246476,5.2359420235331604e+36
20800.16431629159,21006.085943022877,5.290426539213627e+36
20717.29609907802,20922.39733045889,5.393631362257664e+36
20634.758236710873,20839.04234325431,5.47194515835373e+36
20552.545968261376,20756.016173347165,5.481159623361926e+36
20470.664058019887,20673.323632194286,5.205928673266187e+36
20389.107758136917,20590.959924942472,5.332259690274344e+36
20307.877067679405,20508.92505064943,5.443592657823919e+36
20226.969659233375,20427.216658859787,6.362330649312356e+36
20146.38324821357,20345.832442370884,4.790287342468844e+36
20066.117851323408,20264.77241805151,5.412849290307765e+36
19986.173454545715,20184.036571745717,5.66043446861143e+36
19906.547790233966,20103.62261335728,6.347717788825251e+36
19827.238631957494,20023.528294413874,6.1615491167779e+36
19748.24598198081,19943.75361720242,6.336383171456593e+36
19669.5676416677,19864.296361320212,6.259065704020131e+36
19591.203605652823,19785.156521348785,6.081024065275177e+36
19513.149565916287,19706.32974661886,6.429252585731827e+36
19435.40767983805,19627.818215868447,5.693245065748289e+36
19357.975801963014,19549.619762402446,5.743822375619505e+36
19280.853910955626,19471.73436467409,6.021794845027845e+36
19204.037817857745,19394.157792254537,5.572377865695313e+36
19127.527542798158,19316.89006547186,5.733205262080395e+36
19051.32103998847,19239.929118284355,5.51580863954066e+36
18975.420340398712,19163.27700176866,6.246973606845239e+36
18899.8213688458,19086.929600397376,6.308956726667684e+36
18824.522138396624,19010.88490756675,5.806455477159429e+36
18749.524641884564,18935.14493583922,6.003874003595332e+36
18674.824910011255,18859.705676620368,4.950331426149538e+36
18600.42295312485,18784.567140360785,5.52783995150071e+36
18526.318753178937,18709.72930883541,5.084902620335045e+36
18452.508443185798,18635.188276773337,5.403942695181706e+36
18378.992041150163,18560.94406235755,4.9848146073075307e+36
18305.769536896954,18486.996655312236,5.30075618258075e+36
18232.83716195579,18413.342249859154,5.0787228651497573e+36
18160.19679096267,18339.9827391932,5.007861308015745e+36
18087.84470438304,18266.91436695643,4.446328086392871e+36
18015.78273634678,18194.138985436613,4.7186201240526483e+36
17944.007215386515,18121.652886818843,4.7553574312582536e+36
17872.516351000842,18049.45426287575,4.5709312394367224e+36
17801.31193871869,17977.544926912004,4.7966316178136273e+36
17730.390398377203,17905.92126332114,4.816908174309858e+36
17659.749985871436,17834.581510731565,4.782095742655449e+36
17589.392457870672,17763.52744320359,4.491604976674128e+36
17519.316044403564,17692.757273243158,4.763603880799221e+36
17449.517295946614,17622.267517176486,5.043412434518541e+36
17379.997930448757,17552.0599099602,5.3165314313136095e+36
17310.7545408893,17482.131010844103,5.403060018703134e+36
17241.787137777945,17412.480830441946,5.194256359162389e+36
17173.09570528934,17343.109352771702,5.281835874269698e+36
17104.67691850132,17274.013219994486,5.647700995866172e+36
17036.530788805692,17205.19244361487,6.06204604994961e+36
16968.65568592076,17136.645377211375,5.319302229374083e+36
16901.051608223817,17068.372019145234,5.74661236945345e+36
16833.71693842406,17000.37073611446,5.84473654462352e+36
16766.650084692057,16932.63992053051,5.666327500960258e+36
16699.851045010386,16865.179570355987,6.190980520767278e+36
16633.316687227685,16797.986522431238,5.474464387069697e+36
16567.048573338037,16731.062354214086,5.65916758046803e+36
16501.045135218876,16664.405482057544,6.58266617391731e+36
16435.30331327339,16598.0128160748,6.167790704823944e+36
16369.824630679626,16531.885894523355,6.180901933522189e+36
16304.60606265701,16466.021662677314,6.34695070079146e+36
16239.647614826385,16400.420126213165,5.838877671177084e+36
16174.947800043796,16335.07978326423,6.298661223912172e+36
16110.505153616416,16269.999154637218,6.292684463828625e+36
16046.319677630818,16205.178242439362,7.108257205514317e+36
15982.391349786247,16140.61702414913,7.167518704360692e+36
15918.715858220992,16076.31114521738,6.659906342053767e+36
15855.29464564909,16012.262062641017,7.021720182299878e+36
15792.126286618346,15948.468336855867,6.756193702959951e+36
15729.209376634915,15884.9285494636,7.315690520378624e+36
15666.54390894291,15821.642693641445,7.212332956280409e+36
15604.127120632134,15758.607979126393,6.945512358797432e+36
15541.959023265685,15695.824417596015,7.533538720722032e+36
15480.038260035759,15633.290638810113,7.460995722082138e+36
15418.364827510553,15571.006639302908,8.145660558219496e+36
15356.937375612717,15508.971055631284,7.680454622682457e+36
15295.754573475204,15447.18254375261,9.27775741673857e+36
15234.815109061863,15385.639778641576,8.76690563462206e+36
15174.118980774309,15324.342758683975,8.507207093795711e+36
15113.663600598515,15263.28887024444,8.498703920533911e+36
15053.450254051562,15202.479411566674,8.558224735638226e+36
14993.476378930573,15141.911795081985,9.045833345840666e+36
14933.741973891532,15081.586019433058,8.444743369463536e+36
14874.244532107823,15021.49955297569,8.681218455744987e+36
14814.98406663064,14961.652408890284,8.091973650794137e+36
14755.96056781877,14902.044577440178,9.50627863405101e+36
14697.171579712152,14842.673578351303,9.596897592998191e+36
14638.617106457483,14783.539415811412,9.513019296878448e+36
14580.295937080473,14724.64086685757,9.644983856256235e+36
14522.208060060982,14665.977919855586,9.438398111823517e+36
14464.349920195802,14607.54698440574,9.778140695963036e+36
14406.722711310573,14549.349266152547,9.943233890959075e+36
14349.326412511386,14491.384743995248,9.766397821610639e+36
14292.15754298508,14433.649902660633,1.0267659623700028e+37
14235.216121403022,14376.144761004913,1.0457680369100759e+37
14178.50214453524,14318.869315766138,1.1200581166892806e+37
14122.014468652944,14261.822411892608,1.2597455735803749e+37
14065.75085444948,14205.00178790853,1.0888324797291177e+37
14009.712416108796,14148.408569028274,1.136124487768051e+37
13953.896933678036,14092.040513321448,1.1821034924582667e+37
13898.30331994317,14035.896522810608,1.1102097948158837e+37
13842.931576365074,13979.976598971089,1.2428726945376705e+37
13787.78061668347,13924.279644788638,1.261900873519456e+37
13732.849367953026,13868.80457669576,1.1789851071199577e+37
13678.136770280404,13813.55032430618,1.3061804745103062e+37
13623.642818008311,13758.516881906593,1.2008008298931521e+37
13569.364385411212,13703.701092826785,1.2990855124518146e+37
13515.303549899867,13649.105055043876,1.344016213106582e+37
13461.458235555045,13594.72667208704,1.3673040844122198e+37
13407.826411385155,13540.563892857868,1.2764647525484925e+37
13354.409092496973,13486.617742512693,1.3812914769503556e+37
13301.204263482648,13432.886185691126,1.3257639918807854e+37
13248.210937212234,13379.368225490636,1.1245415458434383e+37
13195.429114814622,13326.063863051288,1.1965345594706148e+37
13142.85780814017,13272.972100440758,1.2634389985062607e+37
13090.49604022257,13220.091951020773,1.2714240339942574e+37
13038.342845058212,13167.422439224289,1.1847677036007398e+37
12986.397267389604,13114.962600336761,1.1829731249392077e+37
12934.658362492759,13062.711480281438,1.2248537972830651e+37
12883.12612727193,13010.66907593192,1.1681372763681806e+37
12831.798691332398,12958.833498376589,1.2714207346084618e+37
12780.676057040697,12907.2047500054,1.21412912362807e+37
12729.75729806649,12855.781895317348,1.2820350459382507e+37
12679.040595921826,12804.563097821452,1.1353343371544405e+37
12628.526855064005,12753.54927092914,1.2873339499296727e+37
12578.214268941243,12702.738590203762,1.1370324576524118e+37
12528.10194956349,12652.130158864169,1.2133664400834308e+37
12478.189018056548,12601.723089335308,1.3581011776616104e+37
