u,g,r,i,z,y,time
23.1704,21.2018,21.2103,21.5114,21.7802,22.0265,0.15
23.5789,21.1409,20.9617,21.2145,21.5260,21.8358,0.25
23.8770,21.2693,20.8425,21.0248,21.3315,21.6416,0.35
24.0666,21.4650,20.8058,20.8836,21.1781,21.5241,0.45
24.2860,21.6702,20.8173,20.8320,21.0678,21.4078,0.55
24.4915,21.8850,20.8688,20.8130,20.9743,21.3247,0.65
24.6878,22.0923,20.9675,20.8119,20.9211,21.2462,0.75
24.8287,22.2758,21.0916,20.8310,20.8790,21.1763,0.85
25.0073,22.4596,21.2454,20.8586,20.8475,21.0969,0.95
25.1298,22.6274,21.4196,20.9098,20.8522,21.0610,1.05
25.2473,22.7913,21.6007,20.9742,20.8625,21.0203,1.15
25.3919,22.9328,21.7482,21.0410,20.8826,21.0216,1.25
25.5055,23.0504,21.8648,21.1200,20.9311,21.0195,1.35
25.6534,23.1976,21.9493,21.2025,20.9604,21.0255,1.45
25.7201,23.3028,22.0483,21.2918,21.0112,21.0525,1.55
25.8654,23.4238,22.1213,21.3810,21.0557,21.0701,1.65
25.9182,23.5285,22.2034,21.4588,21.1312,21.1108,1.75
26.0463,23.6009,22.2681,21.5458,21.1767,21.1672,1.85
26.0857,23.7049,22.3417,21.6179,21.2492,21.1974,1.95
26.1784,23.8079,22.4002,21.6954,21.3024,21.2526,2.05
26.2259,23.8723,22.4619,21.7628,21.3580,21.2954,2.15
26.4161,23.9774,22.5298,21.8333,21.4314,21.3632,2.25
26.4324,24.0227,22.5816,21.8808,21.5084,21.4098,2.35
26.4638,24.1102,22.6290,21.9218,21.5505,21.4572,2.45
26.4996,24.1719,22.6949,21.9980,21.6267,21.5095,2.55
26.6723,24.2361,22.7709,22.0508,21.6689,21.5401,2.65
26.6868,24.2887,22.8091,22.1021,21.7174,21.6118,2.75
26.7941,24.3727,22.8632,22.1488,21.7903,21.6691,2.85
27.0146,24.4405,22.9245,22.2073,21.8336,21.7375,2.95
27.0096,24.4898,22.9621,22.2596,21.8922,21.7811,3.05
27.0278,24.5495,23.0128,22.3113,21.9298,21.8345,3.15
27.0165,24.5791,23.0703,22.3561,21.9939,21.8951,3.25
27.1065,24.6382,23.1159,22.4102,22.0419,21.9538,3.35
27.2153,24.6868,23.1836,22.4530,22.1159,22.0050,3.45
27.3429,24.7480,23.2107,22.4986,22.1568,22.0631,3.55
27.3433,24.7967,23.2504,22.5428,22.2083,22.1131,3.65
27.4521,24.8040,23.2920,22.6042,22.2823,22.1730,3.75
27.5151,24.8672,23.3665,22.6327,22.3140,22.2348,3.85
27.5301,24.9326,23.3688,22.6787,22.3516,22.2956,3.95
27.6041,24.9743,23.4404,22.7427,22.4048,22.3498,4.05
27.7030,25.0487,23.4848,22.7660,22.4584,22.4014,4.15
27.6825,25.0877,23.5364,22.7993,22.5016,22.4519,4.25
27.8627,25.1038,23.5900,22.8694,22.5526,22.4898,4.35
27.7973,25.1219,23.6114,22.8838,22.5979,22.5211,4.45
27.7436,25.2193,23.6704,22.9490,22.6309,22.5953,4.55
27.8638,25.2416,23.7180,22.9965,22.6679,22.6414,4.65
28.0303,25.2615,23.7581,23.0433,22.7287,22.6847,4.75
28.1725,25.3000,23.8108,23.0680,22.7809,22.7482,4.85
28.1484,25.3770,23.8387,23.1124,22.8120,22.7735,4.95
28.3350,25.4232,23.8888,23.1457,22.8668,22.8315,5.05
28.1885,25.4178,23.9479,23.1987,22.8875,22.8716,5.15
28.4635,25.4606,23.9587,23.2271,22.9195,22.9261,5.25
28.3655,25.5017,24.0164,23.2833,22.9619,22.9503,5.35
28.5253,25.5775,24.0658,23.3057,23.0061,23.0049,5.45
28.6065,25.5824,24.0898,23.3327,23.0317,23.0468,5.55
28.6999,25.6474,24.1159,23.3870,23.1023,23.0824,5.65
28.6003,25.6592,24.1566,23.4208,23.1146,23.1201,5.75
28.7196,25.7181,24.2103,23.4670,23.1585,23.1890,5.85
28.7820,25.7426,24.2495,23.5077,23.2193,23.2375,5.95
28.9344,25.8015,24.2704,23.5521,23.1913,23.2555,6.05
29.0863,25.8288,24.3063,23.5862,23.2979,23.3080,6.15
29.1204,25.8657,24.3464,23.6027,23.3202,23.3322,6.25
29.3914,25.8887,24.3882,23.6521,23.3521,23.3847,6.35
29.2111,25.9526,24.4262,23.7225,23.4060,23.3925,6.45
29.2990,25.9626,24.4619,23.7372,23.4431,23.4381,6.55
29.2149,25.9763,24.4978,23.7610,23.4714,23.4974,6.65
29.3654,26.0473,24.5386,23.8165,23.5122,23.5334,6.75
29.3442,26.0788,24.5544,23.8545,23.5753,23.5731,6.85
29.4679,26.1243,24.6236,23.8667,23.5905,23.6179,6.95
29.4373,26.1311,24.6241,23.9078,23.6147,23.6338,7.05
29.6779,26.1631,24.6682,23.9227,23.6503,23.6965,7.15
29.6219,26.2134,24.6979,23.9709,23.6942,23.7241,7.25
29.6844,26.2255,24.7145,24.0076,23.7168,23.7577,7.35
29.6955,26.2734,24.8116,24.0439,23.7873,23.8015,7.45
29.8573,26.3265,24.8014,24.0726,23.7894,23.8232,7.55
30.1499,26.3726,24.8419,24.1038,23.8587,23.8721,7.65
29.8090,26.3844,24.8610,24.1663,23.8645,23.9227,7.75
30.1829,26.4649,24.9287,24.2139,23.9181,23.9257,7.85
29.9275,26.4391,24.9465,24.1803,23.9675,23.9679,7.95
30.2889,26.5294,24.9661,24.2814,23.9666,23.9867,8.05
30.3322,26.5110,24.9768,24.3088,23.9975,24.0415,8.15
30.1966,26.6216,25.0058,24.3147,24.0509,24.0589,8.25
30.1028,26.6807,25.0551,24.3671,24.0703,24.1066,8.35
30.2810,26.6957,25.1260,24.3840,24.0935,24.1359,8.45
30.6799,26.7025,25.1294,24.4146,24.1574,24.1628,8.55
30.6833,26.7426,25.1668,24.4661,24.1816,24.2405,8.65
30.6909,26.7317,25.1814,24.5048,24.1913,24.1642,8.75
30.6718,26.8203,25.2457,24.5262,24.2410,24.2852,8.85
30.6703,26.8562,25.3013,24.6086,24.3534,24.3860,8.95
31.3315,27.3412,25.7132,25.1387,24.9988,25.1561,9.05
32.4237,27.9569,26.4036,25.9066,25.7673,26.1039,9.15
33.9439,28.7378,27.1069,26.8674,26.9133,27.3070,9.25
33.0635,29.6914,28.1894,28.1605,28.2317,28.7338,9.35
35.0862,30.8076,29.1696,29.3425,29.3279,29.4805,9.45
35.3423,32.1432,30.2439,30.3513,30.2765,31.5694,9.55
35.5337,33.1140,31.1739,30.9365,30.8289,30.9972,9.65
-9999.0000,33.3514,31.8755,31.8309,32.2691,32.2639,9.75
34.9683,34.0619,32.5035,32.5138,34.3558,33.2418,9.85
