u,g,r,i,z,y,time
29.3002,28.3603,27.7609,27.5966,27.3755,27.6823,0.05
29.6730,28.2811,27.2860,26.9026,26.6748,26.8263,0.15
29.8819,28.3353,27.0430,26.4771,26.2340,26.4310,0.25
30.2431,28.4378,26.9685,26.2096,25.9793,26.1302,0.35
30.4193,28.4929,26.9600,26.0135,25.7625,25.8755,0.45
30.5565,28.5268,26.9414,25.9132,25.5753,25.7252,0.55
30.7164,28.6164,27.0239,25.8665,25.4462,25.5423,0.65
30.6920,28.6503,27.1315,25.8397,25.3131,25.4136,0.75
30.8741,28.6692,27.2284,25.8217,25.2301,25.3141,0.85
31.0482,28.6585,27.2464,25.8581,25.1259,25.2294,0.95
30.8459,28.6965,27.4036,25.9029,25.1100,25.1649,1.05
31.1659,28.7127,27.4697,25.9494,25.0626,25.1109,1.15
31.2687,28.7355,27.6031,25.9904,25.0257,25.0670,1.25
31.3661,28.7562,27.6283,26.0179,25.0303,25.0442,1.35
31.4128,28.8959,27.7308,26.0944,25.0213,25.0635,1.45
31.7264,28.9233,27.7780,26.1461,25.0462,25.0430,1.55
31.6735,28.9001,27.8059,26.2072,25.0400,25.0469,1.65
32.1891,29.2125,27.9202,26.2969,25.1210,25.0636,1.75
32.3801,29.0863,27.9539,26.3157,25.1288,25.0600,1.85
32.3756,29.3514,28.0718,26.4502,25.2110,25.1056,1.95
32.6173,29.2529,28.0784,26.4966,25.2360,25.0833,2.05
33.0221,29.5558,28.2709,26.6158,25.3574,25.1769,2.15
33.0679,29.5098,28.2740,26.6366,25.3957,25.1526,2.25
32.8933,29.6646,28.4565,26.8356,25.5247,25.2746,2.35
33.7625,29.7000,28.4885,26.8438,25.6186,25.2822,2.45
33.5677,29.9145,28.6254,26.9743,25.7367,25.3421,2.55
33.4324,30.0949,28.7326,27.0948,25.8740,25.4162,2.65
33.9762,29.9999,28.7003,27.0950,25.9381,25.4404,2.75
35.1664,30.4127,28.9816,27.2415,26.0363,25.5628,2.85
35.4533,30.4413,29.1018,27.3744,26.1445,25.5617,2.95
34.7188,30.5876,29.2102,27.4512,26.2081,25.5894,3.05
35.7824,30.7509,29.3480,27.5122,26.3218,25.7009,3.15
36.0041,30.8711,29.4317,27.6334,26.4117,25.7727,3.25
35.5722,30.9228,29.4779,27.6616,26.4903,25.7828,3.35
35.5316,31.1154,29.7870,27.7601,26.5381,25.8972,3.45
38.6760,31.3664,29.8483,27.8860,26.6202,25.9548,3.55
