u,g,r,i,z,y,time
26.2460,26.1302,26.4098,26.6410,26.9613,27.1292,0.05
25.3332,25.2490,25.5581,25.9692,26.3022,26.4966,0.15
24.8897,24.7601,25.1146,25.5010,25.7902,25.9919,0.25
24.6224,24.4389,24.7577,25.1620,25.4658,25.7155,0.35
24.5279,24.2401,24.5459,24.9074,25.2800,25.4471,0.45
24.4916,24.0782,24.3455,24.7171,25.0595,25.2502,0.55
24.5413,23.9976,24.2332,24.5758,24.9035,25.1558,0.65
24.6452,23.9131,24.1073,24.4233,24.7648,24.9890,0.75
24.8061,23.8624,24.0332,24.3087,24.6268,24.8582,0.85
25.0047,23.8242,23.9594,24.2135,24.5347,24.7859,0.95
25.2310,23.8022,23.9258,24.1306,24.4466,24.6876,1.05
25.4931,23.7918,23.8650,24.0674,24.3851,24.6063,1.15
25.7535,23.7897,23.8053,23.9949,24.2691,24.5424,1.25
26.0475,23.8091,23.7529,23.9410,24.2066,24.4992,1.35
26.1894,23.8715,23.7683,23.9374,24.1647,24.4645,1.45
26.3966,23.9010,23.7202,23.8854,24.1302,24.4103,1.55
26.6216,23.9824,23.6807,23.8453,24.0888,24.3889,1.65
26.6281,24.0533,23.6713,23.8452,24.0787,24.4128,1.75
26.8553,24.1722,23.6408,23.7895,24.0193,24.3895,1.85
26.8367,24.2481,23.6440,23.8054,24.0461,24.4050,1.95
27.0545,24.3937,23.6236,23.7590,23.9948,24.3477,2.05
27.0407,24.4638,23.6380,23.7588,23.9995,24.3895,2.15
27.2759,24.6511,23.6496,23.7260,23.9788,24.3475,2.25
27.2471,24.7366,23.6789,23.7562,23.9879,24.3905,2.35
27.5735,24.9343,23.7223,23.7193,23.9821,24.3735,2.45
27.6063,25.0680,23.7855,23.7539,23.9934,24.4207,2.55
27.7545,25.1393,23.8146,23.7269,23.9773,24.3996,2.65
27.9875,25.3770,23.9016,23.7179,23.9830,24.3923,2.75
27.9710,25.4483,23.9558,23.7408,23.9971,24.4517,2.85
28.2419,25.5759,24.0222,23.7244,23.9832,24.4017,2.95
28.4787,25.7909,24.1203,23.7565,24.0117,24.4288,3.05
28.3954,25.8483,24.1894,23.7874,23.9909,24.4607,3.15
28.7362,25.9899,24.2470,23.7745,23.9746,24.4247,3.25
28.9202,26.1890,24.3472,23.8034,23.9397,24.4199,3.35
28.9315,26.2693,24.4157,23.8793,23.9794,24.4304,3.45
29.0260,26.3084,24.4631,23.8685,23.9211,24.4075,3.55
29.5287,26.5310,24.5569,23.8939,23.9134,24.3703,3.65
29.5862,26.6448,24.6428,23.9990,23.9319,24.3584,3.75
29.5891,26.6737,24.7172,24.0555,23.9331,24.3624,3.85
29.9226,26.7793,24.7617,24.0495,23.8992,24.3260,3.95
30.0400,26.9331,24.8524,24.0863,23.8910,24.2695,4.05
30.1172,27.0330,24.9926,24.2051,23.9143,24.2738,4.15
30.1246,27.1017,25.0806,24.2699,23.9448,24.2753,4.25
30.3520,27.1702,25.1473,24.3188,23.9824,24.2635,4.35
30.7322,27.3178,25.2042,24.3372,23.9207,24.2169,4.45
30.7981,27.4101,25.3313,24.3969,23.9638,24.2301,4.55
30.7736,27.4827,25.3905,24.4922,24.0385,24.2687,4.65
30.9121,27.5354,25.4759,24.5299,24.0673,24.2326,4.75
31.3921,27.6038,25.5437,24.5443,24.0661,24.2431,4.85
31.2906,27.7714,25.5611,24.6167,24.0938,24.2581,4.95
31.1649,27.8008,25.6677,24.6625,24.1320,24.2598,5.05
31.2659,27.8817,25.7128,24.7135,24.1859,24.2987,5.15
31.7009,27.9073,25.7685,24.7367,24.2210,24.3167,5.25
32.0605,27.9833,25.8104,24.7577,24.2477,24.3121,5.35
32.0416,28.1102,25.8417,24.7896,24.2774,24.3512,5.45
32.3468,28.1558,25.8875,24.8485,24.3147,24.3903,5.55
31.8177,28.2154,25.9222,24.8812,24.3496,24.4313,5.65
32.0411,28.2441,25.9699,24.8777,24.3879,24.4541,5.75
32.7778,28.2831,26.0133,24.9017,24.4219,24.5044,5.85
32.4653,28.3372,26.0274,24.9463,24.4474,24.5354,5.95
32.8498,28.4011,26.0646,24.9841,24.4938,24.5948,6.05
32.6213,28.5365,26.0887,25.0110,24.5373,24.6382,6.15
32.7998,28.5672,26.1559,25.0248,24.5535,24.6767,6.25
32.4222,28.5277,26.1679,25.0696,24.5831,24.7106,6.35
32.7730,28.6008,26.2350,25.0731,24.6018,24.7514,6.45
33.6578,28.5856,26.2322,25.1090,24.6789,24.7933,6.55
33.2488,28.7863,26.2528,25.1658,24.7094,24.8726,6.65
33.4005,28.8291,26.2778,25.1646,24.7417,24.9347,6.75
32.7871,28.7876,26.3256,25.1771,24.7707,25.0134,6.85
33.2539,28.7740,26.3329,25.1961,24.7868,25.0953,6.95
33.2758,28.8032,26.3543,25.2027,24.8114,25.1264,7.05
33.7725,28.8712,26.3614,25.2306,24.8359,25.1545,7.15
32.8140,28.8739,26.4042,25.2573,24.8957,25.2764,7.25
33.4789,28.9909,26.4149,25.3161,24.9396,25.3912,7.35
32.7419,29.0080,26.4563,25.3358,24.9829,25.4715,7.45
33.3854,29.0592,26.4724,25.3451,25.0293,25.5757,7.55
33.3846,29.0491,26.5040,25.3444,25.0381,25.6040,7.65
33.8809,29.0055,26.5325,25.3663,25.0898,25.6857,7.75
33.8141,29.0509,26.5413,25.3984,25.0687,25.7049,7.85
33.5884,29.1100,26.5561,25.4074,25.1085,25.8186,7.95
33.9190,29.1420,26.5551,25.4269,25.1543,25.9284,8.05
33.2221,29.1484,26.6163,25.4446,25.2168,26.0823,8.15
33.5341,29.2225,26.6378,25.4530,25.2653,26.1794,8.25
34.0587,29.2075,26.6228,25.4918,25.2764,26.2334,8.35
34.9965,29.1715,26.6542,25.4886,25.2987,26.2549,8.45
33.9992,29.2102,26.6442,25.4927,25.3267,26.2583,8.55
33.8606,29.2752,26.6587,25.4879,25.3273,26.3844,8.65
33.5773,29.2294,26.6902,25.5323,25.3794,26.5362,8.75
33.9034,29.2445,26.6966,25.5551,25.4268,26.6215,8.85
33.7110,29.3916,26.7063,25.5648,25.4398,26.7601,8.95
