K,name,m,vk,Xlan
19.0686,knova_d1_n10_m0.040_vk0.20_fd1.0_Xlan1e-5.0.h5,0.04,0.2,1e-5.0
19.092,knova_d1_n10_m0.040_vk0.20_fd1.0_Xlan1e-9.0.h5,0.04,0.2,1e-9.0
17.1466,knova_d1_n10_m0.040_vk0.30_fd1.0_Xlan1e-1.0.h5,0.04,0.3,1e-1.0
17.0765,knova_d1_n10_m0.040_vk0.30_fd1.0_Xlan1e-2.0.h5,0.04,0.3,1e-2.0
17.3961,knova_d1_n10_m0.040_vk0.30_fd1.0_Xlan1e-3.0.h5,0.04,0.3,1e-3.0
18.5373,knova_d1_n10_m0.040_vk0.30_fd1.0_Xlan1e-4.0.h5,0.04,0.3,1e-4.0
19.029,knova_d1_n10_m0.040_vk0.30_fd1.0_Xlan1e-5.0.h5,0.04,0.3,1e-5.0
19.0631,knova_d1_n10_m0.040_vk0.30_fd1.0_Xlan1e-9.0.h5,0.04,0.3,1e-9.0
18.6048,knova_d1_n10_m0.050_vk0.03_fd1.0_Xlan1e-1.0.h5,0.05,0.03,1e-1.0
18.2501,knova_d1_n10_m0.050_vk0.03_fd1.0_Xlan1e-2.0.h5,0.05,0.03,1e-2.0
18.6252,knova_d1_n10_m0.050_vk0.03_fd1.0_Xlan1e-3.0.h5,0.05,0.03,1e-3.0
19.1855,knova_d1_n10_m0.050_vk0.03_fd1.0_Xlan1e-4.0.h5,0.05,0.03,1e-4.0
19.4518,knova_d1_n10_m0.050_vk0.03_fd1.0_Xlan1e-5.0.h5,0.05,0.03,1e-5.0
19.4819,knova_d1_n10_m0.050_vk0.03_fd1.0_Xlan1e-9.0.h5,0.05,0.03,1e-9.0
18.4363,knova_d1_n10_m0.050_vk0.05_fd1.0_Xlan1e-1.0.h5,0.05,0.05,1e-1.0
18.0336,knova_d1_n10_m0.050_vk0.05_fd1.0_Xlan1e-2.0.h5,0.05,0.05,1e-2.0
18.2928,knova_d1_n10_m0.050_vk0.05_fd1.0_Xlan1e-3.0.h5,0.05,0.05,1e-3.0
18.7412,knova_d1_n10_m0.050_vk0.05_fd1.0_Xlan1e-4.0.h5,0.05,0.05,1e-4.0
19.0956,knova_d1_n10_m0.050_vk0.05_fd1.0_Xlan1e-5.0.h5,0.05,0.05,1e-5.0
19.1831,knova_d1_n10_m0.050_vk0.05_fd1.0_Xlan1e-9.0.h5,0.05,0.05,1e-9.0
17.9462,knova_d1_n10_m0.050_vk0.10_fd1.0_Xlan1e-1.0.h5,0.05,0.1,1e-1.0
17.4985,knova_d1_n10_m0.050_vk0.10_fd1.0_Xlan1e-2.0.h5,0.05,0.1,1e-2.0
17.7441,knova_d1_n10_m0.050_vk0.10_fd1.0_Xlan1e-3.0.h5,0.05,0.1,1e-3.0
18.2068,knova_d1_n10_m0.050_vk0.10_fd1.0_Xlan1e-4.0.h5,0.05,0.1,1e-4.0
18.6378,knova_d1_n10_m0.050_vk0.10_fd1.0_Xlan1e-5.0.h5,0.05,0.1,1e-5.0
18.7014,knova_d1_n10_m0.050_vk0.10_fd1.0_Xlan1e-9.0.h5,0.05,0.1,1e-9.0
17.2967,knova_d1_n10_m0.050_vk0.20_fd1.0_Xlan1e-1.0.h5,0.05,0.2,1e-1.0
17.0955,knova_d1_n10_m0.050_vk0.20_fd1.0_Xlan1e-2.0.h5,0.05,0.2,1e-2.0
17.281,knova_d1_n10_m0.050_vk0.20_fd1.0_Xlan1e-3.0.h5,0.05,0.2,1e-3.0
18.1543,knova_d1_n10_m0.050_vk0.20_fd1.0_Xlan1e-4.0.h5,0.05,0.2,1e-4.0
18.8163,knova_d1_n10_m0.050_vk0.20_fd1.0_Xlan1e-5.0.h5,0.05,0.2,1e-5.0
18.8629,knova_d1_n10_m0.050_vk0.20_fd1.0_Xlan1e-9.0.h5,0.05,0.2,1e-9.0
16.9196,knova_d1_n10_m0.050_vk0.30_fd1.0_Xlan1e-1.0.h5,0.05,0.3,1e-1.0
16.8565,knova_d1_n10_m0.050_vk0.30_fd1.0_Xlan1e-2.0.h5,0.05,0.3,1e-2.0
17.1511,knova_d1_n10_m0.050_vk0.30_fd1.0_Xlan1e-3.0.h5,0.05,0.3,1e-3.0
18.2997,knova_d1_n10_m0.050_vk0.30_fd1.0_Xlan1e-4.0.h5,0.05,0.3,1e-4.0
18.8129,knova_d1_n10_m0.050_vk0.30_fd1.0_Xlan1e-5.0.h5,0.05,0.3,1e-5.0
18.8946,knova_d1_n10_m0.050_vk0.30_fd1.0_Xlan1e-9.0.h5,0.05,0.3,1e-9.0
18.3977,knova_d1_n10_m0.075_vk0.03_fd1.0_Xlan1e-1.0.h5,0.075,0.03,1e-1.0
17.9878,knova_d1_n10_m0.075_vk0.03_fd1.0_Xlan1e-2.0.h5,0.075,0.03,1e-2.0
18.3258,knova_d1_n10_m0.075_vk0.03_fd1.0_Xlan1e-3.0.h5,0.075,0.03,1e-3.0
18.9482,knova_d1_n10_m0.075_vk0.03_fd1.0_Xlan1e-4.0.h5,0.075,0.03,1e-4.0
19.1647,knova_d1_n10_m0.075_vk0.03_fd1.0_Xlan1e-5.0.h5,0.075,0.03,1e-5.0
19.1594,knova_d1_n10_m0.075_vk0.03_fd1.0_Xlan1e-9.0.h5,0.075,0.03,1e-9.0
18.2537,knova_d1_n10_m0.075_vk0.05_fd1.0_Xlan1e-1.0.h5,0.075,0.05,1e-1.0
17.769,knova_d1_n10_m0.075_vk0.05_fd1.0_Xlan1e-2.0.h5,0.075,0.05,1e-2.0
17.9814,knova_d1_n10_m0.075_vk0.05_fd1.0_Xlan1e-3.0.h5,0.075,0.05,1e-3.0
18.4532,knova_d1_n10_m0.075_vk0.05_fd1.0_Xlan1e-4.0.h5,0.075,0.05,1e-4.0
18.7728,knova_d1_n10_m0.075_vk0.05_fd1.0_Xlan1e-5.0.h5,0.075,0.05,1e-5.0
18.8346,knova_d1_n10_m0.075_vk0.05_fd1.0_Xlan1e-9.0.h5,0.075,0.05,1e-9.0
17.7042,knova_d1_n10_m0.075_vk0.10_fd1.0_Xlan1e-1.0.h5,0.075,0.1,1e-1.0
17.2384,knova_d1_n10_m0.075_vk0.10_fd1.0_Xlan1e-2.0.h5,0.075,0.1,1e-2.0
17.4708,knova_d1_n10_m0.075_vk0.10_fd1.0_Xlan1e-3.0.h5,0.075,0.1,1e-3.0
17.8941,knova_d1_n10_m0.075_vk0.10_fd1.0_Xlan1e-4.0.h5,0.075,0.1,1e-4.0
18.3515,knova_d1_n10_m0.075_vk0.10_fd1.0_Xlan1e-5.0.h5,0.075,0.1,1e-5.0
18.4,knova_d1_n10_m0.075_vk0.10_fd1.0_Xlan1e-9.0.h5,0.075,0.1,1e-9.0
17.0702,knova_d1_n10_m0.075_vk0.20_fd1.0_Xlan1e-1.0.h5,0.075,0.2,1e-1.0
16.82,knova_d1_n10_m0.075_vk0.20_fd1.0_Xlan1e-2.0.h5,0.075,0.2,1e-2.0
17.0062,knova_d1_n10_m0.075_vk0.20_fd1.0_Xlan1e-3.0.h5,0.075,0.2,1e-3.0
17.8059,knova_d1_n10_m0.075_vk0.20_fd1.0_Xlan1e-4.0.h5,0.075,0.2,1e-4.0
18.423,knova_d1_n10_m0.075_vk0.20_fd1.0_Xlan1e-5.0.h5,0.075,0.2,1e-5.0
18.4855,knova_d1_n10_m0.075_vk0.20_fd1.0_Xlan1e-9.0.h5,0.075,0.2,1e-9.0
16.6842,knova_d1_n10_m0.075_vk0.30_fd1.0_Xlan1e-1.0.h5,0.075,0.3,1e-1.0
16.5859,knova_d1_n10_m0.075_vk0.30_fd1.0_Xlan1e-2.0.h5,0.075,0.3,1e-2.0
16.8571,knova_d1_n10_m0.075_vk0.30_fd1.0_Xlan1e-3.0.h5,0.075,0.3,1e-3.0
17.8858,knova_d1_n10_m0.075_vk0.30_fd1.0_Xlan1e-4.0.h5,0.075,0.3,1e-4.0
18.428,knova_d1_n10_m0.075_vk0.30_fd1.0_Xlan1e-5.0.h5,0.075,0.3,1e-5.0
18.4885,knova_d1_n10_m0.075_vk0.30_fd1.0_Xlan1e-9.0.h5,0.075,0.3,1e-9.0
18.2739,knova_d1_n10_m0.1_vk0.03_fd1.0_Xlan1e-1.0.h5,0.1,0.03,1e-1.0
17.8135,knova_d1_n10_m0.1_vk0.03_fd1.0_Xlan1e-2.0.h5,0.1,0.03,1e-2.0
18.1078,knova_d1_n10_m0.1_vk0.03_fd1.0_Xlan1e-3.0.h5,0.1,0.03,1e-3.0
18.7459,knova_d1_n10_m0.1_vk0.03_fd1.0_Xlan1e-4.0.h5,0.1,0.03,1e-4.0
18.9527,knova_d1_n10_m0.1_vk0.03_fd1.0_Xlan1e-5.0.h5,0.1,0.03,1e-5.0
18.9034,knova_d1_n10_m0.1_vk0.03_fd1.0_Xlan1e-9.0.h5,0.1,0.03,1e-9.0
18.128,knova_d1_n10_m0.1_vk0.05_fd1.0_Xlan1e-1.0.h5,0.1,0.05,1e-1.0
17.5789,knova_d1_n10_m0.1_vk0.05_fd1.0_Xlan1e-2.0.h5,0.1,0.05,1e-2.0
17.7703,knova_d1_n10_m0.1_vk0.05_fd1.0_Xlan1e-3.0.h5,0.1,0.05,1e-3.0
18.2593,knova_d1_n10_m0.1_vk0.05_fd1.0_Xlan1e-4.0.h5,0.1,0.05,1e-4.0
18.5622,knova_d1_n10_m0.1_vk0.05_fd1.0_Xlan1e-5.0.h5,0.1,0.05,1e-5.0
18.5736,knova_d1_n10_m0.1_vk0.05_fd1.0_Xlan1e-9.0.h5,0.1,0.05,1e-9.0
17.5335,knova_d1_n10_m0.1_vk0.10_fd1.0_Xlan1e-1.0.h5,0.1,0.1,1e-1.0
17.0518,knova_d1_n10_m0.1_vk0.10_fd1.0_Xlan1e-2.0.h5,0.1,0.1,1e-2.0
17.2716,knova_d1_n10_m0.1_vk0.10_fd1.0_Xlan1e-3.0.h5,0.1,0.1,1e-3.0
17.6584,knova_d1_n10_m0.1_vk0.10_fd1.0_Xlan1e-4.0.h5,0.1,0.1,1e-4.0
18.1133,knova_d1_n10_m0.1_vk0.10_fd1.0_Xlan1e-5.0.h5,0.1,0.1,1e-5.0
18.2045,knova_d1_n10_m0.1_vk0.10_fd1.0_Xlan1e-9.0.h5,0.1,0.1,1e-9.0
16.907,knova_d1_n10_m0.1_vk0.20_fd1.0_Xlan1e-1.0.h5,0.1,0.2,1e-1.0
16.6611,knova_d1_n10_m0.1_vk0.20_fd1.0_Xlan1e-2.0.h5,0.1,0.2,1e-2.0
16.8076,knova_d1_n10_m0.1_vk0.20_fd1.0_Xlan1e-3.0.h5,0.1,0.2,1e-3.0
17.545,knova_d1_n10_m0.1_vk0.20_fd1.0_Xlan1e-4.0.h5,0.1,0.2,1e-4.0
18.1627,knova_d1_n10_m0.1_vk0.20_fd1.0_Xlan1e-5.0.h5,0.1,0.2,1e-5.0
18.2234,knova_d1_n10_m0.1_vk0.20_fd1.0_Xlan1e-9.0.h5,0.1,0.2,1e-9.0
16.3905,knova_d1_n10_m0.1_vk0.30_fd1.0_Xlan1e-2.0.h5,0.1,0.3,1e-2.0
16.6487,knova_d1_n10_m0.1_vk0.30_fd1.0_Xlan1e-3.0.h5,0.1,0.3,1e-3.0
17.6001,knova_d1_n10_m0.1_vk0.30_fd1.0_Xlan1e-4.0.h5,0.1,0.3,1e-4.0
18.1366,knova_d1_n10_m0.1_vk0.30_fd1.0_Xlan1e-5.0.h5,0.1,0.3,1e-5.0
