u,g,r,i,z,y,time
29.3098,27.4598,26.1432,25.5145,25.4098,25.4413,0.05
30.0534,27.9607,26.3002,25.2699,24.9637,24.8973,0.15
30.5292,28.2352,26.5342,25.1997,24.6888,24.5543,0.25
31.0779,28.4577,26.7224,25.2826,24.5988,24.3356,0.35
31.4325,28.6471,26.7958,25.4484,24.5816,24.2276,0.45
31.3518,28.8712,26.9256,25.6093,24.6184,24.1802,0.55
31.8395,29.1437,26.9968,25.7733,24.6883,24.1732,0.65
32.0423,29.1964,27.1024,25.9413,24.7721,24.2149,0.75
32.0647,29.4037,27.2094,26.0737,24.9102,24.3068,0.85
32.4440,29.6704,27.3499,26.1787,25.0332,24.4015,0.95
32.6705,29.7314,27.4429,26.2704,25.1618,24.5039,1.05
33.8226,29.9149,27.5680,26.3403,25.2995,24.5898,1.15
32.9591,30.0433,27.6607,26.4177,25.4047,24.7260,1.25
32.8520,30.2648,27.8337,26.5807,25.5183,24.8195,1.35
33.9842,30.4313,27.9008,26.6455,25.6023,24.9062,1.45
33.4447,30.4879,27.9867,26.7311,25.6788,24.9833,1.55
34.2337,30.6840,28.1438,26.8506,25.7860,25.0656,1.65
34.4512,30.7422,28.2423,26.9016,25.8649,25.1124,1.75
34.8380,30.8396,28.2748,26.9856,25.9441,25.1966,1.85
34.4508,30.8636,28.5129,27.0397,26.0307,25.2787,1.95
38.5682,31.1139,28.5584,27.0892,26.0883,25.3317,2.05
34.5035,31.1643,28.6956,27.1438,26.1756,25.3922,2.15
36.0831,31.0561,28.7523,27.2855,26.2369,25.4450,2.25
34.8020,31.2582,28.8038,27.3702,26.3272,25.4995,2.35
34.8676,31.5398,28.8762,27.3930,26.3764,25.5632,2.45
35.3324,31.5985,28.9841,27.4068,26.4599,25.6160,2.55
34.9377,31.4786,29.0394,27.5165,26.5438,25.7028,2.65
35.5378,31.6624,29.1102,27.5072,26.5730,25.7586,2.75
36.1108,31.8544,29.1847,27.6334,26.6401,25.8404,2.85
34.8524,31.7780,29.1875,27.7179,26.6850,25.8653,2.95
35.7531,31.9622,29.4087,27.6961,26.7785,25.9489,3.05
36.5396,32.0816,29.2660,27.7885,26.7955,25.9893,3.15
36.9479,31.8883,29.4419,27.8336,26.8655,26.0631,3.25
-9999.0000,32.3724,29.5715,27.8702,26.9159,26.1330,3.35
36.4878,32.2988,29.5266,28.0173,27.0004,26.1821,3.45
36.2391,32.1539,29.6274,27.9806,27.0640,26.2173,3.55
36.6781,32.4102,29.6131,28.0436,27.0571,26.2796,3.65
36.0292,32.4715,29.7354,28.0574,27.1078,26.3523,3.75
36.2572,32.6869,29.8954,28.1115,27.2245,26.4054,3.85
35.4846,32.6914,29.8354,28.2090,27.2167,26.4615,3.95
35.4361,32.8197,30.0268,28.2585,27.2566,26.5453,4.05
-9999.0000,32.8966,30.0342,28.3373,27.3372,26.5821,4.15
37.1864,33.4430,30.1319,28.3533,27.4137,26.6890,4.25
-9999.0000,32.9913,30.2440,28.4799,27.4674,26.6770,4.35
37.2283,33.2001,30.2506,28.5112,27.4824,26.7579,4.45
36.5507,33.2414,30.2469,28.5520,27.5722,26.7717,4.55
38.0264,33.3946,30.3883,28.5850,27.5219,26.8238,4.65
37.7270,33.3137,30.4619,28.6676,27.6624,26.9107,4.75
36.7992,33.3196,30.4731,28.6841,27.7013,26.9812,4.85
36.4381,33.6088,30.5918,28.7713,27.7379,27.0347,4.95
36.9679,33.3879,30.6383,28.7975,27.7422,27.0313,5.05
36.7227,33.6021,30.6856,28.8536,27.7929,27.1082,5.15
36.1569,33.7540,30.7916,28.9604,27.8661,27.1487,5.25
37.3885,33.5758,30.7959,28.9571,27.9594,27.2109,5.35
-9999.0000,34.2852,30.8804,29.0544,27.9544,27.2441,5.45
37.7817,33.9683,31.0181,29.0937,27.9678,27.2926,5.55
-9999.0000,34.1415,31.0088,29.1753,28.0604,27.3818,5.65
-9999.0000,34.1162,31.2883,29.2234,28.1231,27.4013,5.75
-9999.0000,34.0131,31.1722,29.2464,28.0988,27.4092,5.85
38.1487,34.3379,31.2910,29.2723,28.1632,27.5246,5.95
38.3309,34.3371,31.2006,29.3411,28.2122,27.5215,6.05
53.2641,33.9241,31.2847,29.3837,28.2547,27.6317,6.15
53.2654,33.9517,31.2665,29.4919,28.3026,27.6336,6.25
-9999.0000,34.0802,31.4249,29.4933,28.3486,27.7095,6.35
-9999.0000,34.1863,31.5486,29.5928,28.4589,27.7456,6.45
-9999.0000,34.3983,31.5660,29.5909,28.4683,27.7924,6.55
39.0717,34.2042,31.5915,29.7035,28.5272,27.7599,6.65
-9999.0000,34.3546,31.7117,29.7794,28.5482,27.8575,6.75
-9999.0000,34.3844,31.6963,29.8108,28.6209,27.8760,6.85
41.3793,34.4884,31.7326,29.8630,28.6054,27.9083,6.95
-9999.0000,34.4977,31.6157,29.8795,28.7016,27.9483,7.05
-9999.0000,34.2002,31.8590,29.9129,28.7817,27.9844,7.15
-9999.0000,34.4444,31.8723,30.0163,28.7782,28.0613,7.25
-9999.0000,34.5212,31.9295,30.0635,28.8199,28.1307,7.35
37.3941,34.6816,31.9485,30.1551,28.8844,28.1418,7.45
-9999.0000,35.1626,31.8187,30.1565,28.9255,28.2260,7.55
