u,g,r,i,z,y,time
31.3629,29.8855,28.2751,27.3382,27.3104,27.2648,0.05
31.9087,30.2151,28.4483,26.9907,26.7755,26.7496,0.15
32.4988,30.5310,28.7326,26.9025,26.5526,26.4031,0.25
33.0425,30.8527,28.9681,27.0177,26.5898,26.2536,0.35
33.6385,31.0971,29.1998,27.2229,26.7297,26.2339,0.45
34.1817,31.3944,29.4004,27.5093,26.8412,26.2785,0.55
34.9050,31.8507,29.6525,27.7393,26.9966,26.4205,0.65
35.4777,32.0882,29.9175,27.9460,27.1626,26.6181,0.75
35.4331,32.4724,30.1339,28.1558,27.3291,26.8025,0.85
36.9779,32.7795,30.5037,28.3628,27.4898,26.9784,0.95
36.5140,33.1102,30.7306,28.5584,27.6480,27.1542,1.05
37.8866,33.3896,30.8958,28.7468,27.8156,27.2862,1.15
37.6909,33.5652,31.1567,28.9523,27.9243,27.4149,1.25
37.5834,33.8653,31.4066,29.1364,28.0751,27.5604,1.35
39.9620,34.1972,31.6515,29.3142,28.2113,27.6733,1.45
41.7207,34.6812,31.7369,29.4845,28.3579,27.7783,1.55
40.3688,35.0189,32.0245,29.6323,28.4632,27.8677,1.65
-9999.0000,34.7036,32.0482,29.8071,28.5690,27.9836,1.75
-9999.0000,35.2917,32.1539,29.9095,28.6819,28.1032,1.85
-9999.0000,35.0908,32.2969,30.0502,28.8381,28.1579,1.95
37.9056,35.3336,32.4220,30.1040,28.9233,28.2264,2.05
-9999.0000,35.4771,32.4292,30.2532,28.9881,28.3095,2.15
-9999.0000,35.5542,32.6609,30.3332,29.0715,28.3888,2.25
-9999.0000,36.2016,32.8130,30.3992,29.1646,28.4589,2.35
40.4768,35.5308,32.7381,30.4705,29.2312,28.4963,2.45
-9999.0000,36.6799,32.9120,30.6360,29.2676,28.5590,2.55
-9999.0000,35.9903,32.6753,30.7216,29.3684,28.5780,2.65
-9999.0000,36.0481,32.9814,30.7539,29.4813,28.6666,2.75
-9999.0000,36.3883,32.9038,30.8414,29.4501,28.6990,2.85
-9999.0000,36.4434,33.0554,30.8695,29.5790,28.7359,2.95
-9999.0000,36.6788,33.1507,31.0143,29.5763,28.7569,3.05
-9999.0000,36.3620,33.2236,30.9755,29.6395,28.8963,3.15
-9999.0000,36.4914,33.3275,31.0907,29.6992,28.8617,3.25
-9999.0000,36.9761,33.3044,31.1138,29.7730,28.9111,3.35
-9999.0000,36.9686,33.4226,31.1818,29.8075,28.9160,3.45
-9999.0000,37.9462,33.4659,31.1894,29.8525,29.0180,3.55
-9999.0000,37.0015,33.4126,31.2829,29.8621,29.0438,3.65
-9999.0000,36.8359,33.7082,31.2932,29.9824,29.1040,3.75
-9999.0000,36.5842,33.7209,31.4738,30.0007,29.1260,3.85
-9999.0000,36.9426,33.6261,31.4120,30.0812,29.1812,3.95
-9999.0000,37.0400,33.8760,31.3998,30.1307,29.2089,4.05
38.4598,37.3434,33.7344,31.6499,30.2068,29.2464,4.15
-9999.0000,37.5348,33.9428,31.6570,30.2666,29.2225,4.25
-9999.0000,38.2681,33.8435,31.6423,30.2119,29.3685,4.35
-9999.0000,39.1220,33.7749,31.5599,30.2998,29.4004,4.45
-9999.0000,38.9999,34.0300,31.7878,30.3276,29.4013,4.55
-9999.0000,38.5112,34.1138,31.7001,30.4328,29.4037,4.65
-9999.0000,37.5566,34.3778,31.9077,30.4333,29.4749,4.75
-9999.0000,39.1614,34.5256,31.9195,30.4690,29.5276,4.85
-9999.0000,37.7008,34.1023,31.9542,30.5579,29.5910,4.95
-9999.0000,37.4419,34.4073,31.9909,30.5902,29.6147,5.05
-9999.0000,38.5850,34.3879,31.9425,30.5751,29.6414,5.15
-9999.0000,38.2334,34.3918,32.0932,30.6590,29.6760,5.25
-9999.0000,39.2404,34.6965,32.0233,30.6541,29.7404,5.35
-9999.0000,38.9878,34.6344,32.2320,30.7590,29.8102,5.45
-9999.0000,38.6367,34.6141,32.2262,30.8123,29.8329,5.55
-9999.0000,39.1996,34.4961,32.2458,30.7793,29.8234,5.65
-9999.0000,38.4118,34.6118,32.3364,30.9257,29.9217,5.75
-9999.0000,-9999.0000,34.9531,32.3956,30.9677,29.9642,5.85
-9999.0000,38.6561,34.8706,32.4539,30.9850,30.0002,5.95
-9999.0000,39.2276,34.8635,32.5306,30.9647,29.9820,6.05
-9999.0000,39.3822,35.0816,32.5173,31.0773,30.0532,6.15
-9999.0000,-9999.0000,35.3600,32.5109,31.2128,30.0639,6.25
-9999.0000,-9999.0000,34.9629,32.5844,31.0394,30.0789,6.35
-9999.0000,39.0703,35.0152,32.6654,31.1597,30.2161,6.45
-9999.0000,38.4674,35.3373,32.6206,31.1625,30.1477,6.55
-9999.0000,39.4970,35.3226,32.7666,31.2513,30.1836,6.65
-9999.0000,40.8538,35.2648,32.8190,31.3183,30.2582,6.75
-9999.0000,45.3515,35.5192,32.8343,31.3629,30.3527,6.85
-9999.0000,39.4696,35.6510,32.7893,31.3114,30.2947,6.95
-9999.0000,39.4602,35.9219,32.8618,31.4420,30.4721,7.05
-9999.0000,-9999.0000,35.3257,32.8942,31.3949,30.4493,7.15
-9999.0000,38.7304,35.5882,32.9758,31.5032,30.4542,7.25
-9999.0000,-9999.0000,35.5282,33.0307,31.6405,30.4737,7.35
-9999.0000,40.2747,35.5165,33.0213,31.6281,30.6048,7.45
-9999.0000,41.4712,35.3850,33.1243,31.7015,30.5866,7.55
-9999.0000,-9999.0000,35.6088,33.1424,31.7455,30.5900,7.65
-9999.0000,-9999.0000,35.3890,33.2304,31.7203,30.6365,7.75
-9999.0000,39.0311,35.7200,33.3209,31.7015,30.7187,7.85
-9999.0000,-9999.0000,35.8522,33.1957,31.9087,30.7490,7.95
-9999.0000,-9999.0000,36.0150,33.3906,31.7437,30.7613,8.05
-9999.0000,42.4551,35.7643,33.4964,31.8780,30.8811,8.15
-9999.0000,40.4135,35.8152,33.4530,31.9921,30.8960,8.25
-9999.0000,-9999.0000,36.0208,33.5314,32.0346,30.9234,8.35
-9999.0000,-9999.0000,35.9560,33.5629,31.9272,30.9059,8.45
-9999.0000,-9999.0000,36.0647,33.4232,32.0192,30.9959,8.55
-9999.0000,41.9104,36.0001,33.5376,31.9779,31.0316,8.65
-9999.0000,-9999.0000,35.8044,33.4503,32.1498,31.0675,8.75
-9999.0000,42.5556,36.0113,33.6294,32.1426,31.1370,8.85
-9999.0000,40.8317,35.7893,33.6585,32.3218,31.1172,8.95
