u,g,r,i,z,y,time
20.0312,20.1439,20.5116,20.8564,21.1644,21.3678,0.05
19.1247,19.3657,19.8335,20.2561,20.5457,20.7166,0.15
18.7866,19.0000,19.4751,19.8766,20.1948,20.4335,0.25
18.6366,18.7828,19.1982,19.6455,20.0034,20.2888,0.35
18.6174,18.6267,19.0157,19.4671,19.8407,20.2041,0.45
18.6293,18.5358,18.8645,19.3042,19.7059,20.0976,0.55
18.6920,18.5042,18.7831,19.2115,19.6305,20.1128,0.65
18.7498,18.4720,18.7120,19.1267,19.5596,20.0895,0.75
18.8667,18.4759,18.6704,19.0817,19.5250,20.0504,0.85
19.0459,18.4905,18.6388,19.0315,19.5103,20.0950,0.95
19.2533,18.5438,18.6122,19.0179,19.4756,20.0968,1.05
19.4784,18.6247,18.5794,18.9842,19.4711,20.0934,1.15
19.8024,18.7510,18.5708,18.9877,19.4334,20.0675,1.25
20.1257,18.9017,18.5640,18.9894,19.4394,20.0389,1.35
20.4181,19.0618,18.5576,18.9986,19.4128,20.0361,1.45
20.7966,19.2732,18.5796,19.0238,19.4115,19.9671,1.55
21.1279,19.4412,18.6065,19.0236,19.3697,19.9231,1.65
21.3639,19.6217,18.6353,19.0366,19.3634,19.8182,1.75
21.6980,19.7930,18.6794,19.0080,19.2811,19.7098,1.85
21.8661,19.9288,18.7246,18.9852,19.2582,19.5697,1.95
22.1182,20.0987,18.7876,18.9438,19.2186,19.4231,2.05
22.2409,20.2230,18.8698,18.9359,19.1986,19.3163,2.15
22.5014,20.3882,18.9194,18.8896,19.1386,19.2013,2.25
22.6186,20.5439,19.0526,18.9167,19.1615,19.1424,2.35
22.8019,20.6732,19.0970,18.8714,19.1206,19.0354,2.45
23.0529,20.8822,19.2335,18.8924,19.1608,19.0122,2.55
23.0885,20.9275,19.3240,18.9335,19.1501,19.0097,2.65
23.3795,21.0854,19.3981,18.9473,19.1540,18.9509,2.75
23.4428,21.2094,19.5055,19.0246,19.2223,18.9725,2.85
23.5301,21.2645,19.5594,19.0642,19.2141,19.0093,2.95
23.8062,21.4469,19.6333,19.0970,19.2629,19.0033,3.05
23.8668,21.5364,19.7219,19.1907,19.3029,19.0501,3.15
23.9895,21.5933,19.7667,19.2320,19.3489,19.0807,3.25
24.1986,21.7597,19.8288,19.2889,19.3781,19.1204,3.35
24.3117,21.8560,19.9387,19.4047,19.4513,19.1741,3.45
24.3368,21.8782,19.9829,19.4436,19.4658,19.2038,3.55
24.5526,21.9493,20.0284,19.4846,19.4824,19.2235,3.65
24.6596,22.0910,20.1033,19.5614,19.5646,19.2664,3.75
24.7359,22.1543,20.2240,19.6771,19.6085,19.3394,3.85
24.8432,22.1961,20.2656,19.7121,19.5889,19.3608,3.95
24.9453,22.2823,20.3084,19.7462,19.6195,19.3865,4.05
25.0495,22.3394,20.3613,19.8329,19.6433,19.4340,4.15
25.0296,22.4314,20.4346,19.9062,19.7121,19.5088,4.25
25.2902,22.4481,20.4809,19.9354,19.6914,19.5369,4.35
25.4447,22.4737,20.5205,19.9869,19.7204,19.5488,4.45
25.3787,22.5729,20.5950,20.0371,19.7494,19.6153,4.55
25.4537,22.6369,20.6186,20.0883,19.8258,19.6660,4.65
25.6470,22.6203,20.6673,20.1217,19.8245,19.7121,4.75
25.6681,22.6474,20.6798,20.1623,19.8062,19.7521,4.85
25.7075,22.7197,20.7025,20.1683,19.8611,19.8147,4.95
25.7485,22.7805,20.7773,20.2429,19.8510,19.8874,5.05
25.8653,22.7818,20.8291,20.2693,19.9070,19.8915,5.15
25.9750,22.8235,20.8440,20.2789,19.9247,19.9496,5.25
25.9661,22.8330,20.8370,20.3150,19.9395,19.9800,5.35
25.7599,22.8800,20.8545,20.3440,19.9512,20.0836,5.45
26.1097,22.9516,20.9192,20.3700,19.9773,20.1266,5.55
26.3524,23.0254,20.9173,20.4099,19.9911,20.2318,5.65
26.2226,22.9493,20.9632,20.4395,20.0166,20.2501,5.75
26.0505,22.9639,20.9453,20.4389,20.0195,20.2763,5.85
26.3600,22.9781,20.9835,20.4472,20.0499,20.3564,5.95
26.0649,23.0411,21.0142,20.5088,20.0870,20.4174,6.05
26.3571,23.0854,21.0332,20.5360,20.1321,20.5261,6.15
26.2661,23.1280,21.0743,20.5927,20.1375,20.5371,6.25
26.2359,23.0892,21.0837,20.5967,20.1475,20.6035,6.35
26.3528,23.1376,21.1284,20.6244,20.1433,20.6203,6.45
26.4142,23.1228,21.0848,20.6341,20.1956,20.6690,6.55
26.5322,23.1505,21.1139,20.6827,20.2125,20.7773,6.65
26.4092,23.2398,21.1704,20.7058,20.2161,20.8410,6.75
26.6640,23.3086,21.1779,20.7238,20.2645,20.9001,6.85
26.5357,23.2179,21.1840,20.7654,20.3194,20.9521,6.95
26.4992,23.2255,21.2023,20.7606,20.2835,20.9474,7.05
26.5556,23.2599,21.2238,20.7991,20.3165,21.0008,7.15
26.6609,23.3127,21.2012,20.8227,20.3410,21.0882,7.25
26.6939,23.3362,21.2419,20.8270,20.3832,21.1268,7.35
26.6931,23.4007,21.2710,20.8660,20.3897,21.2429,7.45
26.8250,23.4395,21.3020,20.8886,20.4329,21.2735,7.55
26.7261,23.4368,21.3411,20.9299,20.4310,21.2739,7.65
26.9279,23.4115,21.3331,20.9422,20.4641,21.3111,7.75
26.6099,23.4030,21.3543,20.9823,20.4784,21.3689,7.85
26.8769,23.4294,21.3411,20.9725,20.5036,21.4164,7.95
26.8795,23.4644,21.3641,21.0128,20.5280,21.5154,8.05
26.9955,23.5094,21.3897,21.0799,20.5530,21.5209,8.15
27.0447,23.5578,21.4298,21.0776,20.5932,21.6508,8.25
27.1597,23.6038,21.4465,21.1097,20.6337,21.6412,8.35
27.4217,23.5716,21.4638,21.1316,20.6220,21.6573,8.45
26.9462,23.5826,21.4622,21.1449,20.6580,21.6670,8.55
27.0107,23.5408,21.4855,21.1442,20.6648,21.7283,8.65
27.1675,23.5570,21.4542,21.1995,20.6733,21.7800,8.75
27.0840,23.6237,21.5134,21.2408,20.7190,21.8246,8.85
26.9824,23.6548,21.5112,21.2648,20.7386,21.9260,8.95
