u,g,r,i,z,y,time
29.3343,28.8058,28.7072,28.8851,29.0057,29.3161,0.05
28.4662,27.7602,27.6426,27.9664,28.1663,28.4282,0.15
28.0719,27.2517,27.1790,27.4508,27.7249,27.9684,0.25
28.0156,27.0446,26.9191,27.1699,27.4517,27.7219,0.35
28.0220,26.9537,26.7192,26.9423,27.1899,27.4126,0.45
28.0825,26.9085,26.5990,26.8037,27.0253,27.2498,0.55
28.3344,26.9693,26.5394,26.6929,26.8946,27.0934,0.65
28.4260,26.9814,26.4912,26.6130,26.7862,26.9575,0.75
28.5792,27.0103,26.4432,26.5454,26.6826,26.8488,0.85
28.7523,27.0690,26.4113,26.4842,26.6119,26.7489,0.95
28.9152,27.1453,26.3964,26.4391,26.5653,26.6610,1.05
29.1207,27.2158,26.3933,26.3906,26.5219,26.5767,1.15
29.2791,27.2797,26.3859,26.3402,26.4690,26.5162,1.25
29.5074,27.3699,26.4308,26.3458,26.4453,26.4838,1.35
29.8798,27.5662,26.5102,26.3173,26.4250,26.4763,1.45
30.0981,27.6234,26.5155,26.2330,26.3358,26.3739,1.55
30.1858,27.7152,26.5907,26.2565,26.3692,26.3961,1.65
30.5957,27.9426,26.7503,26.2363,26.3225,26.3464,1.75
30.6037,27.9438,26.7482,26.1950,26.2872,26.3078,1.85
30.9892,28.2736,27.0045,26.2618,26.2883,26.3290,1.95
30.9911,28.2655,26.9672,26.1838,26.2346,26.2552,2.05
31.3324,28.6004,27.2746,26.2926,26.2507,26.2907,2.15
31.2269,28.5754,27.2235,26.2462,26.2076,26.2433,2.25
31.6924,28.9623,27.4926,26.3353,26.2404,26.2527,2.35
31.7405,28.9921,27.5151,26.3574,26.2228,26.2384,2.45
31.9297,29.1677,27.6358,26.3638,26.2161,26.2049,2.55
32.1933,29.4690,27.8546,26.4990,26.2990,26.2634,2.65
32.0003,29.3562,27.7657,26.4545,26.2308,26.2022,2.75
32.6977,29.7937,28.0526,26.5650,26.3427,26.2393,2.85
32.6823,29.8038,28.1352,26.6522,26.4091,26.2642,2.95
32.5736,29.8068,28.0813,26.6248,26.3309,26.2142,3.05
33.0049,30.1540,28.3532,26.7601,26.4930,26.2651,3.15
33.2306,30.2199,28.4503,26.8633,26.5825,26.3308,3.25
33.1105,30.2095,28.3720,26.8393,26.5545,26.2726,3.35
33.6734,30.5057,28.5838,27.0141,26.6467,26.3296,3.45
33.6580,30.6287,28.7058,27.1905,26.7991,26.4326,3.55
33.5623,30.5810,28.6913,27.1893,26.7976,26.4397,3.65
33.6797,30.6609,28.7327,27.3065,26.8094,26.4168,3.75
34.2097,30.8963,28.9485,27.6697,26.9814,26.5248,3.85
33.8995,30.9900,28.9670,27.7745,27.0538,26.6246,3.95
34.1370,30.9137,28.9186,27.7788,27.0560,26.5959,4.05
34.3764,31.0529,29.0993,28.0489,27.1067,26.6297,4.15
34.7726,31.1666,29.2743,28.5064,27.2937,26.7145,4.25
34.6352,31.3063,29.3009,28.6324,27.3628,26.8041,4.35
35.1461,31.3081,29.2527,28.5940,27.3488,26.7794,4.45
35.1681,31.3172,29.3259,28.7176,27.3896,26.7888,4.55
35.5718,31.6201,29.6274,29.1101,27.5676,26.9122,4.65
35.4847,31.7732,29.7818,29.2598,27.7417,27.0460,4.75
35.6964,31.7386,29.7913,29.2442,27.7765,27.0460,4.85
35.3631,31.8169,29.7807,29.2504,27.7848,27.0374,4.95
35.9991,31.9995,29.9327,29.5086,27.8695,27.1276,5.05
36.6290,32.3792,30.2319,29.7065,28.1538,27.3246,5.15
36.0348,32.4612,30.4272,29.8149,28.3854,27.5223,5.25
35.9582,32.5544,30.4107,29.7841,28.4012,27.5462,5.35
37.1253,32.5569,30.4756,29.7518,28.4215,27.5652,5.45
36.8769,32.5874,30.5757,29.9428,28.4738,27.5863,5.55
37.2661,33.0288,30.8386,30.2010,28.6618,27.6860,5.65
37.2109,33.2971,31.0972,30.3110,28.9020,27.9806,5.75
38.0691,33.4060,31.1399,30.3708,28.9781,28.0495,5.85
41.5339,33.4493,31.1555,30.3596,29.0369,28.0545,5.95
38.5402,33.3205,31.2688,30.4645,28.9953,28.1136,6.05
37.3780,33.8181,31.4357,30.5737,29.1239,28.1635,6.15
39.0009,34.1096,31.6086,30.8893,29.3180,28.2613,6.25
39.4581,34.3892,31.7766,30.9908,29.3854,28.4437,6.35
40.8286,34.2585,31.9068,30.9755,29.4550,28.4910,6.45
38.6000,34.4138,31.9289,30.9402,29.5166,28.5192,6.55
-9999.0000,34.5291,31.9119,30.9744,29.5127,28.5700,6.65
40.9570,34.5677,32.0421,31.1027,29.5888,28.6222,6.75
-9999.0000,34.6945,32.3305,31.3190,29.6517,28.6968,6.85
-9999.0000,35.2626,32.4680,31.4441,29.8087,28.8065,6.95
-9999.0000,35.1741,32.5628,31.4689,29.8898,28.8543,7.05
-9999.0000,35.2395,32.5884,31.4992,29.8959,28.9060,7.15
-9999.0000,35.4158,32.6278,31.4092,29.9382,28.9027,7.25
-9999.0000,35.1602,32.6199,31.4865,29.9734,28.9637,7.35
-9999.0000,35.5850,32.7732,31.7561,29.9808,28.9640,7.45
-9999.0000,35.4610,32.9645,31.8314,30.1893,29.0243,7.55
-9999.0000,35.7346,33.0753,31.9575,30.2283,29.1330,7.65
38.1457,35.9906,33.1531,31.9630,30.3250,29.2483,7.75
-9999.0000,36.0283,33.1826,32.1192,30.2800,29.2693,7.85
-9999.0000,36.1654,33.0439,31.8665,30.2171,29.2726,7.95
-9999.0000,35.8712,33.1842,31.9590,30.3257,29.2337,8.05
-9999.0000,36.1521,33.3681,31.9227,30.2783,29.2821,8.15
-9999.0000,36.2009,33.3893,32.1246,30.3499,29.3219,8.25
-9999.0000,36.8777,33.5050,32.5784,30.4503,29.3715,8.35
38.5284,36.3865,33.7991,32.3625,30.6453,29.5110,8.45
-9999.0000,36.2846,33.5083,32.5171,30.7190,29.5267,8.55
-9999.0000,36.8346,33.5100,32.2530,30.5934,29.5534,8.65
-9999.0000,37.4925,33.7596,32.3613,30.6167,29.5234,8.75
-9999.0000,36.9310,33.7443,32.4364,30.5975,29.5727,8.85
-9999.0000,36.6375,33.7416,32.2154,30.5707,29.5095,8.95
