u,g,r,i,z,y,time
19.9141,20.0276,20.3631,20.7381,21.0492,21.2405,0.05
18.9749,19.2071,19.6564,20.0241,20.3827,20.5085,0.15
18.5637,18.7787,19.2391,19.6457,19.9344,20.2001,0.25
18.3453,18.5222,18.9548,19.4011,19.7112,19.9796,0.35
18.2482,18.3434,18.7354,19.1898,19.5094,19.8119,0.45
18.2065,18.2016,18.5735,19.0145,19.3742,19.6473,0.55
18.2282,18.1264,18.4533,18.8851,19.2704,19.5840,0.65
18.2463,18.0557,18.3556,18.7391,19.1425,19.5140,0.75
18.2800,18.0262,18.2766,18.6307,19.0832,19.5193,0.85
18.3611,18.0151,18.2306,18.5804,19.0235,19.4634,0.95
18.4731,18.0165,18.1821,18.5365,18.9651,19.4435,1.05
18.5965,18.0261,18.1521,18.4811,18.9340,19.4524,1.15
18.7423,18.0506,18.0954,18.4486,18.9014,19.4385,1.25
18.9367,18.1032,18.0755,18.4161,18.8529,19.4412,1.35
19.1118,18.1754,18.0539,18.4117,18.8816,19.3968,1.45
19.3366,18.2743,18.0243,18.3922,18.8378,19.4144,1.55
19.6321,18.3897,18.0079,18.3767,18.8105,19.3870,1.65
19.8142,18.4856,17.9962,18.3899,18.7894,19.3582,1.75
20.1487,18.6633,18.0018,18.3845,18.7753,19.3234,1.85
20.2969,18.7531,18.0058,18.3926,18.7481,19.2944,1.95
20.6451,18.9298,18.0349,18.4042,18.7283,19.2514,2.05
20.7566,19.0403,18.0571,18.3907,18.7252,19.1936,2.15
21.0730,19.2000,18.0959,18.3855,18.6838,19.0958,2.25
21.1855,19.3216,18.1524,18.4025,18.6850,19.0488,2.35
21.4012,19.4192,18.1854,18.3533,18.6180,18.9568,2.45
21.5895,19.5697,18.2603,18.3674,18.6414,18.8515,2.55
21.6732,19.6516,18.2968,18.3582,18.6108,18.7795,2.65
21.9004,19.8068,18.3666,18.3248,18.5551,18.6488,2.75
22.0312,19.9349,18.4904,18.3556,18.6326,18.6138,2.85
22.1350,20.0515,18.5357,18.3437,18.5495,18.5402,2.95
22.3721,20.1931,18.6053,18.3188,18.5607,18.4928,3.05
22.4637,20.2936,18.7448,18.3920,18.6015,18.5025,3.15
22.5369,20.3989,18.7903,18.4073,18.5932,18.4664,3.25
22.7974,20.5344,18.8621,18.3930,18.6029,18.4233,3.35
22.8812,20.6390,18.9617,18.4538,18.6412,18.4296,3.45
22.9300,20.6976,19.0075,18.4966,18.6454,18.4713,3.55
23.1195,20.8288,19.0557,18.5156,18.6754,18.4223,3.65
23.2977,20.9592,19.1479,18.5681,18.7150,18.4635,3.75
23.3046,21.0459,19.2152,18.6216,18.7513,18.5063,3.85
23.3901,21.0790,19.2527,18.6745,18.7709,18.5543,3.95
23.5490,21.2087,19.3071,18.6978,18.7869,18.5389,4.05
23.7663,21.3460,19.3875,18.7907,18.8626,18.5683,4.15
23.8515,21.3745,19.4454,18.8446,18.9001,18.6248,4.25
23.8043,21.4475,19.4969,18.8899,18.8856,18.6439,4.35
23.9800,21.5383,19.5150,18.9028,18.9188,18.6473,4.45
24.2235,21.6650,19.5908,19.0060,18.9725,18.7209,4.55
24.2838,21.7041,19.7133,19.1035,19.0444,18.7824,4.65
24.0955,21.7234,19.7522,19.1415,19.0515,18.7664,4.75
24.3669,21.8076,19.7993,19.1632,19.0495,18.7835,4.85
24.5770,21.8751,19.8448,19.2072,19.0627,18.8335,4.95
24.7476,21.9545,19.9173,19.2955,19.1133,18.8971,5.05
24.5981,22.0194,20.0168,19.3904,19.1798,18.9464,5.15
24.8096,22.0691,20.0414,19.4454,19.1844,18.9695,5.25
24.9878,22.1165,20.0852,19.4607,19.2046,18.9456,5.35
24.9018,22.1533,20.0962,19.5058,19.2071,19.0013,5.45
25.1353,22.2479,20.1862,19.5450,19.2638,19.0543,5.55
24.9991,22.2582,20.2241,19.6073,19.2947,19.1021,5.65
25.2173,22.2943,20.2677,19.6463,19.3221,19.1378,5.75
25.2409,22.2644,20.2723,19.6760,19.3303,19.1624,5.85
25.4598,22.3296,20.3065,19.7068,19.3337,19.1674,5.95
25.3844,22.4308,20.3400,19.7198,19.3525,19.2255,6.05
25.6009,22.4660,20.4215,19.7703,19.3669,19.2789,6.15
25.7647,22.4939,20.4282,19.8188,19.4282,19.3361,6.25
25.5019,22.5108,20.4820,19.8207,19.4351,19.3719,6.35
25.8036,22.4936,20.4753,19.8716,19.4498,19.3943,6.45
25.5205,22.5089,20.5118,19.8687,19.4534,19.4305,6.55
25.7666,22.6172,20.5354,19.9094,19.5053,19.5041,6.65
25.8302,22.6597,20.5620,19.9450,19.5332,19.5565,6.75
26.0317,22.7409,20.6359,19.9702,19.5201,19.6172,6.85
25.9945,22.6681,20.6148,20.0050,19.5545,19.6522,6.95
25.8598,22.7296,20.6386,20.0123,19.5712,19.6858,7.05
26.0561,22.6969,20.6281,20.0172,19.5684,19.7115,7.15
26.0223,22.7050,20.6723,20.0568,19.5795,19.7851,7.25
26.1813,22.7657,20.6994,20.0910,19.6380,19.8207,7.35
26.1215,22.8937,20.7358,20.1074,19.6664,19.8835,7.45
26.0307,22.9038,20.7209,20.1349,19.6969,19.9637,7.55
26.0751,22.8579,20.7636,20.1548,19.7105,19.9742,7.65
25.9736,22.8674,20.7766,20.1529,19.7088,20.0292,7.75
26.3745,22.9329,20.7831,20.1857,19.6973,20.0529,7.85
26.3071,22.9039,20.8033,20.1719,19.7181,20.1046,7.95
26.6150,22.9667,20.8254,20.2061,19.7426,20.1701,8.05
26.3693,23.0045,20.8302,20.2484,19.7632,20.2400,8.15
26.3226,23.0349,20.8616,20.3142,19.8218,20.3170,8.25
26.5805,23.0803,20.9030,20.3012,19.8306,20.3055,8.35
26.2901,23.0504,20.9053,20.3232,19.8234,20.3607,8.45
26.5270,23.0040,20.9145,20.3257,19.8400,20.3816,8.55
26.5269,23.0538,20.9319,20.3462,19.8440,20.4295,8.65
26.6630,23.0707,20.9314,20.3470,19.8767,20.4571,8.75
26.7475,23.1495,20.9233,20.3972,19.9019,20.5642,8.85
26.6237,23.0872,20.9751,20.4173,19.9430,20.6062,8.95
