u,g,r,i,z,y,time
27.1350,25.2692,24.7054,24.8799,25.1785,25.3499,0.05
27.1437,25.0564,24.1881,24.4038,24.7198,24.8934,0.15
27.4254,25.2675,23.9383,24.1469,24.4126,24.6494,0.25
27.7432,25.6855,23.8519,23.9759,24.2216,24.4494,0.35
28.0338,26.1167,23.9204,23.8769,24.0990,24.2911,0.45
28.3122,26.4310,24.0697,23.8458,24.0456,24.1842,0.55
28.5547,26.6911,24.2671,23.8498,24.0369,24.1098,0.65
28.8320,26.9294,24.4766,23.8669,24.0292,24.0342,0.75
29.0993,27.1389,24.6830,23.9496,24.0125,23.9968,0.85
29.3683,27.3672,24.8809,24.0511,24.0161,23.9781,0.95
29.6082,27.5405,25.0869,24.1929,24.0560,23.9934,1.05
29.8944,27.6910,25.2718,24.3664,24.1242,24.0260,1.15
30.0736,27.8617,25.4536,24.5551,24.2258,24.0697,1.25
30.2841,28.0125,25.6341,24.7356,24.3616,24.0985,1.35
30.4917,28.2034,25.7934,24.8996,24.4773,24.1442,1.45
30.7869,28.3441,25.9347,25.0224,24.6046,24.1991,1.55
30.8488,28.4836,26.1001,25.1395,24.7134,24.2439,1.65
31.1435,28.6185,26.2026,25.2336,24.8025,24.3208,1.75
31.3249,28.7365,26.3279,25.3361,24.8933,24.3782,1.85
31.5001,28.8709,26.4541,25.4123,24.9697,24.4587,1.95
31.4960,28.9325,26.5449,25.4900,25.0373,24.5344,2.05
31.6346,29.0005,26.6411,25.5554,25.0849,24.5970,2.15
31.7415,29.1240,26.6952,25.6377,25.1495,24.6641,2.25
32.1226,29.2156,26.8102,25.6953,25.2136,24.7291,2.35
32.0289,29.2313,26.8677,25.7469,25.2592,24.7785,2.45
32.2058,29.3300,26.9560,25.8055,25.3203,24.8314,2.55
32.3574,29.4159,27.0150,25.8644,25.3585,24.8956,2.65
32.3673,29.5683,27.0666,25.9317,25.4085,24.9569,2.75
32.5685,29.5231,27.1124,26.0002,25.4570,25.0147,2.85
32.5298,29.5781,27.1812,26.0442,25.4885,25.0604,2.95
32.7189,29.6925,27.2461,26.0771,25.5298,25.0910,3.05
33.0208,29.6842,27.2986,26.1342,25.5744,25.1461,3.15
32.6384,29.7353,27.3574,26.1743,25.6232,25.1906,3.25
33.1809,29.8143,27.3892,26.2142,25.6518,25.2531,3.35
33.0946,29.8359,27.4359,26.2841,25.6911,25.2779,3.45
33.4932,29.8850,27.4736,26.3064,25.7195,25.3275,3.55
33.1700,29.8866,27.5136,26.3369,25.7495,25.3821,3.65
33.4907,29.9405,27.5773,26.3828,25.8150,25.4136,3.75
33.3623,29.9955,27.5972,26.4218,25.8361,25.4586,3.85
33.4139,30.0399,27.6156,26.4597,25.8672,25.5112,3.95
33.5410,30.1559,27.6820,26.4952,25.9097,25.5421,4.05
33.7553,30.0864,27.7222,26.5336,25.9622,25.5812,4.15
33.5919,30.2153,27.7675,26.5847,25.9853,25.6261,4.25
34.4901,30.2699,27.7982,26.6048,26.0067,25.6545,4.35
33.8662,30.2159,27.8188,26.6520,26.0458,25.6971,4.45
33.9521,30.2704,27.8846,26.7004,26.0967,25.7311,4.55
33.8186,30.3497,27.9098,26.7166,26.1181,25.7821,4.65
34.3531,30.3786,27.9148,26.7469,26.1631,25.8005,4.75
34.7668,30.4671,27.9885,26.7657,26.1988,25.8365,4.85
34.0035,30.5111,28.0217,26.8297,26.2197,25.8925,4.95
34.4548,30.5021,28.0130,26.8805,26.2743,25.9171,5.05
34.4807,30.6091,28.0719,26.9041,26.2896,25.9451,5.15
34.3481,30.5843,28.1203,26.9478,26.3082,25.9822,5.25
34.6698,30.6052,28.1226,26.9685,26.3477,26.0298,5.35
34.6615,30.6655,28.1424,26.9973,26.4019,26.0562,5.45
34.5020,30.7438,28.1838,27.0386,26.4279,26.0770,5.55
35.0183,30.7046,28.2273,27.0938,26.4308,26.1224,5.65
34.7978,30.7720,28.2713,27.1214,26.4708,26.1834,5.75
34.9274,30.8737,28.2819,27.1418,26.4946,26.2223,5.85
34.4497,30.8849,28.2799,27.1756,26.5450,26.2340,5.95
35.3573,30.9664,28.3400,27.1598,26.5663,26.2773,6.05
34.6798,30.9689,28.3741,27.2279,26.5778,26.3033,6.15
35.0270,31.0177,28.3634,27.2529,26.6387,26.3360,6.25
34.6104,31.0908,28.4277,27.2819,26.6669,26.3580,6.35
35.3641,31.0956,28.4578,27.3285,26.7324,26.4432,6.45
35.2291,31.0988,28.4353,27.3802,26.7579,26.4469,6.55
36.6739,31.1582,28.4887,27.3903,26.7775,26.5039,6.65
35.6197,31.1822,28.5384,27.4199,26.8394,26.5095,6.75
36.2095,31.2679,28.6007,27.4603,26.8576,26.5523,6.85
35.2519,31.3016,28.6044,27.4719,26.8982,26.5879,6.95
35.8374,31.2691,28.6238,27.4999,26.9282,26.6395,7.05
36.8179,31.3916,28.6912,27.5365,26.9141,26.6585,7.15
35.8179,31.4578,28.6711,27.5731,26.9808,26.6819,7.25
36.5951,31.3990,28.6920,27.6007,27.0278,26.7302,7.35
36.0009,31.4492,28.7297,27.6406,27.0340,26.7347,7.45
36.1238,31.5113,28.7806,27.6771,27.1012,26.7825,7.55
35.9111,31.6528,28.7962,27.6898,27.1208,26.7910,7.65
36.9844,31.6848,28.8165,27.7125,27.1664,26.8489,7.75
35.7226,31.6051,28.8356,27.7464,27.1798,26.8892,7.85
37.7089,31.6917,28.9096,27.7861,27.2429,26.9109,7.95
36.6510,31.6548,28.9330,27.7749,27.2404,26.9727,8.05
36.8451,31.9078,28.8943,27.8207,27.2822,26.9861,8.15
36.2529,31.8930,28.9594,27.8316,27.2945,27.0231,8.25
37.6852,31.8144,28.9776,27.8906,27.3199,27.0176,8.35
36.1237,31.8988,29.0488,27.9357,27.3627,27.1019,8.45
38.0719,32.0909,28.9836,27.9652,27.3902,27.1343,8.55
39.7398,32.0006,29.0772,27.9982,27.4079,27.1307,8.65
37.5213,32.0305,29.0928,28.0121,27.4841,27.1545,8.75
37.0456,32.0936,29.1654,28.0177,27.4818,27.2089,8.85
36.8869,32.0980,29.0891,28.0589,27.5079,27.2367,8.95
