u,g,r,i,z,y,time
22.4932,21.6753,21.3521,21.4304,21.6009,21.6035,0.05
21.5751,20.7270,20.5505,20.6260,20.8489,20.9288,0.15
21.4096,20.4542,20.2548,20.3151,20.5166,20.5949,0.25
21.5672,20.3955,20.0920,20.1520,20.2967,20.4400,0.35
21.9554,20.4905,19.9624,20.0516,20.1295,20.2933,0.45
22.3882,20.7003,19.9039,19.9936,20.0032,20.1821,0.55
22.6991,20.9528,19.9116,19.9808,19.9420,20.1189,0.65
23.0855,21.2268,19.9608,19.9699,19.9110,20.0366,0.75
23.3077,21.5125,20.0639,19.9819,19.8919,19.9793,0.85
23.4792,21.8007,20.1778,19.9955,19.9010,19.9486,0.95
23.6654,22.0938,20.3259,20.0461,19.9027,19.9208,1.05
23.8090,22.4467,20.4928,20.0981,19.9324,19.9112,1.15
24.1169,22.8128,20.7119,20.1994,19.9594,19.9041,1.25
24.4586,23.1512,20.9801,20.3464,19.9973,19.9069,1.35
24.7316,23.4178,21.2432,20.4884,20.0700,19.9261,1.45
25.1523,23.7395,21.6523,20.7407,20.2146,19.9721,1.55
25.5761,24.1272,21.9034,20.8905,20.3167,19.9922,1.65
25.9361,24.4266,22.2218,21.1470,20.5605,20.0970,1.75
26.6194,24.8717,22.4634,21.3168,20.7085,20.1590,1.85
26.8881,25.1229,22.6840,21.5744,20.9542,20.3813,1.95
27.4866,25.5410,22.9515,21.7539,21.0670,20.4340,2.05
27.7978,25.8355,23.1564,21.9367,21.2478,20.6764,2.15
28.2451,26.1297,23.3806,22.0807,21.3352,20.7158,2.25
28.6470,26.3182,23.5503,22.2659,21.4974,20.8879,2.35
28.8554,26.6735,23.6814,22.3462,21.5231,20.9484,2.45
29.4014,26.8291,23.8777,22.4998,21.6404,21.0166,2.55
29.9103,27.0136,23.9997,22.5862,21.7403,21.1144,2.65
30.3731,27.2965,24.1311,22.6327,21.7721,21.1401,2.75
30.3359,27.3891,24.2766,22.7746,21.9017,21.2449,2.85
30.1260,27.4866,24.3308,22.8195,21.9357,21.2957,2.95
31.7497,27.8837,24.4587,22.8613,21.9608,21.3394,3.05
30.4220,27.6822,24.5924,22.9642,22.0553,21.4183,3.15
