u,g,r,i,z,y,time
25.7861,24.7378,24.6608,24.9400,25.2678,25.5327,0.05
25.7903,24.2795,24.0308,24.3362,24.6687,24.9742,0.15
26.2274,24.2338,23.6773,23.9707,24.3339,24.6183,0.25
26.5575,24.4192,23.4766,23.7139,24.0641,24.3822,0.35
26.9350,24.7616,23.3751,23.5385,23.8615,24.1845,0.45
27.3257,25.1335,23.3432,23.4141,23.7365,24.0521,0.55
27.7459,25.4920,23.3794,23.3322,23.6428,23.9342,0.65
28.1544,25.7726,23.4728,23.2718,23.5878,23.8566,0.75
28.5288,25.9651,23.6148,23.2402,23.5723,23.8553,0.85
28.7448,26.0990,23.7922,23.2396,23.5650,23.8523,0.95
29.1481,26.2299,23.9823,23.2450,23.5565,23.8494,1.05
29.2680,26.3534,24.1831,23.2793,23.5487,23.8464,1.15
29.5801,26.4690,24.3612,23.3092,23.5061,23.8339,1.25
29.6323,26.5991,24.5163,23.3642,23.4795,23.7942,1.35
29.8596,26.7059,24.6403,23.4347,23.4323,23.7607,1.45
30.0589,26.7955,24.7380,23.5068,23.4008,23.7103,1.55
30.1616,26.9049,24.8597,23.5770,23.3787,23.6808,1.65
30.4602,26.9841,24.9271,23.6567,23.3808,23.6592,1.75
30.4642,27.0729,24.9984,23.7118,23.3884,23.6472,1.85
30.6330,27.1643,25.0813,23.7709,23.3881,23.6174,1.95
30.4097,27.2353,25.1857,23.8455,23.4161,23.6209,2.05
30.5730,27.3098,25.2092,23.8964,23.4527,23.6163,2.15
30.6551,27.3742,25.2785,23.9394,23.4946,23.6150,2.25
30.6910,27.4023,25.3330,24.0022,23.5247,23.6444,2.35
30.7663,27.4994,25.3549,24.0398,23.5779,23.6565,2.45
30.8762,27.5364,25.4088,24.0844,23.6329,23.6852,2.55
30.7833,27.5504,25.4453,24.1317,23.6763,23.7176,2.65
30.7060,27.6033,25.4895,24.1579,23.7190,23.7456,2.75
30.9204,27.6148,25.5209,24.2021,23.7840,23.7788,2.85
31.0504,27.6773,25.5392,24.2461,23.8312,23.8199,2.95
31.0639,27.6920,25.5892,24.2866,23.8748,23.8687,3.05
30.8217,27.7023,25.5932,24.3251,23.9289,23.9207,3.15
31.1821,27.7746,25.6406,24.3565,23.9830,23.9881,3.25
31.1269,27.7726,25.6705,24.3962,24.0201,24.0255,3.35
31.1493,27.8352,25.6777,24.4280,24.0792,24.1086,3.45
31.3325,27.8305,25.7138,24.4444,24.1156,24.1675,3.55
31.2428,27.8712,25.7352,24.4846,24.1602,24.2059,3.65
31.2005,27.9021,25.7509,24.5204,24.2136,24.2923,3.75
31.2445,27.8774,25.7932,24.5527,24.2634,24.3685,3.85
31.1146,27.8987,25.8046,24.5938,24.2818,24.3817,3.95
31.5117,27.9666,25.8465,24.6248,24.3239,24.4524,4.05
31.4001,28.0070,25.8534,24.6495,24.3752,24.5414,4.15
31.1983,28.0011,25.8598,24.6631,24.3954,24.5777,4.25
31.1785,28.0690,25.9029,24.6958,24.4393,24.6430,4.35
31.5584,28.0725,25.9205,24.7335,24.4779,24.7258,4.45
31.6018,28.1246,25.9510,24.7516,24.5385,24.7727,4.55
31.4583,28.1424,25.9587,24.7756,24.5518,24.8678,4.65
31.5103,28.1399,25.9937,24.8055,24.5784,24.8883,4.75
31.7773,28.1026,26.0130,24.8341,24.6021,24.9393,4.85
31.2390,28.1482,26.0337,24.8530,24.6464,24.9742,4.95
31.4536,28.2142,26.0698,24.8865,24.6668,25.0482,5.05
31.4010,28.2014,26.0684,24.9054,24.7161,25.1065,5.15
31.3281,28.2656,26.0850,24.9334,24.7269,25.1311,5.25
31.4981,28.2979,26.1032,24.9702,24.7596,25.1785,5.35
31.7713,28.3203,26.1438,24.9880,24.7859,25.2020,5.45
31.5434,28.3184,26.1536,25.0110,24.8151,25.2438,5.55
31.6947,28.3160,26.1785,25.0394,24.8177,25.2787,5.65
31.9261,28.3372,26.2208,25.0691,24.8403,25.3216,5.75
31.7637,28.4151,26.2251,25.1020,24.8610,25.3552,5.85
31.8218,28.3866,26.2627,25.1096,24.8963,25.3978,5.95
31.9456,28.4182,26.2881,25.1442,24.9442,25.4456,6.05
31.7160,28.4354,26.3124,25.1695,24.9775,25.4405,6.15
31.8312,28.5156,26.3348,25.1678,24.9726,25.5009,6.25
31.8616,28.5095,26.3582,25.2180,25.0076,25.5357,6.35
32.1343,28.5409,26.3926,25.2406,25.0282,25.5488,6.45
32.0047,28.5557,26.4002,25.2705,25.0482,25.6025,6.55
32.0198,28.5993,26.4300,25.2809,25.0789,25.6476,6.65
31.9200,28.5877,26.4548,25.2935,25.0828,25.6317,6.75
31.9915,28.5652,26.4732,25.3337,25.0947,25.6911,6.85
31.8496,28.6225,26.4862,25.3682,25.1616,25.7543,6.95
32.1403,28.7064,26.5189,25.3822,25.1678,25.7349,7.05
32.1929,28.7095,26.5241,25.4032,25.1868,25.7670,7.15
32.1180,28.7204,26.5551,25.4295,25.1957,25.8124,7.25
31.9005,28.7006,26.5793,25.4379,25.2232,25.8346,7.35
32.0127,28.7214,26.5999,25.4783,25.2465,25.8505,7.45
32.1753,28.7404,26.5811,25.5117,25.2651,25.9000,7.55
32.1107,28.8177,26.6514,25.5450,25.2961,25.9013,7.65
32.3614,28.8392,26.6419,25.5526,25.3344,25.9421,7.75
32.3372,28.7754,26.6767,25.5637,25.3547,25.9341,7.85
32.2343,28.8585,26.6920,25.5973,25.3607,25.9695,7.95
32.2223,28.8650,26.7408,25.6260,25.3693,25.9964,8.05
32.2246,28.9086,26.7377,25.6390,25.3960,26.0125,8.15
32.1966,28.9136,26.7753,25.6622,25.4290,26.0619,8.25
32.2478,28.9225,26.7810,25.6881,25.4702,26.0718,8.35
32.3287,28.9343,26.7880,25.6973,25.4923,26.1223,8.45
32.3599,28.9660,26.8183,25.7233,25.5065,26.1661,8.55
32.3027,29.0139,26.8324,25.7566,25.5518,26.1871,8.65
32.4463,28.9993,26.8598,25.7787,25.5618,26.2016,8.75
32.4844,29.0016,26.8880,25.8278,25.5839,26.2164,8.85
32.2440,29.0910,26.8862,25.8284,25.6144,26.2995,8.95
