u,g,r,i,z,y,time
27.0630,26.8889,27.0728,27.2375,27.5781,27.6359,0.05
26.2771,25.9582,26.1606,26.4427,26.8480,26.9885,0.15
25.8888,25.4976,25.6797,25.9355,26.3164,26.5117,0.25
25.6346,25.1570,25.3303,25.6339,26.0373,26.2064,0.35
25.5475,24.9354,25.0654,25.3263,25.7854,25.9088,0.45
25.5073,24.7744,24.8815,25.1104,25.5313,25.6799,0.55
25.4883,24.6801,24.7306,24.9749,25.4026,25.5044,0.65
25.5657,24.5841,24.5752,24.8213,25.2573,25.4107,0.75
25.6251,24.5220,24.4768,24.6916,25.1199,25.2356,0.85
25.7147,24.4836,24.3916,24.5890,25.0591,25.1568,0.95
25.8239,24.4836,24.3248,24.5320,24.9081,25.0342,1.05
25.9879,24.4938,24.2664,24.4467,24.8036,24.9378,1.15
26.1973,24.4810,24.1980,24.3733,24.7352,24.8634,1.25
26.4181,24.4903,24.1394,24.3119,24.6404,24.7720,1.35
26.5416,24.5333,24.1374,24.3045,24.5984,24.7196,1.45
26.7291,24.5700,24.0855,24.2428,24.5194,24.6530,1.55
27.0417,24.6060,24.0343,24.1899,24.4447,24.5823,1.65
27.0736,24.6919,24.0675,24.2170,24.4648,24.5579,1.75
27.3293,24.7492,24.0002,24.1163,24.3701,24.4931,1.85
27.3616,24.8340,24.0499,24.1633,24.3927,24.4970,1.95
27.5875,24.9529,24.0067,24.0283,24.2988,24.4221,2.05
27.4971,25.0218,24.0562,24.0925,24.3288,24.4407,2.15
27.8121,25.1713,24.0267,23.9943,24.2489,24.3995,2.25
27.6940,25.2052,24.0787,23.9987,24.2703,24.3772,2.35
28.0145,25.3925,24.1194,23.9622,24.2378,24.3657,2.45
27.9362,25.4789,24.1726,23.9295,24.2239,24.3522,2.55
28.0632,25.5598,24.1852,23.9162,24.2123,24.3237,2.65
28.2207,25.7724,24.3048,23.8785,24.1791,24.3089,2.75
28.2431,25.7734,24.3298,23.8886,24.1885,24.3112,2.85
28.4549,25.9524,24.4003,23.8407,24.1750,24.2821,2.95
28.5634,26.1100,24.5407,23.8534,24.1590,24.2716,3.05
28.5274,26.1307,24.5800,23.8650,24.1528,24.2727,3.15
28.7364,26.2699,24.6733,23.8622,24.1497,24.2648,3.25
28.9787,26.5173,24.8192,23.8759,24.1290,24.2517,3.35
29.0309,26.5295,24.9036,23.9125,24.1321,24.2461,3.45
29.0026,26.6077,24.9290,23.9020,24.1098,24.2397,3.55
29.3786,26.8729,25.0975,23.9619,24.1171,24.2227,3.65
29.5033,26.8685,25.1863,24.0041,24.1108,24.2306,3.75
29.5250,26.9357,25.2383,24.0454,24.0971,24.2324,3.85
29.6731,27.1094,25.3154,24.0646,24.0676,24.2137,3.95
29.9063,27.2865,25.4552,24.1448,24.0759,24.1851,4.05
30.0209,27.3571,25.5674,24.2244,24.0876,24.1952,4.15
29.9445,27.3651,25.5553,24.2622,24.0914,24.1989,4.25
30.2835,27.5466,25.6385,24.3011,24.0716,24.1745,4.35
30.5032,27.6934,25.7743,24.3855,24.0712,24.1485,4.45
30.5377,27.8002,25.8807,24.4858,24.1215,24.1734,4.55
30.7015,27.8021,25.9322,24.5664,24.1671,24.2233,4.65
30.8335,27.8583,25.9469,24.5895,24.1675,24.1971,4.75
31.1602,28.0578,26.0579,24.6501,24.1642,24.1841,4.85
31.3479,28.1607,26.1687,24.7405,24.2135,24.2014,4.95
31.6022,28.2471,26.2595,24.8665,24.3143,24.2109,5.05
31.2517,28.2759,26.2740,24.9370,24.3749,24.2535,5.15
31.2847,28.4083,26.3322,24.9692,24.3788,24.2673,5.25
31.7853,28.6214,26.4298,24.9939,24.4014,24.2502,5.35
32.3831,28.6603,26.5550,25.0651,24.4295,24.2662,5.45
32.2012,28.7295,26.6388,25.2220,24.4910,24.2876,5.55
32.3089,28.7924,26.6639,25.3061,24.5700,24.3270,5.65
32.3013,28.8699,26.6666,25.3430,24.6269,24.3885,5.75
32.3370,29.0167,26.7653,25.3700,24.6362,24.3704,5.85
32.4683,29.1071,26.8421,25.3974,24.6492,24.3746,5.95
32.6810,29.2517,26.9679,25.4445,24.6714,24.4159,6.05
33.3811,29.3525,26.9659,25.5423,24.7517,24.4411,6.15
32.7106,29.3544,27.0002,25.5784,24.8087,24.4780,6.25
