u,g,r,i,z,y,time
20.9116,20.6805,20.9358,21.2416,21.4904,21.7054,0.05
20.1084,19.9803,20.3136,20.6968,21.0113,21.2533,0.15
20.0215,19.7981,20.0534,20.4343,20.7487,21.0491,0.25
20.0831,19.7496,19.9412,20.2486,20.5916,20.9037,0.35
20.2977,19.7335,19.8626,20.1269,20.4282,20.8324,0.45
20.6627,19.8245,19.8026,20.0443,20.2938,20.7033,0.55
21.1276,20.0075,19.7502,19.9977,20.1953,20.6506,0.65
21.7112,20.2970,19.7102,19.9731,20.1118,20.6365,0.75
22.2488,20.6242,19.7263,19.9803,20.0558,20.6153,0.85
22.6976,20.8982,19.7890,19.9835,20.0196,20.5730,0.95
23.0586,21.1558,19.8798,19.9920,20.0205,20.4992,1.05
23.3376,21.4023,20.0114,20.0105,20.0216,20.4073,1.15
23.6234,21.6847,20.1576,20.0275,20.0547,20.2956,1.25
23.8999,21.9823,20.3367,20.0689,20.1050,20.2359,1.35
24.0597,22.2422,20.5316,20.1429,20.1757,20.2097,1.45
24.3703,22.5683,20.7251,20.2362,20.2385,20.1801,1.55
24.6590,22.8557,20.8760,20.3438,20.2807,20.1734,1.65
24.8718,23.1293,21.1104,20.5145,20.3727,20.2298,1.75
25.2667,23.4089,21.3074,20.6224,20.4008,20.2257,1.85
25.5011,23.6207,21.5840,20.8354,20.5521,20.3130,1.95
25.8211,23.8665,21.7569,20.9157,20.5754,20.3194,2.05
26.1496,24.0742,21.9883,21.1128,20.7519,20.4151,2.15
26.4570,24.3120,22.1061,21.1993,20.7803,20.4357,2.25
26.5973,24.4893,22.3085,21.3364,20.9205,20.5240,2.35
27.0638,24.6318,22.3810,21.3998,20.9679,20.5735,2.45
27.3748,24.8283,22.5140,21.4924,21.0425,20.6302,2.55
27.4898,24.9178,22.6150,21.5736,21.1239,20.7298,2.65
27.5661,25.0766,22.6923,21.6234,21.1481,20.7669,2.75
27.8775,25.1265,22.8108,21.7032,21.2170,20.8618,2.85
28.2584,25.2397,22.8336,21.7220,21.2367,20.8805,2.95
28.0094,25.3777,22.8642,21.7829,21.2592,20.9755,3.05
28.3312,25.4698,22.9936,21.8570,21.3033,21.0655,3.15
28.0542,25.4372,22.9695,21.8740,21.3092,21.0846,3.25
28.3378,25.5982,23.0321,21.8833,21.3544,21.1648,3.35
28.5101,25.6287,23.0847,21.9716,21.4092,21.2420,3.45
28.6618,25.5672,23.1373,21.9957,21.4284,21.2752,3.55
28.7615,25.7416,23.1584,21.9947,21.4293,21.3124,3.65
29.3504,25.7832,23.2021,22.0571,21.4407,21.3768,3.75
28.8015,25.8569,23.2735,22.0903,21.5069,21.4665,3.85
29.0066,25.8912,23.3083,22.1168,21.5115,21.5082,3.95
28.9450,25.8909,23.2936,22.1288,21.5204,21.5377,4.05
28.7508,25.9411,23.3358,22.1851,21.5496,21.6277,4.15
29.1128,26.0417,23.3969,22.2006,21.6005,21.6733,4.25
29.3252,25.9832,23.3932,22.2294,21.6227,21.6713,4.35
29.2153,25.9700,23.4537,22.2356,21.5854,21.7345,4.45
29.2778,26.0960,23.4848,22.2714,21.6647,21.8161,4.55
29.7486,26.1359,23.5338,22.2982,21.6708,21.8538,4.65
30.4971,26.1398,23.5377,22.3405,21.6716,21.8883,4.75
29.1839,26.1157,23.5358,22.3553,21.7133,21.9186,4.85
29.5331,26.1879,23.5794,22.3687,21.7104,22.0177,4.95
29.4526,26.2161,23.6027,22.4221,21.7348,22.0686,5.05
29.5575,26.3083,23.6499,22.4437,21.7571,22.1322,5.15
30.1355,26.3647,23.6583,22.4463,21.8028,22.1709,5.25
30.2156,26.3074,23.7113,22.4899,21.8352,22.2172,5.35
29.6731,26.3334,23.7054,22.4943,21.8103,22.2733,5.45
30.1646,26.4064,23.7665,22.5454,21.8590,22.3565,5.55
29.9433,26.5011,23.7866,22.5684,21.8965,22.3597,5.65
30.3903,26.4264,23.7893,22.5779,21.8974,22.3837,5.75
30.2580,26.4711,23.8677,22.6072,21.9110,22.4583,5.85
29.9490,26.4494,23.8507,22.6309,21.9351,22.5011,5.95
29.9214,26.5422,23.8094,22.6718,21.9266,22.5728,6.05
30.1609,26.5926,23.8972,22.6901,21.9962,22.6273,6.15
