u,g,r,i,z,y,time
20.8049,20.7428,20.6442,20.7767,20.7235,20.8812,0.05
20.3318,19.9646,19.8668,19.9183,20.0495,20.0271,0.15
20.1660,19.6533,19.3780,19.4577,19.6557,19.6774,0.25
19.9682,19.3643,19.0695,19.1028,19.3109,19.3006,0.35
19.9614,19.2049,18.8534,18.8946,19.0398,18.9956,0.45
19.9853,19.0727,18.6323,18.6674,18.7745,18.7449,0.55
19.9602,18.9298,18.4655,18.4780,18.6417,18.6289,0.65
20.0002,18.8851,18.2944,18.3382,18.4513,18.4985,0.75
20.0494,18.8185,18.1688,18.2496,18.2813,18.3513,0.85
20.1357,18.7678,18.0804,18.1211,18.2032,18.2160,0.95
20.1206,18.7302,17.9920,18.0403,18.0938,18.1200,1.05
20.2074,18.7134,17.9271,17.9612,17.9923,18.0648,1.15
20.2939,18.7223,17.8513,17.8846,17.9278,17.9479,1.25
20.3810,18.7383,17.7893,17.8107,17.8371,17.8767,1.35
20.4350,18.6990,17.7604,17.7968,17.7649,17.8712,1.45
20.4511,18.7477,17.7148,17.7517,17.7389,17.7850,1.55
20.6330,18.7725,17.6611,17.6946,17.6449,17.7013,1.65
20.5548,18.7914,17.6860,17.6822,17.6375,17.7028,1.75
20.7297,18.9003,17.6362,17.6165,17.5639,17.6333,1.85
20.6508,18.8746,17.6359,17.6126,17.5527,17.6147,1.95
20.8209,18.9800,17.6136,17.5816,17.4797,17.5355,2.05
20.7773,18.9632,17.6415,17.5898,17.5148,17.5282,2.15
20.9411,19.0703,17.6180,17.5158,17.4375,17.4589,2.25
20.7895,19.0678,17.6571,17.5749,17.4607,17.4377,2.35
20.9586,19.1572,17.6598,17.5069,17.4206,17.3919,2.45
20.9531,19.2181,17.6621,17.5221,17.4335,17.3690,2.55
20.9941,19.2573,17.6815,17.5051,17.3912,17.3542,2.65
21.1303,19.4249,17.7155,17.4835,17.3406,17.2910,2.75
20.9716,19.4039,17.7623,17.5294,17.4090,17.2808,2.85
21.1122,19.5164,17.7820,17.5157,17.3625,17.2623,2.95
21.1572,19.6727,17.8143,17.4916,17.3401,17.2100,3.05
21.1161,19.6279,17.8577,17.5289,17.3840,17.2423,3.15
21.1590,19.8082,17.8923,17.5364,17.3286,17.2102,3.25
21.3085,19.9392,17.9598,17.5128,17.3122,17.1576,3.35
21.2824,19.8988,17.9917,17.5394,17.3585,17.1397,3.45
21.3616,19.9781,18.0450,17.5682,17.3455,17.1520,3.55
21.5767,20.2111,18.1072,17.5544,17.3176,17.1185,3.65
21.5331,20.2186,18.1529,17.5847,17.3364,17.1105,3.75
21.5209,20.1615,18.1735,17.6053,17.3839,17.1366,3.85
21.7481,20.3920,18.2777,17.6603,17.3578,17.1295,3.95
21.8352,20.5440,18.3736,17.7008,17.3470,17.0980,4.05
21.8650,20.5366,18.4394,17.7209,17.3929,17.1041,4.15
21.8204,20.4847,18.4602,17.7255,17.3994,17.1052,4.25
22.0594,20.7021,18.5799,17.7994,17.3831,17.1157,4.35
22.3056,20.8628,18.7281,17.8776,17.3902,17.0960,4.45
22.3484,20.8880,18.7820,17.9032,17.4315,17.0992,4.55
22.2524,20.8509,18.8050,17.9333,17.4505,17.0874,4.65
22.2685,20.9567,18.8514,17.9429,17.4678,17.1268,4.75
22.6205,21.1617,19.0427,18.0480,17.4789,17.1219,4.85
22.7345,21.3193,19.2004,18.1332,17.5476,17.1134,4.95
22.8524,21.3472,19.2750,18.2026,17.5816,17.1510,5.05
22.8222,21.3107,19.2661,18.2100,17.6206,17.1764,5.15
22.9270,21.4497,19.3079,18.2177,17.6202,17.1621,5.25
23.2000,21.6629,19.4375,18.2918,17.6486,17.1737,5.35
23.2753,21.7365,19.5792,18.4613,17.7465,17.2069,5.45
23.5840,21.8491,19.6523,18.5289,17.8258,17.2583,5.55
23.3823,21.7949,19.7021,18.5423,17.8635,17.2555,5.65
23.3521,21.8308,19.6992,18.5322,17.8908,17.2771,5.75
23.9017,22.1267,19.7904,18.5921,17.8729,17.2578,5.85
23.9980,22.2078,19.9106,18.7249,17.9351,17.2974,5.95
24.2291,22.3125,19.9992,18.8075,18.0753,17.3769,6.05
24.1344,22.3182,20.0869,18.9010,18.1551,17.4618,6.15
24.3288,22.4240,20.0835,18.9257,18.2009,17.5292,6.25
24.5070,22.4562,20.0757,18.9622,18.2313,17.5225,6.35
25.0304,22.7959,20.1937,18.9731,18.1999,17.5216,6.45
24.7794,22.8846,20.3102,19.0418,18.2675,17.5315,6.55
25.1081,23.0100,20.3703,19.1523,18.3591,17.6157,6.65
25.3643,22.9517,20.4766,19.2253,18.4564,17.7600,6.75
25.2833,22.9048,20.5119,19.2467,18.4959,17.8401,6.85
25.2607,23.1729,20.5248,19.2740,18.5081,17.8703,6.95
25.1324,23.2342,20.5472,19.3249,18.5589,17.8704,7.05
25.5966,23.3846,20.7051,19.3462,18.5358,17.8897,7.15
26.0966,23.5086,20.7425,19.4558,18.5864,17.8983,7.25
26.2720,23.6921,20.8551,19.5379,18.6725,17.9270,7.35
26.1885,23.6375,20.8892,19.6004,18.7174,18.0620,7.45
26.6598,23.6276,20.9939,19.6399,18.7913,18.1593,7.55
26.2915,23.8592,21.0068,19.6702,18.8126,18.2146,7.65
25.8860,23.8862,20.9842,19.6901,18.8595,18.1958,7.75
26.4335,24.1417,21.1468,19.7477,18.8538,18.2080,7.85
26.5259,24.1364,21.2459,19.7995,18.8722,18.1775,7.95
26.8749,24.3204,21.2823,19.8820,18.9346,18.2184,8.05
27.1126,24.3437,21.4121,19.9334,19.0330,18.3039,8.15
26.9400,24.5967,21.4181,20.0193,19.0590,18.3852,8.25
27.6539,24.4368,21.5007,20.0812,19.1325,18.4762,8.35
27.0869,24.7618,21.5303,20.0369,19.1493,18.4802,8.45
27.7343,24.6240,21.5570,20.0743,19.1775,18.4464,8.55
27.4924,24.7519,21.6164,20.1282,19.1973,18.4992,8.65
26.6603,24.9755,21.6869,20.2097,19.1635,18.5018,8.75
28.4555,24.9925,21.6797,20.2163,19.2175,18.5205,8.85
28.4607,24.9054,21.8176,20.2866,19.2711,18.5364,8.95
