u,g,r,i,z,y,time
29.4468,29.2066,28.9296,29.0490,29.0108,29.1366,0.05
29.0528,28.4848,28.1340,28.2521,28.3214,28.2168,0.15
28.8382,28.1188,27.6475,27.7188,27.8160,27.6878,0.25
28.9387,28.0061,27.4471,27.4545,27.4686,27.3270,0.35
28.8841,27.8565,27.2487,27.1655,27.1376,26.9711,0.45
28.9121,27.7424,27.0570,26.9697,26.9675,26.7564,0.55
29.0425,27.7960,27.0801,26.8519,26.8156,26.6138,0.65
29.1105,27.7199,26.9281,26.7146,26.6906,26.5003,0.75
29.2178,27.6856,26.8426,26.5753,26.5620,26.3640,0.85
29.3984,27.7136,26.8383,26.4799,26.4516,26.2236,0.95
29.5537,27.7312,26.7972,26.3754,26.3352,26.1569,1.05
29.6835,27.7423,26.7735,26.2942,26.2161,26.0449,1.15
29.7629,27.7517,26.7181,26.1964,26.1432,25.9492,1.25
29.8440,27.7185,26.7033,26.1611,26.0615,25.9356,1.35
30.0711,27.9212,26.8438,26.1676,26.0538,25.9088,1.45
30.1321,27.8981,26.7882,26.0257,25.9049,25.7772,1.55
30.2433,27.8844,26.7488,26.0017,25.8983,25.7658,1.65
30.5494,28.1108,26.9612,26.0095,25.8346,25.7461,1.75
30.3071,27.9506,26.7877,25.8988,25.7557,25.6626,1.85
30.6987,28.2417,27.0163,26.0153,25.8110,25.6880,1.95
30.6025,28.0945,26.8610,25.8662,25.6933,25.6102,2.05
30.9066,28.3851,27.1333,25.9706,25.7490,25.6496,2.15
30.6775,28.2251,26.9384,25.8760,25.6490,25.5518,2.25
31.1117,28.5888,27.1724,25.9594,25.6482,25.5399,2.35
30.9917,28.4280,27.0580,25.9219,25.6744,25.5428,2.45
31.1574,28.6071,27.1694,25.8868,25.6023,25.4672,2.55
31.1511,28.7813,27.3029,26.0595,25.7169,25.5681,2.65
31.2802,28.5994,27.1278,25.9008,25.6057,25.4668,2.75
31.5849,28.9600,27.4266,25.9932,25.6162,25.4772,2.85
31.5770,28.8601,27.3740,26.0738,25.7107,25.5575,2.95
31.4445,28.8059,27.2509,25.9657,25.5959,25.4231,3.05
31.9041,29.1850,27.5452,26.1119,25.6516,25.4678,3.15
31.6953,29.1276,27.5170,26.1890,25.7410,25.5436,3.25
31.5558,29.0302,27.3673,26.0556,25.6200,25.4283,3.35
31.8379,29.2831,27.6295,26.2076,25.6668,25.4187,3.45
31.9454,29.3561,27.6881,26.3363,25.8001,25.5419,3.55
32.1681,29.2019,27.5354,26.2354,25.7158,25.4799,3.65
31.9194,29.2796,27.5962,26.2765,25.6806,25.4236,3.75
32.4495,29.4726,27.8337,26.4932,25.7983,25.4715,3.85
32.0370,29.4243,27.7714,26.5483,25.8725,25.5270,3.95
31.9173,29.2786,27.6144,26.4089,25.7855,25.4853,4.05
32.3943,29.4845,27.7786,26.5524,25.7459,25.4218,4.15
32.5978,29.5928,27.8807,26.7963,25.9166,25.4975,4.25
32.3422,29.6352,27.8536,26.8347,25.9540,25.5675,4.35
32.3284,29.3908,27.7704,26.7404,25.8906,25.5087,4.45
32.4563,29.5809,27.7990,26.8509,25.8833,25.4616,4.55
32.6570,29.7831,28.0378,27.1934,26.0128,25.5304,4.65
32.6685,29.8455,28.0332,27.2926,26.1142,25.6445,4.75
32.5989,29.6769,27.9241,27.2401,26.1169,25.6070,4.85
32.7999,29.6641,27.8964,27.1798,26.0114,25.5338,4.95
32.9887,29.9107,28.1194,27.4696,26.1348,25.5584,5.05
32.7613,30.0112,28.3137,27.7860,26.2965,25.6733,5.15
33.0487,30.0322,28.2691,27.7571,26.3548,25.7626,5.25
32.4709,30.0309,28.1886,27.6821,26.3189,25.7133,5.35
32.7479,29.9683,28.1650,27.6112,26.2742,25.6381,5.45
33.1245,30.1765,28.3568,27.8601,26.3996,25.6813,5.55
33.2404,30.5201,28.6227,28.0861,26.6049,25.8081,5.65
33.5418,30.5522,28.6332,28.1498,26.6917,25.8980,5.75
33.2633,30.4670,28.6567,28.0664,26.6935,25.9119,5.85
33.6115,30.2833,28.4949,27.9688,26.6269,25.8477,5.95
33.4840,30.4992,28.5734,27.9799,26.6400,25.8334,6.05
34.4480,30.8021,28.8396,28.2849,26.9512,25.9907,6.15
33.8221,30.9140,29.0767,28.3879,27.0901,26.1580,6.25
34.0525,30.8855,29.1001,28.4230,27.1844,26.2303,6.35
34.0343,30.9480,29.0521,28.3294,27.1644,26.1641,6.45
34.5177,30.9245,29.0068,28.3316,27.1070,26.1361,6.55
34.3359,30.8673,29.0274,28.3108,27.1211,26.1274,6.65
34.2832,31.1155,29.2914,28.6617,27.3751,26.2834,6.75
35.1225,31.4983,29.5322,28.8104,27.6359,26.4810,6.85
35.3335,31.5465,29.6396,28.8933,27.7450,26.6085,6.95
35.5394,31.6510,29.7262,28.9058,27.7289,26.6274,7.05
35.2727,31.5356,29.6390,28.8471,27.6335,26.6071,7.15
35.2789,31.6667,29.6061,28.7535,27.6628,26.6121,7.25
35.3677,31.6960,29.5715,28.7571,27.7123,26.5731,7.35
36.9876,32.1259,29.9786,29.1195,27.9279,26.6988,7.45
36.2381,32.3112,30.1236,29.3193,28.1206,26.9594,7.55
35.7643,32.5580,30.3133,29.4112,28.2309,27.1135,7.65
36.6630,32.4524,30.3164,29.3779,28.2279,27.1231,7.75
35.5883,32.4112,30.3762,29.3338,28.1795,27.1225,7.85
35.9441,32.4355,30.3197,29.2788,28.1413,27.0969,7.95
35.6289,32.5890,30.2855,29.4092,28.1723,27.1022,8.05
36.3760,32.6604,30.4575,29.5223,28.2607,27.1396,8.15
37.9726,33.3192,30.8331,29.8836,28.4763,27.2553,8.25
37.5841,33.5208,30.8759,29.8748,28.6396,27.4650,8.35
37.1693,33.3992,31.0667,30.0546,28.7658,27.5963,8.45
39.9896,33.3853,31.1361,30.0485,28.7738,27.5647,8.55
42.0733,33.6520,31.0113,30.0127,28.6960,27.6056,8.65
36.9817,33.6170,31.0969,29.9990,28.6712,27.6132,8.75
-9999.0000,33.5217,30.9903,30.0408,28.6697,27.5538,8.85
39.7690,33.5546,31.2077,30.1887,28.7282,27.5898,8.95
