u,g,r,i,z,y,time
22.4030,20.8831,20.2917,20.5412,20.4612,20.5753,0.05
22.0124,20.2626,19.5871,19.8413,19.8095,19.9156,0.15
22.0142,20.1327,19.2730,19.5148,19.4476,19.6134,0.25
22.1539,20.2514,19.0836,19.3257,19.1957,19.3901,0.35
22.2562,20.5442,19.0332,19.2012,19.0315,19.2438,0.45
22.4620,20.9077,19.0655,19.1610,18.9515,19.1415,0.55
22.6628,21.2925,19.1591,19.1568,18.8993,19.0608,0.65
22.8527,21.5936,19.2804,19.1801,18.8616,19.0241,0.75
23.1565,21.8977,19.4711,19.2329,18.8383,18.9751,0.85
23.4769,22.1603,19.7334,19.3541,18.8247,18.9423,0.95
23.7787,22.4475,20.0367,19.5208,18.8521,18.9294,1.05
24.1476,22.7502,20.3632,19.7111,18.8973,18.9470,1.15
24.5779,23.0540,20.6447,19.8905,18.9631,18.9806,1.25
25.0527,23.4023,20.8811,20.0799,19.0866,19.0134,1.35
25.4842,23.7340,21.1271,20.2819,19.2798,19.1120,1.45
25.8963,23.9913,21.3621,20.4409,19.4380,19.2121,1.55
26.2703,24.3429,21.5764,20.6149,19.6585,19.3591,1.65
26.8059,24.6544,21.8106,20.7764,19.7976,19.4479,1.75
27.1988,24.9185,21.9475,20.8899,19.9290,19.5767,1.85
27.0882,25.0743,22.1759,21.0427,20.0293,19.6603,1.95
27.8990,25.3603,22.2866,21.1300,20.1425,19.7587,2.05
28.2725,25.5028,22.4670,21.2386,20.2340,19.8320,2.15
28.2093,25.6852,22.5432,21.3117,20.3251,19.9156,2.25
28.4822,25.7832,22.6811,21.3927,20.3645,19.9774,2.35
28.6992,25.9179,22.7674,21.4918,20.4578,20.0321,2.45
28.5812,25.8944,22.8425,21.5133,20.5067,20.0826,2.55
29.0265,26.0855,22.9697,21.6075,20.5684,20.1443,2.65
29.5811,26.0932,23.0147,21.6586,20.6351,20.1881,2.75
29.5061,26.1659,23.1090,21.6978,20.7001,20.2431,2.85
28.9779,26.2004,23.1603,21.7744,20.7531,20.3109,2.95
29.4506,26.3542,23.2045,21.7953,20.7765,20.3452,3.05
29.8829,26.3954,23.2894,21.8398,20.8199,20.4050,3.15
30.4012,26.4125,23.3384,21.9067,20.8713,20.4590,3.25
30.7227,26.5788,23.3522,21.9442,20.9256,20.5132,3.35
29.6487,26.5419,23.4462,21.9752,20.9999,20.5660,3.45
29.2912,26.5694,23.4964,22.0194,21.0316,20.6202,3.55
30.0168,26.6918,23.5718,22.0703,21.0730,20.6912,3.65
30.4995,26.6962,23.5860,22.0852,21.1150,20.7397,3.75
30.9460,26.6927,23.6772,22.1440,21.1786,20.8009,3.85
30.3151,26.6421,23.6032,22.1942,21.2336,20.8402,3.95
31.1310,26.7815,23.7306,22.2090,21.2708,20.9135,4.05
34.3593,26.8947,23.7572,22.2149,21.2816,20.9503,4.15
31.1301,26.8200,23.7647,22.2582,21.3408,21.0291,4.25
31.6885,26.8399,23.8191,22.2785,21.3362,21.0711,4.35
29.9121,27.2274,23.8655,22.3598,21.3938,21.1144,4.45
30.7060,27.0941,23.9737,22.3732,21.4496,21.1535,4.55
30.8058,27.1573,23.9466,22.3601,21.4617,21.2262,4.65
31.0388,27.0324,23.9767,22.4239,21.5079,21.2774,4.75
32.9697,27.2463,23.9823,22.4348,21.5670,21.3088,4.85
31.9248,27.1823,24.0302,22.5036,21.6090,21.3819,4.95
31.3758,27.2023,24.0674,22.4908,21.6051,21.4104,5.05
31.8651,27.3627,24.0914,22.5482,21.6206,21.4795,5.15
30.4756,27.3025,24.1455,22.5755,21.6842,21.5058,5.25
31.8504,27.2994,24.2533,22.5982,21.6937,21.5483,5.35
31.2527,27.2823,24.2037,22.6307,21.7376,21.6332,5.45
31.5670,27.6451,24.2655,22.6584,21.7655,21.6462,5.55
34.6125,27.5235,24.2554,22.6536,21.7839,21.6983,5.65
31.9753,27.6540,24.3226,22.7141,21.8303,21.7560,5.75
31.1310,27.5460,24.3964,22.7466,21.8558,21.7745,5.85
31.8838,27.6650,24.4090,22.7938,21.8761,21.8094,5.95
-9999.0000,27.9590,24.3815,22.8121,21.9222,21.8810,6.05
-9999.0000,27.5193,24.4584,22.7920,21.9523,21.9373,6.15
32.1010,27.6839,24.4385,22.8476,21.9812,21.9590,6.25
31.4219,27.9345,24.4859,22.8440,22.0080,22.0297,6.35
-9999.0000,27.9389,24.5735,22.9167,22.0610,22.0829,6.45
-9999.0000,27.7859,24.6331,22.9244,22.0874,22.0986,6.55
32.0673,28.0088,24.6798,22.9606,22.1349,22.1693,6.65
31.2716,28.0398,24.7078,22.9687,22.1686,22.1732,6.75
-9999.0000,27.6857,24.7326,23.0074,22.1481,22.2344,6.85
32.5020,28.0439,24.7349,23.0722,22.1941,22.2793,6.95
31.6102,28.1126,24.7758,23.0859,22.2222,22.3096,7.05
-9999.0000,28.0629,24.7876,23.0820,22.2521,22.3756,7.15
-9999.0000,28.2145,24.8992,23.1795,22.2896,22.3913,7.25
-9999.0000,28.2238,24.8772,23.1477,22.3281,22.4311,7.35
32.1544,28.5638,24.9921,23.2437,22.3299,22.5110,7.45
32.5110,28.2274,24.9156,23.2475,22.3565,22.5345,7.55
31.9359,28.4108,24.9626,23.2879,22.4212,22.5624,7.65
32.3073,28.4089,24.9882,23.3287,22.4128,22.5956,7.75
-9999.0000,28.4630,25.0739,23.3419,22.4545,22.6570,7.85
-9999.0000,28.2493,25.0497,23.3712,22.4780,22.6906,7.95
-9999.0000,28.3729,25.1535,23.4034,22.4910,22.7818,8.05
-9999.0000,28.5642,25.2060,23.4023,22.5859,22.7693,8.15
33.3690,28.4573,25.1991,23.4932,22.5873,22.8031,8.25
-9999.0000,28.6914,25.1726,23.5336,22.6581,22.8610,8.35
32.6659,28.4088,25.2455,23.5379,22.6546,22.9150,8.45
-9999.0000,28.6850,25.3437,23.5479,22.6345,22.9332,8.55
33.3964,28.5881,25.2914,23.5904,22.6839,22.9694,8.65
-9999.0000,28.8719,25.3671,23.6086,22.7434,22.9730,8.75
32.5422,28.5300,25.4955,23.6468,22.7860,23.0970,8.85
-9999.0000,28.5326,25.5134,23.6854,22.8256,23.0817,8.95
