u,g,r,i,z,y,time
28.6230,26.8752,25.9718,26.0053,26.2429,26.4807,0.05
28.8387,26.7328,25.4680,25.4122,25.6605,25.9412,0.15
29.2870,27.2223,25.4001,25.1398,25.3775,25.6428,0.25
29.8848,27.7537,25.5628,24.9752,25.1808,25.4295,0.35
30.5458,28.1366,25.9058,24.8918,25.0432,25.3099,0.45
31.1426,28.4149,26.3583,24.9039,24.9719,25.2464,0.55
31.6972,28.6525,26.7567,25.0282,24.9591,25.2343,0.65
32.1796,28.8996,27.0188,25.2268,24.9552,25.2146,0.75
32.3294,29.1177,27.2039,25.4633,24.9793,25.1774,0.85
32.9718,29.2886,27.3536,25.6977,25.0175,25.1351,0.95
33.0665,29.4275,27.4881,25.8787,25.0854,25.0887,1.05
33.2935,29.6357,27.6359,26.0569,25.1795,25.0680,1.15
33.7399,29.7682,27.7604,26.2048,25.2809,25.0662,1.25
33.6699,29.8664,27.8954,26.3076,25.3665,25.1054,1.35
34.1654,30.0104,28.0006,26.4094,25.4642,25.1553,1.45
34.3194,30.1127,28.1103,26.5241,25.5555,25.2109,1.55
34.0432,30.2444,28.2045,26.6051,25.6291,25.2843,1.65
33.9777,30.3608,28.2863,26.7030,25.7104,25.3622,1.75
34.3025,30.4308,28.3860,26.8007,25.7866,25.4395,1.85
34.5694,30.5964,28.4695,26.8507,25.8523,25.5232,1.95
34.5003,30.5936,28.5064,26.9320,25.9246,25.6072,2.05
34.5561,30.6929,28.5716,27.0022,25.9905,25.6919,2.15
34.3613,30.8261,28.6532,27.0563,26.0457,25.7480,2.25
34.7286,30.7784,28.6949,27.1232,26.1096,25.8341,2.35
34.5368,30.8891,28.7413,27.1740,26.1667,25.8857,2.45
34.9208,30.9601,28.7997,27.2413,26.2247,25.9480,2.55
34.7008,31.0040,28.8134,27.2830,26.2705,26.0218,2.65
34.8303,31.0968,28.8611,27.3323,26.3297,26.0781,2.75
34.5214,31.1342,28.8997,27.3784,26.3714,26.1302,2.85
34.5192,31.0913,28.9330,27.4248,26.4108,26.1818,2.95
34.8336,31.1626,28.9595,27.4632,26.4527,26.2167,3.05
35.6021,31.2366,29.0084,27.4875,26.4824,26.2563,3.15
34.9845,31.2753,29.0541,27.5344,26.5300,26.3139,3.25
35.2621,31.3423,29.0530,27.5863,26.5711,26.3473,3.35
35.3156,31.3581,29.0729,27.6046,26.6012,26.4014,3.45
35.2905,31.3770,29.1128,27.6439,26.6599,26.4428,3.55
35.3191,31.3918,29.1432,27.6945,26.6884,26.4694,3.65
35.9129,31.4324,29.1671,27.7213,26.7102,26.4929,3.75
36.1007,31.3490,29.1928,27.7260,26.7509,26.5361,3.85
35.5339,31.4689,29.2103,27.7846,26.7780,26.5648,3.95
35.1633,31.5464,29.2162,27.8021,26.8317,26.6047,4.05
35.5472,31.5302,29.3050,27.8522,26.8495,26.6362,4.15
35.6058,31.5763,29.3343,27.8755,26.9148,26.6792,4.25
35.3310,31.6216,29.3397,27.9182,26.9526,26.7135,4.35
35.3150,31.6194,29.3753,27.9402,26.9758,26.7258,4.45
35.3959,31.6164,29.4023,27.9705,26.9953,26.7467,4.55
35.0985,31.6559,29.4182,28.0087,27.0262,26.8082,4.65
35.6234,31.7589,29.4205,27.9946,27.0464,26.8224,4.75
35.6626,31.7158,29.4820,28.0330,27.1070,26.8449,4.85
35.3811,31.7964,29.5317,28.0912,27.0920,26.8853,4.95
35.5415,31.7949,29.5400,28.0946,27.1591,26.9231,5.05
35.5109,31.8248,29.5356,28.1366,27.1865,26.9486,5.15
36.6050,31.8100,29.5724,28.1766,27.2075,26.9616,5.25
35.6244,31.8883,29.6308,28.2026,27.2465,26.9928,5.35
35.7599,31.9493,29.6190,28.2126,27.2867,27.0433,5.45
35.8720,31.9012,29.6902,28.2459,27.3118,27.0403,5.55
35.9154,31.9222,29.6382,28.2724,27.3266,27.0847,5.65
35.6841,32.0502,29.7370,28.3131,27.3744,27.0880,5.75
36.5827,32.0203,29.7753,28.3153,27.3910,27.1312,5.85
36.3034,32.0671,29.7244,28.3488,27.4089,27.1654,5.95
36.1742,32.0715,29.7930,28.3715,27.4585,27.1731,6.05
36.0127,32.0698,29.7857,28.3908,27.4944,27.2227,6.15
36.5829,32.1085,29.8073,28.4280,27.5138,27.2371,6.25
36.7072,32.0936,29.8344,28.4228,27.5475,27.2874,6.35
36.8759,32.1259,29.8455,28.4979,27.5852,27.2893,6.45
36.8774,32.1856,29.8960,28.5082,27.6243,27.3250,6.55
36.2099,32.2946,29.9420,28.5267,27.6382,27.3525,6.65
36.4002,32.2673,29.9450,28.5423,27.6496,27.3802,6.75
36.5820,32.2237,29.9766,28.5437,27.6922,27.4322,6.85
36.7881,32.3239,29.9899,28.6032,27.7275,27.4635,6.95
35.8714,32.2140,30.0446,28.6083,27.7366,27.4724,7.05
36.2104,32.3844,30.0374,28.6269,27.7564,27.4947,7.15
35.9965,32.4313,30.0826,28.6646,27.8046,27.5234,7.25
36.6458,32.2963,30.0914,28.6857,27.8312,27.5681,7.35
36.7699,32.3077,30.1150,28.6979,27.8673,27.5674,7.45
36.4508,32.4149,30.1618,28.7439,27.8781,27.6084,7.55
37.0128,32.4497,30.1959,28.7349,27.9013,27.6129,7.65
37.0139,32.3794,30.2326,28.7851,27.9314,27.6545,7.75
36.4015,32.4427,30.2176,28.7988,27.9481,27.6896,7.85
36.6261,32.4753,30.2376,28.8048,28.0027,27.6863,7.95
36.5036,32.3866,30.2661,28.8467,28.0339,27.7406,8.05
36.1053,32.6709,30.3281,28.8513,28.0539,27.8047,8.15
37.0109,32.6669,30.2740,28.8616,28.0760,27.8145,8.25
37.1018,32.5668,30.3252,28.9094,28.1059,27.8116,8.35
36.5133,32.6322,30.4027,28.9037,28.1265,27.8348,8.45
36.9990,32.6759,30.3961,28.9353,28.1343,27.8657,8.55
36.8732,32.5994,30.4031,28.9804,28.1912,27.9095,8.65
36.6095,32.6157,30.4807,28.9723,28.2227,27.9319,8.75
37.2909,32.7336,30.4625,28.9840,28.2286,27.9664,8.85
37.3204,32.7169,30.4850,29.0550,28.2742,27.9819,8.95
