u,g,r,i,z,y,time
29.0808,28.6383,28.5580,28.8344,28.9185,29.0308,0.05
28.2893,27.6557,27.5888,27.8724,28.0842,28.2403,0.15
27.9286,27.1620,27.0672,27.3137,27.6124,27.8225,0.25
27.7248,26.9039,26.7275,27.0163,27.2796,27.5191,0.35
27.6617,26.7085,26.4850,26.7440,27.0126,27.2347,0.45
27.6791,26.6223,26.3357,26.5652,26.8176,27.0489,0.55
27.8647,26.6212,26.2491,26.4117,26.6480,26.8747,0.65
27.9141,26.5953,26.1633,26.3295,26.5156,26.7001,0.75
27.9704,26.5941,26.0948,26.2227,26.3915,26.5829,0.85
28.0615,26.6095,26.0433,26.1550,26.3223,26.4729,0.95
28.2285,26.6301,26.0099,26.1041,26.2461,26.3841,1.05
28.3416,26.6666,25.9726,26.0452,26.1506,26.2663,1.15
28.3891,26.6759,25.9317,25.9670,26.0864,26.1726,1.25
28.5150,26.7121,25.9295,25.9659,26.0643,26.1480,1.35
28.7449,26.8556,25.9761,25.9481,26.0642,26.1009,1.45
28.9028,26.8574,25.9258,25.8377,25.9397,26.0111,1.55
28.9992,26.9093,25.9595,25.8595,25.9664,26.0123,1.65
29.3877,27.0695,26.0060,25.8177,25.9234,25.9592,1.75
29.3520,27.0275,25.9717,25.7608,25.8669,25.9026,1.85
29.7758,27.2482,26.0991,25.7793,25.8675,25.9108,1.95
29.7420,27.1839,26.0539,25.7087,25.8103,25.8402,2.05
30.0972,27.4351,26.2528,25.7441,25.8065,25.8361,2.15
30.0051,27.3438,26.1907,25.6805,25.7905,25.8127,2.25
30.3608,27.6378,26.3908,25.6808,25.7477,25.7717,2.35
30.2913,27.6250,26.4015,25.7168,25.7806,25.7912,2.45
30.5096,27.7790,26.4777,25.6590,25.6932,25.6767,2.55
30.7027,28.0037,26.6739,25.7675,25.7484,25.7638,2.65
30.6803,27.8967,26.6185,25.6809,25.6862,25.6974,2.75
31.0000,28.2809,26.8627,25.7548,25.6812,25.6808,2.85
31.0236,28.3504,26.9326,25.8241,25.7259,25.7346,2.95
31.0349,28.2966,26.8636,25.7559,25.6383,25.6468,3.05
31.4116,28.7202,27.1335,25.8599,25.6883,25.6672,3.15
31.4020,28.7225,27.2010,25.9061,25.7270,25.6904,3.25
31.3319,28.6286,27.0919,25.8617,25.6498,25.6366,3.35
31.7615,29.0246,27.3501,25.9424,25.7258,25.6299,3.45
