u,g,r,i,z,y,time
34.2855,32.0340,30.1678,29.2030,28.5643,28.2671,0.05
-9999.0000,32.9314,30.9171,29.6120,28.7462,28.0309,0.15
35.3418,33.5939,31.2117,29.8450,28.9099,28.0100,0.25
34.5518,33.0962,31.5937,30.1503,28.9037,28.0997,0.35
36.0070,33.4035,31.6329,30.2216,29.0780,28.2385,0.45
36.7137,34.1872,31.6674,30.3106,29.1603,28.3268,0.55
35.5447,34.8840,31.7965,30.3002,29.1746,28.4424,0.65
-9999.0000,34.7696,31.9577,30.4470,29.2985,28.4197,0.75
37.7823,34.1555,31.8609,30.6886,29.3443,28.5383,0.85
41.4149,34.2490,32.3256,30.7815,29.4308,28.5621,0.95
-9999.0000,34.3467,32.1695,30.8096,29.4906,28.5618,1.05
-9999.0000,34.2150,32.0675,30.8715,29.5750,28.6794,1.15
35.9312,34.5008,32.2783,30.7836,29.6324,28.6041,1.25
36.7073,34.1686,32.1172,30.7404,29.8084,28.7505,1.35
-9999.0000,34.7918,32.5042,30.8604,29.7733,28.6876,1.45
-9999.0000,34.8274,32.5326,30.8508,29.8173,28.7598,1.55
-9999.0000,34.3330,32.7609,31.1672,29.8573,28.8004,1.65
38.9590,34.6038,32.6263,30.8753,29.9804,28.8661,1.75
37.4119,34.8571,32.6934,30.9969,29.9852,28.8981,1.85
37.1128,34.6291,32.8813,31.1381,29.9378,28.9523,1.95
-9999.0000,34.7691,32.8691,31.1201,30.1546,28.9273,2.05
36.8882,34.6776,33.1572,31.1962,30.1029,28.9976,2.15
36.5830,35.9058,32.7855,31.1821,30.1315,28.9991,2.25
37.0860,35.1449,32.9640,31.1349,30.1416,29.0717,2.35
36.0466,34.7998,32.9832,31.2337,30.2958,29.1506,2.45
-9999.0000,34.6715,32.8753,31.3836,30.2143,29.1477,2.55
37.1692,35.8103,33.2385,31.4098,30.2379,29.2563,2.65
36.6152,35.1329,33.3556,31.3613,30.2273,29.3467,2.75
37.0455,34.8525,33.2102,31.4159,30.4686,29.2383,2.85
39.4613,35.2061,33.2903,31.3618,30.2740,29.3464,2.95
39.8706,35.8209,33.4271,31.5164,30.2952,29.4522,3.05
38.9665,35.4581,33.0922,31.6015,30.3973,29.3560,3.15
38.5689,35.0128,33.6193,31.4859,30.3548,29.4212,3.25
37.2320,34.8735,33.4828,31.7330,30.3193,29.5317,3.35
38.4721,35.2628,33.2699,31.5001,30.5105,29.5274,3.45
40.0601,35.9589,33.2845,31.6647,30.4520,29.6494,3.55
37.5159,35.3502,33.5926,31.7957,30.3982,29.7204,3.65
37.1626,36.8624,33.6752,31.8715,30.4264,29.6136,3.75
38.6404,35.2555,33.5111,31.6418,30.4433,29.6552,3.85
38.8264,35.3701,33.5786,31.6873,30.4261,29.7248,3.95
38.6085,36.1269,33.8941,31.7703,30.4766,29.8493,4.05
38.4558,35.3446,34.0367,31.7878,30.6155,29.7798,4.15
-9999.0000,36.4936,33.5670,31.9426,30.4984,29.7917,4.25
41.1355,35.5646,33.8260,31.9284,30.4673,29.8153,4.35
40.7277,36.0910,34.1889,31.9605,30.7085,29.9040,4.45
-9999.0000,35.8452,33.6616,31.9946,30.5821,29.8566,4.55
-9999.0000,35.5457,33.6575,32.0971,30.7363,29.8689,4.65
-9999.0000,36.1514,33.9126,32.3298,30.8497,29.8767,4.75
38.9943,35.8754,33.4479,32.0161,30.6683,29.9122,4.85
-9999.0000,36.0874,34.3577,32.0208,30.7329,29.9170,4.95
42.3147,35.7758,33.5763,32.0254,30.8202,29.9564,5.05
40.5515,36.1218,33.9758,32.0497,30.7216,30.0104,5.15
40.9238,35.5906,33.6957,32.1578,30.6656,29.9021,5.25
-9999.0000,36.3403,34.1321,32.1659,30.9544,30.0845,5.35
39.2108,36.7815,33.9657,31.9352,30.6640,30.0700,5.45
45.2153,36.6007,34.2264,32.3768,30.8141,30.0365,5.55
-9999.0000,36.0965,33.7374,32.2685,30.8854,30.1116,5.65
-9999.0000,36.1660,34.0079,32.4515,30.9962,30.1109,5.75
39.1683,35.9185,34.1325,32.3230,30.9125,30.0952,5.85
-9999.0000,35.7617,34.3488,32.3984,31.0555,30.1223,5.95
45.5491,36.4496,34.6800,32.4467,30.9484,30.1520,6.05
-9999.0000,35.9174,34.2540,32.5213,31.0209,30.1300,6.15
39.2596,36.1295,34.0228,32.3888,30.9402,30.1935,6.25
45.5480,36.4675,34.4205,32.4740,31.0498,30.2091,6.35
39.2781,36.4713,34.0457,32.6536,31.2081,30.2590,6.45
-9999.0000,35.9859,33.9740,32.8886,31.1932,30.3489,6.55
39.6158,35.6460,34.1783,32.3225,31.0058,30.3364,6.65
-9999.0000,35.9157,34.0752,32.5020,31.2950,30.2465,6.75
-9999.0000,35.8456,34.2088,32.6842,31.2220,30.3709,6.85
-9999.0000,36.0642,34.0081,32.7919,31.3516,30.3147,6.95
-9999.0000,36.3619,34.4185,32.6364,31.2899,30.3884,7.05
-9999.0000,35.7303,34.2183,32.6390,31.4164,30.3030,7.15
-9999.0000,36.1409,34.4366,32.7995,31.4751,30.4397,7.25
39.4927,35.8834,34.4714,32.9074,31.5317,30.4213,7.35
-9999.0000,36.0282,34.0911,32.8483,31.5394,30.4853,7.45
-9999.0000,35.9331,34.5357,32.6682,31.4928,30.6735,7.55
-9999.0000,35.9649,34.5502,32.8993,31.4518,30.6407,7.65
-9999.0000,36.0651,34.1705,32.9551,31.5317,30.5884,7.75
-9999.0000,36.0380,34.3500,32.9341,31.5750,30.6062,7.85
-9999.0000,36.4521,34.3949,32.6970,31.7646,30.7460,7.95
-9999.0000,36.3424,34.4296,32.7404,31.8687,30.7072,8.05
-9999.0000,37.1375,34.3977,32.7968,31.7968,30.8043,8.15
-9999.0000,37.0873,34.6165,33.1102,31.7841,30.8119,8.25
-9999.0000,37.4983,34.3854,32.8850,31.8649,30.8307,8.35
-9999.0000,36.6743,34.5961,33.1328,31.6989,30.8397,8.45
-9999.0000,36.9697,34.3150,33.2606,32.0000,30.9009,8.55
-9999.0000,37.2698,34.4978,33.0614,31.9224,30.9014,8.65
-9999.0000,37.1785,34.3586,33.1410,32.0119,31.0088,8.75
-9999.0000,36.8602,34.2118,33.0161,32.1015,30.9906,8.85
-9999.0000,37.2829,34.7132,32.9884,32.2073,31.1779,8.95
