u,g,r,i,z,y,time
32.0963,31.5571,31.1279,30.7001,30.5917,30.6119,0.05
33.0981,31.8310,30.9939,30.3317,30.2469,30.1179,0.15
33.6798,32.0422,30.9608,30.5516,29.8853,29.8094,0.25
33.6678,32.2626,31.2680,30.6280,29.8934,29.6136,0.35
34.2275,32.3668,31.3755,30.7627,29.8084,29.5254,0.45
34.5308,32.5425,31.4560,30.7017,29.7011,29.4998,0.55
34.8331,32.8893,31.5033,30.8119,29.9239,29.5196,0.65
34.8426,32.8285,31.4980,30.7538,29.7947,29.3380,0.75
35.1185,32.8986,31.5202,30.7987,29.8462,29.4216,0.85
35.9640,33.0635,31.6128,30.7546,29.8716,29.3905,0.95
35.9542,33.3412,31.7837,30.7537,29.8953,29.3745,1.05
36.1308,33.4172,31.8654,30.9035,29.8942,29.3759,1.15
36.1884,33.6028,31.8186,30.9960,29.9081,29.3411,1.25
38.2582,33.7898,32.0610,31.0125,29.8290,29.2621,1.35
37.2498,34.0085,32.3931,31.1202,30.0021,29.3811,1.45
37.3884,34.4619,32.4068,31.2587,29.9765,29.4438,1.55
37.8864,34.4768,32.4552,31.1207,29.8032,29.2717,1.65
40.1690,34.9169,32.7362,31.4497,30.2270,29.5404,1.75
37.8592,34.8959,32.8532,31.2817,29.9411,29.2495,1.85
39.7660,35.3425,33.0016,31.5844,30.2811,29.5095,1.95
38.7509,35.2899,32.9155,31.4171,29.9797,29.3351,2.05
-9999.0000,36.1017,33.4742,31.7166,30.3533,29.5941,2.15
38.4159,35.4154,33.0843,31.5447,30.0944,29.2881,2.25
-9999.0000,36.2251,33.5308,31.9107,30.5508,29.7657,2.35
40.1031,35.7097,33.4427,31.7681,30.2020,29.4332,2.45
-9999.0000,35.8495,33.7140,31.8878,30.4422,29.6931,2.55
-9999.0000,36.9274,34.1657,32.0586,30.6001,29.8536,2.65
-9999.0000,36.1086,33.4363,31.8505,30.2961,29.5111,2.75
-9999.0000,36.8809,33.9015,32.2178,30.8122,30.0011,2.85
-9999.0000,37.5144,33.9504,32.2832,30.7261,29.8116,2.95
-9999.0000,36.6533,34.1397,32.0651,30.5462,29.6419,3.05
-9999.0000,37.2417,34.4524,32.5046,31.2062,30.0997,3.15
-9999.0000,36.9472,34.2390,32.5401,30.9223,29.9732,3.25
-9999.0000,38.2350,34.0115,32.3812,30.6900,29.8040,3.35
-9999.0000,37.7684,34.8481,32.6494,31.1380,30.2031,3.45
-9999.0000,37.4167,35.2130,32.7949,31.2355,30.3080,3.55
-9999.0000,37.4392,34.9820,32.7278,31.0109,29.9961,3.65
-9999.0000,37.8081,34.7752,32.7979,31.0377,30.1341,3.75
-9999.0000,38.4247,35.2088,33.0474,31.4973,30.5586,3.85
-9999.0000,38.0701,36.1234,33.0971,31.5532,30.3698,3.95
-9999.0000,37.6833,35.2499,33.1081,31.3165,30.2229,4.05
-9999.0000,39.4235,35.7934,33.0645,31.4508,30.4363,4.15
-9999.0000,38.9420,35.4528,33.3765,31.7823,30.7264,4.25
-9999.0000,40.5286,36.1110,33.4124,31.6128,30.6733,4.35
-9999.0000,39.0353,35.7739,33.3368,31.6878,30.4329,4.45
-9999.0000,39.9781,35.6958,33.4668,31.7322,30.6151,4.55
-9999.0000,40.3685,36.0636,33.6450,32.1132,30.8446,4.65
-9999.0000,39.9803,35.5997,34.0413,32.0604,30.9902,4.75
-9999.0000,40.0711,36.1089,33.9457,32.0382,30.8854,4.85
-9999.0000,39.9147,36.3631,33.8044,32.0131,30.7948,4.95
-9999.0000,41.7249,36.4812,33.9949,32.2208,30.9952,5.05
-9999.0000,39.7319,36.9233,34.2001,32.2590,31.2070,5.15
-9999.0000,41.5594,36.7980,34.2030,32.3192,31.1415,5.25
-9999.0000,-9999.0000,37.5815,34.1946,32.4594,31.1255,5.35
-9999.0000,38.8897,37.2633,34.3017,32.3377,31.1606,5.45
-9999.0000,-9999.0000,36.8929,34.3177,32.7115,31.2774,5.55
-9999.0000,-9999.0000,36.9235,34.5191,32.7402,31.3986,5.65
-9999.0000,39.9966,37.9792,34.7855,32.9871,31.6313,5.75
-9999.0000,-9999.0000,37.1186,34.4418,32.9433,31.5047,5.85
-9999.0000,-9999.0000,38.4123,35.0139,32.9142,31.4942,5.95
-9999.0000,-9999.0000,36.7430,35.1806,32.8139,31.5296,6.05
-9999.0000,44.9628,38.3551,34.8425,33.0053,31.6992,6.15
-9999.0000,-9999.0000,38.9962,35.0783,33.1953,31.9428,6.25
-9999.0000,-9999.0000,38.1739,35.9724,33.7296,31.9512,6.35
-9999.0000,-9999.0000,37.6398,36.2644,33.5648,31.9745,6.45
-9999.0000,39.1142,38.0260,35.8336,33.5760,31.8467,6.55
-9999.0000,-9999.0000,38.2916,35.3344,33.1635,31.9985,6.65
-9999.0000,-9999.0000,37.6552,35.4171,33.7166,32.0282,6.75
-9999.0000,-9999.0000,40.2517,36.3058,33.8105,32.2012,6.85
-9999.0000,-9999.0000,41.1749,36.2278,34.0157,32.2840,6.95
-9999.0000,-9999.0000,39.5105,36.6254,33.7329,32.4438,7.05
-9999.0000,-9999.0000,-9999.0000,36.1167,34.1353,32.4867,7.15
-9999.0000,-9999.0000,39.4620,35.8146,33.8975,32.2904,7.25
-9999.0000,-9999.0000,-9999.0000,35.6333,34.1702,32.4046,7.35
-9999.0000,-9999.0000,38.5564,36.5663,34.1430,32.4608,7.45
-9999.0000,-9999.0000,39.4905,36.5071,34.4553,32.4726,7.55
-9999.0000,-9999.0000,38.4663,37.0825,34.3056,32.7075,7.65
-9999.0000,-9999.0000,-9999.0000,36.4560,34.5373,32.9995,7.75
-9999.0000,-9999.0000,-9999.0000,36.8924,34.1002,32.7004,7.85
-9999.0000,-9999.0000,-9999.0000,36.0567,34.3034,33.0678,7.95
-9999.0000,-9999.0000,41.2119,37.6038,35.1394,32.7138,8.05
-9999.0000,-9999.0000,-9999.0000,36.7278,34.4041,32.7385,8.15
-9999.0000,-9999.0000,-9999.0000,37.9634,34.6801,32.7414,8.25
-9999.0000,-9999.0000,38.5314,37.5005,34.5858,32.8211,8.35
-9999.0000,-9999.0000,43.9492,36.5330,34.5872,33.0292,8.45
-9999.0000,-9999.0000,-9999.0000,37.0455,35.3328,32.9942,8.55
-9999.0000,-9999.0000,-9999.0000,38.0108,34.8567,33.0503,8.65
-9999.0000,-9999.0000,-9999.0000,37.5914,34.9436,33.0276,8.75
