u,g,r,i,z,y,time
28.5682,27.7561,27.7485,27.9634,28.1565,28.3757,0.05
27.7984,26.8245,26.8856,27.1038,27.4238,27.6740,0.15
27.5033,26.3743,26.4343,26.6621,26.9826,27.2579,0.25
27.4155,26.1506,26.1550,26.3727,26.6926,26.9848,0.35
27.4652,26.0498,25.9641,26.1497,26.4518,26.7622,0.45
27.5357,26.0245,25.8119,25.9633,26.2505,26.5726,0.55
27.6562,26.0586,25.7426,25.8713,26.1222,26.4781,0.65
27.9091,26.1078,25.6577,25.7567,26.0042,26.3085,0.75
28.1103,26.1814,25.6029,25.6978,25.8832,26.1879,0.85
28.3473,26.2751,25.5771,25.6552,25.8265,26.1100,0.95
28.6005,26.3618,25.5752,25.6249,25.7688,26.0479,1.05
28.9092,26.4665,25.5774,25.5981,25.7156,25.9895,1.15
29.2424,26.5956,25.6062,25.5415,25.6630,25.9619,1.25
29.4677,26.7469,25.6640,25.5160,25.6462,25.9090,1.35
29.6301,26.8793,25.7307,25.4966,25.6400,25.8902,1.45
29.7787,27.0189,25.8156,25.4375,25.5931,25.8404,1.55
30.0235,27.2390,25.9416,25.4295,25.5630,25.8239,1.65
30.1089,27.3714,26.0587,25.4158,25.5389,25.8356,1.75
30.3851,27.6536,26.2276,25.4459,25.5187,25.7955,1.85
30.4739,27.7694,26.3259,25.4525,25.5129,25.7985,1.95
30.7408,28.0767,26.5366,25.5110,25.4966,25.7899,2.05
30.8385,28.1498,26.6334,25.5583,25.4781,25.7929,2.15
31.1990,28.5200,26.8597,25.6462,25.4676,25.7946,2.25
31.1435,28.5765,26.9356,25.7107,25.4765,25.8149,2.35
31.5376,28.8560,27.1055,25.7980,25.4616,25.7741,2.45
31.6450,29.0313,27.2363,25.8995,25.5256,25.7881,2.55
31.7023,29.1291,27.3156,25.9502,25.5329,25.7598,2.65
32.1736,29.3528,27.5340,26.0653,25.5836,25.7325,2.75
32.3014,29.4466,27.6014,26.1456,25.6793,25.7703,2.85
32.4663,29.5843,27.6879,26.2103,25.6962,25.7152,2.95
32.9091,29.8133,27.8551,26.3257,25.7797,25.7213,3.05
32.7930,29.8588,27.9302,26.4232,25.9094,25.7653,3.15
33.3048,29.9871,28.0035,26.4990,25.9484,25.7617,3.25
33.5005,30.2175,28.1492,26.6155,25.9878,25.7490,3.35
33.3478,30.3239,28.2591,26.7731,26.1505,25.8393,3.45
33.7002,30.3401,28.2901,26.8626,26.1779,25.8660,3.55
34.6026,30.5349,28.4304,26.9595,26.2221,25.8676,3.65
34.1643,30.6793,28.5571,27.1300,26.3074,25.9043,3.75
34.1596,30.7502,28.5689,27.2079,26.4170,26.0009,3.85
34.7755,30.8433,28.6530,27.3148,26.4303,26.0208,3.95
34.5596,31.0377,28.7845,27.4178,26.4777,26.0394,4.05
35.2719,31.1781,28.8148,27.6297,26.5513,26.0856,4.15
34.9056,31.1935,28.8783,27.6913,26.6062,26.1518,4.25
35.0483,31.3410,28.9277,27.7755,26.6078,26.1844,4.35
35.2483,31.5487,29.0275,27.8453,26.6422,26.2058,4.45
36.1190,31.5816,29.1179,28.0825,26.7253,26.2714,4.55
36.0390,31.7000,29.1531,28.1428,26.8107,26.3527,4.65
35.6740,31.8310,29.2218,28.2142,26.8138,26.3682,4.75
35.8232,31.9287,29.3175,28.2598,26.8517,26.3795,4.85
35.8085,31.9931,29.4334,28.3784,26.8905,26.4404,4.95
36.7410,32.1708,29.5193,28.5087,26.9939,26.5150,5.05
36.2149,32.3682,29.5758,28.5701,27.0687,26.5969,5.15
37.0267,32.2146,29.5574,28.5827,27.1466,26.6089,5.25
36.3264,32.2687,29.6270,28.5847,27.1355,26.6689,5.35
37.0104,32.6515,29.7031,28.7400,27.2021,26.6904,5.45
37.0423,32.6095,29.8240,28.8367,27.2917,26.7676,5.55
36.2949,32.5878,29.8710,28.8599,27.3743,26.8449,5.65
-9999.0000,32.8532,29.9283,28.9394,27.4183,26.9322,5.75
37.1471,32.7990,29.9872,28.8963,27.4146,26.9288,5.85
37.6702,33.0240,30.0438,29.0107,27.4399,26.9574,5.95
37.8043,33.3644,30.1234,29.0788,27.5102,27.0120,6.05
38.2146,32.9979,30.1332,29.0817,27.6349,27.0725,6.15
38.5661,33.0860,30.2197,29.1635,27.6795,27.1529,6.25
37.1734,33.2140,30.2216,29.1151,27.6914,27.1788,6.35
37.8814,33.3151,30.2662,29.1655,27.7371,27.2075,6.45
38.3562,33.3614,30.2881,29.1969,27.7229,27.2548,6.55
38.1024,33.7454,30.3617,29.3071,27.8167,27.2923,6.65
43.0599,33.6018,30.4506,29.3162,27.8334,27.3222,6.75
-9999.0000,33.6426,30.4241,29.4062,27.9024,27.3578,6.85
-9999.0000,33.6586,30.5335,29.3514,27.9118,27.4135,6.95
-9999.0000,33.8080,30.5208,29.3635,27.8800,27.4259,7.05
38.2698,33.7536,30.5406,29.3874,27.9033,27.4664,7.15
37.4732,33.8632,30.5591,29.5218,27.9836,27.5312,7.25
-9999.0000,33.8487,30.6590,29.4321,27.9868,27.5238,7.35
-9999.0000,33.9543,30.7430,29.5727,28.0347,27.5375,7.45
-9999.0000,33.9886,30.6999,29.5624,28.0757,27.5695,7.55
-9999.0000,34.0376,30.7884,29.5856,28.1340,27.6212,7.65
-9999.0000,33.9359,30.8483,29.5896,28.1113,27.6262,7.75
-9999.0000,34.3258,30.8155,29.5234,28.1044,27.6541,7.85
-9999.0000,34.2135,30.8142,29.6059,28.1038,27.6906,7.95
-9999.0000,33.9952,30.8113,29.6532,28.1305,27.6740,8.05
