,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax,diff_ra,diff_dec
140,-1,-1,-36.5675422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875041575,MS_9813_73,MS_9813_73_3,1,1,,59.4911343,0.21576,3,144767575235,59.4911378,-36.5676622,1650938699338225002,,-0.012599999993767597,0.432000000009225
141,-1,-1,-36.5675422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875041575,MS_9813_73,MS_9813_73_3,1,1,,59.4911343,0.21576,3,144767575235,59.4911237,-36.5675366,1650938699338224973,13447.9926964,0.038159999985509785,-0.020160000005375878
142,-1,-1,-37.0158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875062006,MS_9813_127,MS_9813_127_3,1,1,,59.6968496,0.255808,3,144761298547,59.6966529,-37.0158482,1650806757942889950,-1030.5473196,0.7081200000129684,0.12239999999792417
143,-1,-1,-37.0158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875062006,MS_9813_127,MS_9813_127_3,1,1,,59.6968496,0.255808,3,144761298547,59.6968394,-37.0158137,1650806757942886856,7591.3026192,0.03671999999426134,-0.0017999999954554369
144,-1,-1,-36.8058833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875044578,MS_9813_122,MS_9813_122_3,1,1,,59.4070733,0.241845,3,144761159327,59.4071765,-36.8058873,1650393341570842918,,-0.37151999999309737,0.014400000014802572
145,-1,-1,-36.8058833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875044578,MS_9813_122,MS_9813_122_3,1,1,,59.4070733,0.241845,3,144761159327,59.4071765,-36.8058873,1650877126687064376,,-0.37151999999309737,0.014400000014802572
146,-1,-1,-36.8464743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876009936,MS_9813_1898,MS_9813_1898_3,1,1,,59.5634748,0.717635,3,144761743621,59.5634664,-36.8464222,1650877126687069367,,0.030239999995274047,-0.18755999999200412
147,-1,-1,-36.6394032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875999759,MS_9813_1882,MS_9813_1882_3,1,1,,59.7602328,0.704195,3,144762008316,59.7602385,-36.6393951,1650929903245198122,661.2656459,-0.020520000009582873,-0.029159999982653062
148,-1,-1,-36.5881667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875861950,MS_9813_1819,MS_9813_1819_3,1,1,,59.5508754,0.68113,3,144767546930,59.5508705,-36.5881669,1650938699338220866,741.2801079,0.01764000000150645,0.0007199999828344517
149,-1,-1,-36.5606634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876140214,MS_9813_2087,MS_9813_2087_3,1,1,,59.5997689,0.754139,3,144767720225,59.5997755,-36.5606502,1650938699338225743,1176.5912231,-0.02375999999628675,-0.04752000001815304
150,-1,-1,-36.8384575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876004399,MS_9813_1867,MS_9813_1867_3,1,1,,59.4546063,0.717693,3,144761148887,59.4546239,-36.838476,1650877126687068900,,-0.06335999999862452,0.06660000001090793
151,-1,-1,-36.6360148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875869445,MS_9813_1762,MS_9813_1762_3,1,1,,59.6984375,0.685099,3,144762085345,59.6984256,-36.6360077,1650929903245203574,1122.9228808,0.042839999989041644,-0.02555999999174219
152,-1,-1,-36.7794053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876002282,MS_9813_1775,MS_9813_1775_3,1,1,,59.3981073,0.697558,3,144766754294,59.398162,-36.779427,1650393341570844099,,-0.19691999999906784,0.07811999999205455
153,-1,-1,-36.7794053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876002282,MS_9813_1775,MS_9813_1775_3,1,1,,59.3981073,0.697558,3,144766754294,59.398162,-36.779427,1650877126687065792,,-0.19691999999906784,0.07811999999205455
154,-1,-1,-36.6728945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875863997,MS_9813_1799,MS_9813_1799_3,1,1,,59.4201991,0.694262,3,144767502251,59.4202152,-36.6728467,1650454914222001849,,-0.057960000012258206,-0.1720799999901601
155,-1,-1,-36.6728945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875863997,MS_9813_1799,MS_9813_1799_3,1,1,,59.4201991,0.694262,3,144767502251,59.4202152,-36.6728467,1650938699338224692,,-0.057960000012258206,-0.1720799999901601
156,-1,-1,-37.0220969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119170,MS_9813_213,MS_9813_213_3,1,1,,59.432532,0.31284,3,144760954029,59.4325381,-37.0220877,1650331768919691830,5654.6812922,-0.021960000000831315,-0.03312000000335047
157,-1,-1,-37.0220969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119170,MS_9813_213,MS_9813_213_3,1,1,,59.432532,0.31284,3,144760954029,59.4325381,-37.0220877,1650815554035914177,5654.6812922,-0.021960000000831315,-0.03312000000335047
158,-1,-1,-36.9989564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119187,MS_9813_218,MS_9813_218_3,1,1,,59.4074522,0.31284,3,144760961884,59.4074551,-36.9989628,1650331768919690077,6656.0797448,-0.010439999994105165,0.0230400000134523
159,-1,-1,-36.9989564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119187,MS_9813_218,MS_9813_218_3,1,1,,59.4074522,0.31284,3,144760961884,59.4074551,-36.9989628,1650815554035912085,6656.0797448,-0.010439999994105165,0.0230400000134523
160,-1,-1,-36.9400767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875115051,MS_9813_237,MS_9813_237_3,1,1,,59.4674764,0.331726,3,144761022623,59.4674679,-36.9401088,1650877126687064340,1347.6297343,0.030599999999481042,0.11555999999472988
161,-1,-1,-37.00363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875118040,MS_9813_248,MS_9813_248_3,1,1,,59.6849351,0.324009,3,144761304698,59.6849368,-37.0036403,1650806757942886988,7257.8399407,-0.006120000020359839,0.03707999999846834
162,-1,-1,-36.9385334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875301439,MS_9813_678,MS_9813_678_3,1,1,,59.6006872,0.466685,3,144761690319,59.6007283,-36.9385197,1650877126687066978,,-0.14795999998966636,-0.04931999998802894
163,-1,-1,-36.5901812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875244062,MS_9813_451,MS_9813_451_3,1,1,,59.5141392,0.419502,3,144767567045,59.5141455,-36.5901756,1650938699338219953,1989.7338574,-0.022679999983665766,-0.020160000005375878
