LAMBDA,mag,u,g,r,i,z,Y,atm
3138,0,0,0,0,0,0,0,0.214383493
3139,0,0,0,0,0,0,0,0.216595646
3140,0,0,0,0,0,0,0,0.218807914
3141,0,0,0,0,0,0,0,0.222307436
3142,0,0,0,0,0,0,0,0.225807142
3143,0,0,0,0,0,0,0,0.229307031
3144,0,0,0,0,0,0,0,0.232807103
3145,0,0,0,0,0,0,0,0.236307357
3146,0,0,0,0,0,0,0,0.238152679
3147,0,0,0,0,0,0,0,0.239998096
3148,0,0,0,0,0,0,0,0.241843606
3149,0,0,0,0,0,0,0,0.243689211
3150,0,0,0,0,0,0,0,0.245534909
3151,0,0,0,0,0,0,0,0.246093219
3152,0,0,0,0,0,0,0,0.246651553
3153,0,0,0,0,0,0,0,0.247209913
3154,0,0,0,0,0,0,0,0.247768299
3155,0,0,0,0,0,0,0,0.248326709
3156,0,0,0,0,0,0,0,0.250172799
3157,0,0,0,0,0,0,0,0.252018983
3158,0,0,0,0,0,0,0,0.25386526
3159,0,0,0,0,0,0,0,0.25571163
3160,0,0,0,0,0,0,0,0.257558093
3161,0,0,0,0,0,0,0,0.260692474
3162,0,0,0,0,0,0,0,0.263827016
3163,0,0,0,0,0,0,0,0.26696172
3164,0,0,0,0,0,0,0,0.270096583
3165,0,0,0,0,0,0,0,0.273231608
3166,0,0,0,0,0,0,0,0.2747108
3167,0,0,0,0,0,0,0,0.276190066
3168,0,0,0,0,0,0,0,0.277669404
3169,0,0,0,0,0,0,0,0.279148816
3170,0,0,0,0,0,0,0,0.2806283
3171,0,0,0,0,0,0,0,0.281003718
3172,0,0,0,0,0,0,0,0.281379149
3173,0,0,0,0,0,0,0,0.281754596
3174,0,0,0,0,0,0,0,0.282130058
3175,0,0,0,0,0,0,0,0.282505534
3176,0,0,0,0,0,0,0,0.284353406
3177,0,0,0,0,0,0,0,0.286201369
3178,0,0,0,0,0,0,0,0.288049424
3179,0,0,0,0,0,0,0,0.289897571
3180,0,0,0,0,0,0,0,0.291745809
3181,0,0,0,0,0,0,0,0.295250783
3182,0,0,0,0,0,0,0,0.298755934
3183,0,0,0,0,0,0,0,0.302261264
3184,0,0,0,0,0,0,0,0.305766771
3185,0,0,0,0,0,0,0,0.309272455
3186,0,0,0,0,0,0,0,0.311673743
3187,0,0,0,0,0,0,0,0.314075151
3188,0,0,0,0,0,0,0,0.316476679
3189,0,0,0,0,0,0,0,0.318878325
3190,0,0,0,0,0,0,0,0.321280091
3191,0,0,0,0,0,0,0,0.320920185
3192,0,0,0,0,0,0,0,0.320560255
3193,0,0,0,0,0,0,0,0.3202003
3194,0,0,0,0,0,0,0,0.319840321
3195,0,0,0,0,0,0,0,0.319480319
3196,0,0,0,0,0,0,0,0.319672722
3197,0,0,0,0,0,0,0,0.31986513
3198,0,0,0,0,0,0,0,0.320057542
3199,0,0,0,0,0,0,0,0.320249959
3200,0,2.74E-14,0,0,0,0,0,0.32044238
3201,0,0.000623161,0,0,0,0,0,0.323397312
3202,0,0.001289412,0,0,0,0,0,0.32635239
3203,0,0.002000178,0,0,0,0,0,0.329307615
3204,0,0.002756899,0,0,0,0,0,0.332262987
3205,0,0.003560649,0,0,0,0,0,0.335218505
3206,0,0.004420335,0,0,0,0,0,0.338726742
3207,0,0.005333617,0,0,0,0,0,0.342235153
3208,0,0.006301806,0,0,0,0,0,0.345743738
3209,0,0.007326631,0,0,0,0,0,0.349252498
3210,0,0.008409842,0,0,0,0,0,0.352761432
3211,0,0.008772727,0,0,0,0,0,0.353875753
3212,0,0.009143158,0,0,0,0,0,0.354990126
3213,0,0.009521209,0,0,0,0,0,0.35610455
3214,0,0.009906954,0,0,0,0,0,0.357219025
3215,0,0.010299419,0,0,0,0,0,0.358333551
3216,0,0.010628356,0,0,0,0,0,0.357053035
3217,0,0.010961282,0,0,0,0,0,0.355772448
3218,0,0.01129712,0,0,0,0,0,0.35449179
3219,0,0.011635839,0,0,0,0,0,0.35321106
3220,0,0.01197741,0,0,0,0,0,0.35193026
3221,0,0.012335799,0,0,0,0,0,0.351570695
3222,0,0.012698611,0,0,0,0,0,0.351211107
3223,0,0.013065856,0,0,0,0,0,0.350851494
3224,0,0.013437542,0,0,0,0,0,0.350491857
3225,0,0.013812372,0,0,0,0,0,0.350132197
3226,0,0.014311244,0,0,0,0,0,0.352721068
3227,0,0.014822645,0,0,0,0,0,0.355310066
3228,0,0.015345411,0,0,0,0,0,0.357899188
3229,0,0.015879686,0,0,0,0,0,0.360488436
3230,0,0.016425616,0,0,0,0,0,0.36307781
3231,0,0.016979657,0,0,0,0,0,0.367141773
3232,0,0.01754596,0,0,0,0,0,0.371205936
3233,0,0.018124671,0,0,0,0,0,0.375270299
3234,0,0.018715936,0,0,0,0,0,0.37933486
3235,0,0.019318189,0,0,0,0,0,0.383399621
3236,0,0.019809958,0,0,0,0,0,0.385068272
3237,0,0.020311302,0,0,0,0,0,0.386737001
3238,0,0.020820566,0,0,0,0,0,0.388405809
3239,0,0.021337807,0,0,0,0,0,0.390074694
3240,0,0.021863082,0,0,0,0,0,0.391743656
3241,0,0.022315138,0,0,0,0,0,0.390831732
3242,0,0.022770144,0,0,0,0,0,0.389919756
3243,0,0.023228065,0,0,0,0,0,0.389007728
3244,0,0.023688865,0,0,0,0,0,0.388095647
3245,0,0.024150499,0,0,0,0,0,0.387183515
3246,0,0.024603138,0,0,0,0,0,0.386086953
3247,0,0.02506007,0,0,0,0,0,0.38499033
3248,0,0.025519244,0,0,0,0,0,0.383893645
3249,0,0.025980624,0,0,0,0,0,0.3827969
3250,0,0.026444172,0,0,0,0,0,0.381700093
3251,0,0.02703266,0,0,0,0,0,0.383000436
3252,0,0.027629166,0,0,0,0,0,0.384300838
3253,0,0.028233749,0,0,0,0,0,0.385601299
3254,0,0.028846466,0,0,0,0,0,0.386901818
3255,0,0.029465065,0,0,0,0,0,0.388202396
3256,0,0.03022008,0,0,0,0,0,0.391162847
3257,0,0.030990293,0,0,0,0,0,0.394123439
3258,0,0.031773519,0,0,0,0,0,0.397084172
3259,0,0.032569886,0,0,0,0,0,0.400045046
