LAMBDA,mag,u,g,r,i,z,Y,atm
4076,0,0.00550192,0.234368381,0,0,0,0,0.700338301
4077,0,0.004884564,0.235785103,0,0,0,0,0.700536887
4078,0,0.004266373,0.237203598,0,0,0,0,0.700735473
4079,0,0.003664155,0.238623867,0,0,0,0,0.70093406
4080,0,0.003061124,0.240045911,0,0,0,0,0.701132648
4081,0,0.002457171,0.241475913,0,0,0,0,0.701331236
4082,0,0.001852457,0.242907589,0,0,0,0,0.701529825
4083,0,0.00123013,0.244324088,0,0,0,0,0.701728415
4084,0,0.000607021,0.245742243,0,0,0,0,0.701927005
4085,0,0.000303701,0.247162053,0,0,0,0,0.702125597
4086,0,0,0.248583519,0,0,0,0,0.702324188
4087,0,0,0.250006644,0,0,0,0,0.702522781
4088,0,0,0.251431428,0,0,0,0,0.702721374
4089,0,0,0.252857871,0,0,0,0,0.702919968
4090,0,0,0.254285976,0,0,0,0,0.703118562
4091,0,0,0.255712538,0,0,0,0,0.703317157
4092,0,0,0.257140728,0,0,0,0,0.703515753
4093,0,0,0.258570549,0,0,0,0,0.703714349
4094,0,0,0.260002001,0,0,0,0,0.703912947
4095,0,0,0.261435086,0,0,0,0,0.704111544
4096,0,0,0.262869803,0,0,0,0,0.704310143
4097,0,0,0.264306155,0,0,0,0,0.704508742
4098,0,0,0.265744143,0,0,0,0,0.704707342
4099,0,0,0.267200785,0,0,0,0,0.704905942
4100,0,0,0.268659087,0,0,0,0,0.705104543
4101,0,0,0.270120694,0,0,0,0,0.705303145
4102,0,0,0.27158414,0,0,0,0,0.705501747
4103,0,0,0.273049426,0,0,0,0,0.70570035
4104,0,0,0.274516555,0,0,0,0,0.705898954
4105,0,0,0.275985527,0,0,0,0,0.706097559
4106,0,0,0.277530017,0,0,0,0,0.706483709
4107,0,0,0.279077097,0,0,0,0,0.706869866
4108,0,0,0.280626767,0,0,0,0,0.70725603
4109,0,0,0.282179031,0,0,0,0,0.7076422
4110,0,0,0.28373389,0,0,0,0,0.708028376
4111,0,0,0.285173757,0,0,0,0,0.708226999
4112,0,0,0.286615049,0,0,0,0,0.708425623
4113,0,0,0.288057768,0,0,0,0,0.708624247
4114,0,0,0.289501913,0,0,0,0,0.708822872
4115,0,0,0.2909647,0,0,0,0,0.709021498
4116,0,0,0.292428934,0,0,0,0,0.709220124
4117,0,0,0.293877382,0,0,0,0,0.709418751
4118,0,0,0.295327259,0,0,0,0,0.709617379
4119,0,0,0.296778566,0,0,0,0,0.709816007
4120,0,0,0.298231304,0,0,0,0,0.710014636
4121,0,0,0.299705884,0,0,0,0,0.710213265
4122,0,0,0.301182095,0,0,0,0,0.710411895
4123,0,0,0.302175765,0,0,0,0,0.710610526
4124,0,0,0.303170486,0,0,0,0,0.710809158
4125,0,0,0.303993133,0,0,0,0,0.71100779
4126,0,0,0.304816625,0,0,0,0,0.711206422
4127,0,0,0.305658295,0,0,0,0,0.711405056
4128,0,0,0.306500831,0,0,0,0,0.71160369
4129,0,0,0.307344235,0,0,0,0,0.711802324
4130,0,0,0.308188506,0,0,0,0,0.71200096
4131,0,0,0.309036195,0,0,0,0,0.712199596
4132,0,0,0.309884841,0,0,0,0,0.712398232
4133,0,0,0.310751843,0,0,0,0,0.712596869
4134,0,0,0.311619826,0,0,0,0,0.712795507
4135,0,0,0.312471369,0,0,0,0,0.712994146
4136,0,0,0.313323871,0,0,0,0,0.713192785
4137,0,0,0.314194779,0,0,0,0,0.713391425
4138,0,0,0.315066671,0,0,0,0,0.713590065
4139,0,0,0.315922078,0,0,0,0,0.713788706
4140,0,0,0.316778448,0,0,0,0,0.713987348
4141,0,0,0.317621226,0,0,0,0,0.71418599
4142,0,0,0.318464817,0,0,0,0,0.714384633
4143,0,0,0.319291713,0,0,0,0,0.714583277
4144,0,0,0.320119404,0,0,0,0,0.714781921
4145,0,0,0.320965419,0,0,0,0,0.714980566
4146,0,0,0.321812249,0,0,0,0,0.715179211
4147,0,0,0.322659896,0,0,0,0,0.715377857
4148,0,0,0.323508358,0,0,0,0,0.715576504
4149,0,0,0.324340069,0,0,0,0,0.715775151
4150,0,0,0.325172576,0,0,0,0,0.7159738
4151,0,0,0.326021333,0,0,0,0,0.716172448
4152,0,0,0.326870898,0,0,0,0,0.716371097
4153,0,0,0.327703665,0,0,0,0,0.716569747
4154,0,0,0.328537222,0,0,0,0,0.716768398
4155,0,0,0.329389196,0,0,0,0,0.716967049
4156,0,0,0.330241982,0,0,0,0,0.717165701
4157,0,0,0.330919106,0,0,0,0,0.717364353
4158,0,0,0.331596847,0,0,0,0,0.717563007
4159,0,0,0.331780536,0,0,0,0,0.71776166
4160,0,0,0.331964294,0,0,0,0,0.717960315
4161,0,0,0.332172929,0,0,0,0,0.71815897
4162,0,0,0.332381661,0,0,0,0,0.718357625
4163,0,0,0.332590491,0,0,0,0,0.718556281
4164,0,0,0.332799418,0,0,0,0,0.718754938
4165,0,0,0.333008442,0,0,0,0,0.718953596
4166,0,0,0.333217563,0,0,0,0,0.719152254
4167,0,0,0.333426782,0,0,0,0,0.719350913
4168,0,0,0.333636099,0,0,0,0,0.719549572
4169,0,0,0.333845512,0,0,0,0,0.719748232
4170,0,0,0.334055024,0,0,0,0,0.719946892
4171,0,0,0.334220424,0,0,0,0,0.720145554
4172,0,0,0.334385873,0,0,0,0,0.720344216
4173,0,0,0.334551372,0,0,0,0,0.720542878
4174,0,0,0.334716919,0,0,0,0,0.720741541
4175,0,0,0.334882515,0,0,0,0,0.720940205
4176,0,0,0.335048161,0,0,0,0,0.721138869
4177,0,0,0.335213855,0,0,0,0,0.721337534
4178,0,0,0.335379599,0,0,0,0,0.7215362
4179,0,0,0.335545391,0,0,0,0,0.721734866
4180,0,0,0.335711233,0,0,0,0,0.721933533
4181,0,0,0.335902764,0,0,0,0,0.7221322
4182,0,0,0.336094372,0,0,0,0,0.722330868
4183,0,0,0.336286056,0,0,0,0,0.722529537
4184,0,0,0.336477818,0,0,0,0,0.722728206
4185,0,0,0.336669656,0,0,0,0,0.722926876
4186,0,0,0.33686157,0,0,0,0,0.723125547
4187,0,0,0.337053562,0,0,0,0,0.723324218
4188,0,0,0.33724563,0,0,0,0,0.72352289
4189,0,0,0.337437775,0,0,0,0,0.723721562
4190,0,0,0.337629997,0,0,0,0,0.723920235
4191,0,0,0.337821942,0,0,0,0,0.724118909
4192,0,0,0.338013962,0,0,0,0,0.724317583
4193,0,0,0.33820606,0,0,0,0,0.724516258
4194,0,0,0.338398233,0,0,0,0,0.724714933
4195,0,0,0.338590483,0,0,0,0,0.724913609
4196,0,0,0.33878281,0,0,0,0,0.725112286
4197,0,0,0.338975212,0,0,0,0,0.725310963
4198,0,0,0.339167692,0,0,0,0,0.725509641
4199,0,0,0.339360247,0,0,0,0,0.72570832
4200,0,0,0.33955288,0,0,0,0,0.725906999
4201,0,0,0.339731054,0,0,0,0,0.726105678
4202,0,0,0.339909289,0,0,0,0,0.726304359
4203,0,0,0.340087587,0,0,0,0,0.72650304
4204,0,0,0.340265946,0,0,0,0,0.726701721
4205,0,0,0.340444367,0,0,0,0,0.726900404
4206,0,0,0.340622849,0,0,0,0,0.727099086
4207,0,0,0.340801393,0,0,0,0,0.72729777
4208,0,0,0.340979999,0,0,0,0,0.727496454
4209,0,0,0.341158667,0,0,0,0,0.727695138
4210,0,0,0.341337397,0,0,0,0,0.727893824
4211,0,0,0.34152001,0,0,0,0,0.728092509
4212,0,0,0.34170269,0,0,0,0,0.728291196
4213,0,0,0.341885436,0,0,0,0,0.728489883
4214,0,0,0.342068249,0,0,0,0,0.728688571
4215,0,0,0.342251129,0,0,0,0,0.728887259
4216,0,0,0.342434075,0,0,0,0,0.729085948
4217,0,0,0.342617087,0,0,0,0,0.729284637
4218,0,0,0.342800166,0,0,0,0,0.729483327
4219,0,0,0.342983312,0,0,0,0,0.729682018
4220,0,0,0.343166524,0,0,0,0,0.729880709
4221,0,0,0.343342112,0,0,0,0,0.730079401
4222,0,0,0.343517757,0,0,0,0,0.730278093
4223,0,0,0.343693461,0,0,0,0,0.730476787
4224,0,0,0.343869223,0,0,0,0,0.73067548
4225,0,0,0.344045043,0,0,0,0,0.730874175
4226,0,0,0.344220921,0,0,0,0,0.731072869
4227,0,0,0.344396858,0,0,0,0,0.731271565
4228,0,0,0.344572853,0,0,0,0,0.731470261
4229,0,0,0.344748906,0,0,0,0,0.731668958
4230,0,0,0.344925018,0,0,0,0,0.731867655
4231,0,0,0.345020322,0,0,0,0,0.731878451
4232,0,0,0.345115643,0,0,0,0,0.731889242
4233,0,0,0.345210983,0,0,0,0,0.731900028
4234,0,0,0.34530634,0,0,0,0,0.731910809
4235,0,0,0.345401715,0,0,0,0,0.731921585
4236,0,0,0.34558581,0,0,0,0,0.732120272
4237,0,0,0.345769972,0,0,0,0,0.732318959
4238,0,0,0.345954201,0,0,0,0,0.732517648
4239,0,0,0.346138497,0,0,0,0,0.732716336
4240,0,0,0.346322859,0,0,0,0,0.732915026
4241,0,0,0.346492031,0,0,0,0,0.733113716
4242,0,0,0.346661256,0,0,0,0,0.733312407
4243,0,0,0.346830533,0,0,0,0,0.733511098
4244,0,0,0.346999862,0,0,0,0,0.73370979
4245,0,0,0.347169245,0,0,0,0,0.733908482
4246,0,0,0.34733868,0,0,0,0,0.734107175
4247,0,0,0.347508167,0,0,0,0,0.734305869
4248,0,0,0.347677707,0,0,0,0,0.734504563
4249,0,0,0.3478473,0,0,0,0,0.734703258
4250,0,0,0.348016945,0,0,0,0,0.734901953
4251,0,0,0.348178189,0,0,0,0,0.735100649
4252,0,0,0.348339477,0,0,0,0,0.735299346
4253,0,0,0.34850081,0,0,0,0,0.735498043
4254,0,0,0.348662187,0,0,0,0,0.735696741
4255,0,0,0.34882361,0,0,0,0,0.735895439
4256,0,0,0.348985076,0,0,0,0,0.736094138
4257,0,0,0.349146588,0,0,0,0,0.736292838
4258,0,0,0.349308144,0,0,0,0,0.736491538
4259,0,0,0.349469744,0,0,0,0,0.736690239
4260,0,0,0.34963139,0,0,0,0,0.73688894
4261,0,0,0.349817107,0,0,0,0,0.737087642
4262,0,0,0.350002893,0,0,0,0,0.737286345
4263,0,0,0.350188746,0,0,0,0,0.737485048
4264,0,0,0.350374667,0,0,0,0,0.737683752
4265,0,0,0.350560656,0,0,0,0,0.737882456
4266,0,0,0.350746713,0,0,0,0,0.738081161
4267,0,0,0.350932837,0,0,0,0,0.738279867
4268,0,0,0.35111903,0,0,0,0,0.738478573
4269,0,0,0.35130529,0,0,0,0,0.738677279
4270,0,0,0.351491619,0,0,0,0,0.738875987
4271,0,0,0.351642856,0,0,0,0,0.739074695
4272,0,0,0.351794128,0,0,0,0,0.739273403
4273,0,0,0.351945436,0,0,0,0,0.739472112
4274,0,0,0.352096778,0,0,0,0,0.739670822
4275,0,0,0.352248156,0,0,0,0,0.739869532
4276,0,0,0.352310036,0,0,0,0,0.739880217
4277,0,0,0.35237192,0,0,0,0,0.739890898
4278,0,0,0.352433807,0,0,0,0,0.739901573
4279,0,0,0.352495698,0,0,0,0,0.739912244
4280,0,0,0.352557593,0,0,0,0,0.73992291
4281,0,0,0.352818465,0,0,0,0,0.740309649
4282,0,0,0.353079432,0,0,0,0,0.740696395
4283,0,0,0.353340496,0,0,0,0,0.741083146
4284,0,0,0.353601654,0,0,0,0,0.741469903
4285,0,0,0.353862908,0,0,0,0,0.741856666
4286,0,0,0.354034538,0,0,0,0,0.742055383
4287,0,0,0.354206221,0,0,0,0,0.7422541
4288,0,0,0.354377959,0,0,0,0,0.742452818
4289,0,0,0.35454975,0,0,0,0,0.742651536
4290,0,0,0.354721596,0,0,0,0,0.742850255
4291,0,0,0.354896528,0,0,0,0,0.743048975
4292,0,0,0.355071516,0,0,0,0,0.743247695
4293,0,0,0.355246562,0,0,0,0,0.743446416
4294,0,0,0.355421665,0,0,0,0,0.743645137
4295,0,0,0.355596824,0,0,0,0,0.743843859
4296,0,0,0.355682109,0,0,0,0,0.743854502
4297,0,0,0.355767408,0,0,0,0,0.74386514
4298,0,0,0.35585272,0,0,0,0,0.743875773
4299,0,0,0.355938047,0,0,0,0,0.743886402
4300,0,0,0.356023387,0,0,0,0,0.743897026
4301,0,0,0.356191763,0,0,0,0,0.744095738
4302,0,0,0.35636019,0,0,0,0,0.74429445
4303,0,0,0.356528666,0,0,0,0,0.744493163
4304,0,0,0.356697192,0,0,0,0,0.744691877
4305,0,0,0.356865769,0,0,0,0,0.744890591
4306,0,0,0.357034395,0,0,0,0,0.745089306
4307,0,0,0.357203072,0,0,0,0,0.745288021
4308,0,0,0.357371799,0,0,0,0,0.745486737
4309,0,0,0.357540576,0,0,0,0,0.745685454
4310,0,0,0.357709403,0,0,0,0,0.745884171
4311,0,0,0.357885511,0,0,0,0,0.746082889
4312,0,0,0.358061677,0,0,0,0,0.746281607
4313,0,0,0.358237901,0,0,0,0,0.746480326
4314,0,0,0.358414183,0,0,0,0,0.746679045
4315,0,0,0.358590523,0,0,0,0,0.746877765
4316,0,0,0.358766922,0,0,0,0,0.747076486
4317,0,0,0.358943378,0,0,0,0,0.747275207
4318,0,0,0.359119893,0,0,0,0,0.747473929
4319,0,0,0.359296466,0,0,0,0,0.747672651
4320,0,0,0.359473097,0,0,0,0,0.747871374
4321,0,0,0.359637941,0,0,0,0,0.748070098
4322,0,0,0.359802833,0,0,0,0,0.748268822
4323,0,0,0.35996777,0,0,0,0,0.748467546
4324,0,0,0.360132755,0,0,0,0,0.748666272
4325,0,0,0.360297787,0,0,0,0,0.748864997
4326,0,0,0.360372319,0,0,0,0,0.748875564
4327,0,0,0.36044686,0,0,0,0,0.748886126
4328,0,0,0.360521411,0,0,0,0,0.748896683
4329,0,0,0.360595971,0,0,0,0,0.748907236
4330,0,0,0.360670541,0,0,0,0,0.748917783
4331,0,0,0.360832204,0,0,0,0,0.749116499
4332,0,0,0.360993912,0,0,0,0,0.749315216
4333,0,0,0.361155663,0,0,0,0,0.749513933
4334,0,0,0.361317458,0,0,0,0,0.749712651
4335,0,0,0.361479296,0,0,0,0,0.749911369
4336,0,0,0.361641623,0,0,0,0,0.750110088
4337,0,0,0.361804281,0,0,0,0,0.750308807
4338,0,0,0.361967122,0,0,0,0,0.750507527
4339,0,0,0.362130008,0,0,0,0,0.750706248
4340,0,0,0.362292814,0,0,0,0,0.750904969
4341,0,0,0.362329507,0,0,0,0,0.750915491
4342,0,0,0.362365853,0,0,0,0,0.750926009
4343,0,0,0.36240176,0,0,0,0,0.750936522
4344,0,0,0.362437143,0,0,0,0,0.75094703
4345,0,0,0.362471933,0,0,0,0,0.750957534
4346,0,0,0.36259692,0,0,0,0,0.751156245
4347,0,0,0.36272122,0,0,0,0,0.751354957
4348,0,0,0.362844793,0,0,0,0,0.75155367
4349,0,0,0.36296761,0,0,0,0,0.751752383
4350,0,0,0.363089654,0,0,0,0,0.751951097
4351,0,0,0.363257853,0,0,0,0,0.752149811
4352,0,0,0.363425315,0,0,0,0,0.752348526
4353,0,0,0.363592054,0,0,0,0,0.752547241
4354,0,0,0.363758097,0,0,0,0,0.752745957
4355,0,0,0.363923482,0,0,0,0,0.752944674
4356,0,0,0.364088557,0,0,0,0,0.753143391
4357,0,0,0.364253275,0,0,0,0,0.753342109
4358,0,0,0.364417608,0,0,0,0,0.753540827
4359,0,0,0.364581545,0,0,0,0,0.753739546
4360,0,0,0.364745097,0,0,0,0,0.753938265
4361,0,0,0.364895575,0,0,0,0,0.754136985
4362,0,0,0.365045729,0,0,0,0,0.754335706
4363,0,0,0.365195624,0,0,0,0,0.754534427
4364,0,0,0.365345342,0,0,0,0,0.754733149
4365,0,0,0.365494984,0,0,0,0,0.754931871
4366,0,0,0.365644371,0,0,0,0,0.755130594
4367,0,0,0.365793125,0,0,0,0,0.755329317
4368,0,0,0.36594132,0,0,0,0,0.755528041
4369,0,0,0.366089028,0,0,0,0,0.755726766
4370,0,0,0.366236324,0,0,0,0,0.755925491
4371,0,0,0.366383574,0,0,0,0,0.756124217
4372,0,0,0.366530558,0,0,0,0,0.756322943
4373,0,0,0.36667735,0,0,0,0,0.75652167
4374,0,0,0.366824025,0,0,0,0,0.756720397
4375,0,0,0.366970655,0,0,0,0,0.756919125
4376,0,0,0.367117315,0,0,0,0,0.757117854
4377,0,0,0.36726408,0,0,0,0,0.757316583
4378,0,0,0.367411024,0,0,0,0,0.757515313
4379,0,0,0.367558221,0,0,0,0,0.757714043
4380,0,0,0.367705747,0,0,0,0,0.757912774
4381,0,0,0.367758712,0,0,0,0,0.757923201
4382,0,0,0.367812126,0,0,0,0,0.757933624
4383,0,0,0.367866063,0,0,0,0,0.757944042
4384,0,0,0.367920599,0,0,0,0,0.757954456
4385,0,0,0.367975808,0,0,0,0,0.757964865
4386,0,0,0.368122748,0,0,0,0,0.758163586
4387,0,0,0.368269828,0,0,0,0,0.758362308
4388,0,0,0.368417152,0,0,0,0,0.75856103
4389,0,0,0.368564804,0,0,0,0,0.758759753
4390,0,0,0.368712848,0,0,0,0,0.758958477
4391,0,0,0.368769734,0,0,0,0,0.758968871
4392,0,0,0.36882706,0,0,0,0,0.758979261
4393,0,0,0.368884837,0,0,0,0,0.758989646
4394,0,0,0.368943055,0,0,0,0,0.759000027
4395,0,0,0.369001686,0,0,0,0,0.759010403
4396,0,0,0.369152263,0,0,0,0,0.759209117
4397,0,0,0.36930359,0,0,0,0,0.759407831
4398,0,0,0.369455708,0,0,0,0,0.759606547
4399,0,0,0.369608645,0,0,0,0,0.759805262
4400,0,0,0.36976242,0,0,0,0,0.760003979
4401,0,0,0.369889288,0,0,0,0,0.760202695
4402,0,0,0.370016976,0,0,0,0,0.760401413
4403,0,0,0.370145465,0,0,0,0,0.760600131
4404,0,0,0.37027473,0,0,0,0,0.76079885
4405,0,0,0.370404732,0,0,0,0,0.760997569
4406,0,0,0.37053542,0,0,0,0,0.761196288
4407,0,0,0.370666734,0,0,0,0,0.761395009
4408,0,0,0.370798602,0,0,0,0,0.76159373
4409,0,0,0.370930938,0,0,0,0,0.761792451
4410,0,0,0.371063649,0,0,0,0,0.761991173
4411,0,0,0.371228123,0,0,0,0,0.762189895
4412,0,0,0.371392771,0,0,0,0,0.762388619
4413,0,0,0.371557462,0,0,0,0,0.762587342
4414,0,0,0.371722057,0,0,0,0,0.762786066
4415,0,0,0.371886403,0,0,0,0,0.762984791
4416,0,0,0.372050335,0,0,0,0,0.763183517
4417,0,0,0.372214311,0,0,0,0,0.763382242
4418,0,0,0.372378332,0,0,0,0,0.763580969
4419,0,0,0.372542398,0,0,0,0,0.763779696
4420,0,0,0.372706508,0,0,0,0,0.763978424
4421,0,0,0.372842407,0,0,0,0,0.764177152
4422,0,0,0.372978329,0,0,0,0,0.76437588
4423,0,0,0.373114274,0,0,0,0,0.76457461
4424,0,0,0.373250241,0,0,0,0,0.76477334
4425,0,0,0.373386232,0,0,0,0,0.76497207
4426,0,0,0.373430267,0,0,0,0,0.764982382
4427,0,0,0.373474304,0,0,0,0,0.764992689
4428,0,0,0.373518342,0,0,0,0,0.765002991
4429,0,0,0.373562381,0,0,0,0,0.765013289
4430,0,0,0.373606422,0,0,0,0,0.765023583
4431,0,0,0.373746973,0,0,0,0,0.765222304
4432,0,0,0.37388755,0,0,0,0,0.765421026
4433,0,0,0.374028155,0,0,0,0,0.765619748
4434,0,0,0.374168785,0,0,0,0,0.765818471
4435,0,0,0.374309442,0,0,0,0,0.766017194
4436,0,0,0.374450126,0,0,0,0,0.766215918
4437,0,0,0.374590836,0,0,0,0,0.766414642
4438,0,0,0.374731573,0,0,0,0,0.766613367
4439,0,0,0.374872336,0,0,0,0,0.766812093
4440,0,0,0.375013125,0,0,0,0,0.767010819
4441,0,0,0.375054128,0,0,0,0,0.767021088
4442,0,0,0.375095131,0,0,0,0,0.767031353
4443,0,0,0.375136134,0,0,0,0,0.767041613
4444,0,0,0.375177138,0,0,0,0,0.767051869
4445,0,0,0.375218143,0,0,0,0,0.767062121
4446,0,0,0.375259148,0,0,0,0,0.767072368
4447,0,0,0.375300154,0,0,0,0,0.76708261
4448,0,0,0.37534116,0,0,0,0,0.767092848
4449,0,0,0.375382167,0,0,0,0,0.767103082
4450,0,0,0.375423174,0,0,0,0,0.767113311
4451,0,0,0.375580062,0,0,0,0,0.767312018
4452,0,0,0.375736988,0,0,0,0,0.767510726
4453,0,0,0.375893952,0,0,0,0,0.767709434
4454,0,0,0.376050956,0,0,0,0,0.767908143
4455,0,0,0.376207998,0,0,0,0,0.768106852
4456,0,0,0.376365079,0,0,0,0,0.768305562
4457,0,0,0.376522198,0,0,0,0,0.768504273
4458,0,0,0.376679357,0,0,0,0,0.768702984
4459,0,0,0.376836554,0,0,0,0,0.768901695
4460,0,0,0.37699379,0,0,0,0,0.769100407
4461,0,0,0.377210221,0,0,0,0,0.769487628
4462,0,0,0.377426683,0,0,0,0,0.769874853
4463,0,0,0.377643174,0,0,0,0,0.770262085
4464,0,0,0.377859694,0,0,0,0,0.770649322
4465,0,0,0.378076244,0,0,0,0,0.771036564
4466,0,0,0.37810793,0,0,0,0,0.771046772
4467,0,0,0.378139613,0,0,0,0,0.771056976
4468,0,0,0.378171296,0,0,0,0,0.771067175
4469,0,0,0.378202977,0,0,0,0,0.77107737
4470,0,0,0.378234656,0,0,0,0,0.77108756
4471,0,0,0.378380242,0,0,0,0,0.771286278
4472,0,0,0.378525857,0,0,0,0,0.771484997
4473,0,0,0.378671502,0,0,0,0,0.771683717
4474,0,0,0.378817177,0,0,0,0,0.771882437
4475,0,0,0.378962883,0,0,0,0,0.772081157
4476,0,0,0.379016062,0,0,0,0,0.772091333
4477,0,0,0.379069246,0,0,0,0,0.772101505
4478,0,0,0.379122434,0,0,0,0,0.772111673
4479,0,0,0.379175626,0,0,0,0,0.772121836
4480,0,0,0.379228822,0,0,0,0,0.772131994
4481,0,0,0.379373834,0,0,0,0,0.772330706
4482,0,0,0.379518876,0,0,0,0,0.772529418
4483,0,0,0.379663946,0,0,0,0,0.77272813
4484,0,0,0.379809046,0,0,0,0,0.772926844
4485,0,0,0.379954174,0,0,0,0,0.773125557
4486,0,0,0.3800998,0,0,0,0,0.773324272
4487,0,0,0.380245757,0,0,0,0,0.773522986
4488,0,0,0.380391889,0,0,0,0,0.773721702
4489,0,0,0.380538051,0,0,0,0,0.773920418
4490,0,0,0.380684112,0,0,0,0,0.774119134
4491,0,0,0.380810534,0,0,0,0,0.774317851
4492,0,0,0.380936608,0,0,0,0,0.774516569
4493,0,0,0.381062238,0,0,0,0,0.774715287
4494,0,0,0.381187334,0,0,0,0,0.774914006
4495,0,0,0.381311822,0,0,0,0,0.775112725
4496,0,0,0.381435637,0,0,0,0,0.775311445
4497,0,0,0.381558726,0,0,0,0,0.775510165
4498,0,0,0.381681049,0,0,0,0,0.775708886
4499,0,0,0.381802574,0,0,0,0,0.775907608
4500,0,0,0.381923285,0,0,0,0,0.77610633
4501,0,0,0.38195813,0,0,0,0,0.776116446
4502,0,0,0.381992147,0,0,0,0,0.776126558
4503,0,0,0.382025353,0,0,0,0,0.776136665
4504,0,0,0.382057776,0,0,0,0,0.776146768
4505,0,0,0.382089457,0,0,0,0,0.776156866
4506,0,0,0.382213465,0,0,0,0,0.776355579
4507,0,0,0.382336962,0,0,0,0,0.776554293
4508,0,0,0.382459971,0,0,0,0,0.776753007
4509,0,0,0.38258253,0,0,0,0,0.776951722
4510,0,0,0.382704694,0,0,0,0,0.777150437
4511,0,0,0.382818895,0,0,0,0,0.777349153
4512,0,0,0.382932851,0,0,0,0,0.77754787
4513,0,0,0.383046661,0,0,0,0,0.777746587
4514,0,0,0.383160442,0,0,0,0,0.777945304
4515,0,0,0.383274326,0,0,0,0,0.778144022
4516,0,0,0.38329554,0,0,0,0,0.778154097
4517,0,0,0.383316504,0,0,0,0,0.778164168
4518,0,0,0.383337204,0,0,0,0,0.778174235
4519,0,0,0.383357631,0,0,0,0,0.778184297
4520,0,0,0.383377778,0,0,0,0,0.778194355
4521,0,0,0.383484758,0,0,0,0,0.778393064
4522,0,0,0.383591462,0,0,0,0,0.778591774
4523,0,0,0.383697898,0,0,0,0,0.778790484
4524,0,0,0.383804074,0,0,0,0,0.778989195
4525,0,0,0.383910003,0,0,0,0,0.779187907
4526,0,0,0.384015546,0,0,0,0,0.779386619
4527,0,0,0.384120779,0,0,0,0,0.779585331
4528,0,0,0.384225781,0,0,0,0,0.779784044
4529,0,0,0.384330628,0,0,0,0,0.779982758
4530,0,0,0.384435399,0,0,0,0,0.780181472
4531,0,0,0.38447778,0,0,0,0,0.780191507
4532,0,0,0.384520238,0,0,0,0,0.780201538
4533,0,0,0.384562854,0,0,0,0,0.780211564
4534,0,0,0.384605703,0,0,0,0,0.780221586
4535,0,0,0.384648865,0,0,0,0,0.780231603
4536,0,0,0.384784975,0,0,0,0,0.780430309
4537,0,0,0.384921052,0,0,0,0,0.780629015
4538,0,0,0.385057265,0,0,0,0,0.780827721
4539,0,0,0.385193771,0,0,0,0,0.781026428
4540,0,0,0.385330711,0,0,0,0,0.781225136
4541,0,0,0.385438276,0,0,0,0,0.781423844
4542,0,0,0.385546492,0,0,0,0,0.781622553
4543,0,0,0.385655452,0,0,0,0,0.781821262
4544,0,0,0.385765237,0,0,0,0,0.782019972
4545,0,0,0.385875908,0,0,0,0,0.782218682
4546,0,0,0.385987514,0,0,0,0,0.782417393
4547,0,0,0.386100086,0,0,0,0,0.782616105
4548,0,0,0.386213642,0,0,0,0,0.782814817
4549,0,0,0.386328181,0,0,0,0,0.78301353
4550,0,0,0.38644369,0,0,0,0,0.783212243
4551,0,0,0.386471442,0,0,0,0,0.783222228
4552,0,0,0.386500076,0,0,0,0,0.783232209
4553,0,0,0.386529528,0,0,0,0,0.783242186
4554,0,0,0.386559723,0,0,0,0,0.783252159
4555,0,0,0.386590564,0,0,0,0,0.783262127
4556,0,0,0.386715106,0,0,0,0,0.783460832
4557,0,0,0.386840295,0,0,0,0,0.783659537
4558,0,0,0.386966057,0,0,0,0,0.783858242
4559,0,0,0.387092303,0,0,0,0,0.784056949
4560,0,0,0.387218934,0,0,0,0,0.784255655
4561,0,0,0.387261223,0,0,0,0,0.78426561
4562,0,0,0.387303647,0,0,0,0,0.784275561
4563,0,0,0.387346072,0,0,0,0,0.784285507
4564,0,0,0.38738835,0,0,0,0,0.78429545
4565,0,0,0.387430322,0,0,0,0,0.784305388
4566,0,0,0.387565071,0,0,0,0,0.784504086
4567,0,0,0.387699842,0,0,0,0,0.784702784
4568,0,0,0.387834634,0,0,0,0,0.784901483
4569,0,0,0.387969447,0,0,0,0,0.785100183
4570,0,0,0.388104281,0,0,0,0,0.785298883
4571,0,0,0.388208912,0,0,0,0,0.785497584
4572,0,0,0.388313545,0,0,0,0,0.785696285
4573,0,0,0.388418181,0,0,0,0,0.785894987
4574,0,0,0.388522819,0,0,0,0,0.78609369
4575,0,0,0.38862746,0,0,0,0,0.786292393
4576,0,0,0.388638793,0,0,0,0,0.786302308
4577,0,0,0.388650123,0,0,0,0,0.786312219
4578,0,0,0.38866145,0,0,0,0,0.786322127
4579,0,0,0.388672775,0,0,0,0,0.786332029
4580,0,0,0.388684096,0,0,0,0,0.786341928
4581,0,0,0.388733979,0,0,0,0,0.786351822
4582,0,0,0.388783866,0,0,0,0,0.786361713
4583,0,0,0.388833755,0,0,0,0,0.786371599
4584,0,0,0.388883646,0,0,0,0,0.786381481
4585,0,0,0.388933541,0,0,0,0,0.786391358
4586,0,0,0.389077151,0,0,0,0,0.786590044
4587,0,0,0.389220994,0,0,0,0,0.78678873
4588,0,0,0.389364964,0,0,0,0,0.786987416
4589,0,0,0.389508961,0,0,0,0,0.787186103
4590,0,0,0.389652896,0,0,0,0,0.787384791
4591,0,0,0.389745944,0,0,0,0,0.787583479
